x	y	RR	N_pairs	N_x	N_y	N_total	date	country	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
46-65y	18-25y	0.9660714285714286	5	28	20	108	2020-11-08	Mexico	1.378826530612245	10	1.0825	4	0.7850006218647652	0.9151314920047576	0.5062114356232004	2.169829059829059	0.41004441259304236	2.502188934802571
46-65y	26-45y	0.6037946428571429	5	28	32	108	2020-11-08	Mexico	1.378826530612245	10	1.0556640625	10	0.4960336627016938	0.5719571825029734	0.4194708994708995	1.0542986425339365	0.33524078945629043	1.493609895748932
46-65y	46-65y	1.378826530612245	10	28	28	108	2020-11-08	Mexico	1.378826530612245	10	1.378826530612245	10	1	1.306122448979592	0.7726172682787004	1.9834429103659872	0.5719523223917717	2.1560207214477174
46-65y	65-80y	1.405844155844156	4	28	11	108	2020-11-08	Mexico	1.378826530612245	10	NA	0	NA	1.3317154630753152	0.5903703703703708	2.1279411764705882	0.4840118671498637	3.5538474696228697
46-65y	81y+	0.96875	2	28	8	108	2020-11-08	Mexico	1.378826530612245	10	NA	0	NA	0.9176688251618872	0.04806818181818182	1.3764705882352941	0.05236960929203212	1.9346940009675864
65-80y	12-17y	3.282828282828283	3	11	9	108	2020-11-08	Mexico	NA	0	NA	0	NA	3.109728179108383	2.128571428571429	11.98	1.5322435097763714	11.426224521721874
65-80y	18-25y	0.00454545454545454	0	11	20	108	2020-11-08	Mexico	NA	0	1.0825	4	NA	0.00430577747876545	0.006561747506019952	0.041666666666666664	0.005768069260988948	0.03658540523393529
65-80y	26-45y	0.6164772727272727	2	11	32	108	2020-11-08	Mexico	NA	0	1.0556640625	10	NA	0.5839710705575645	0.006022727272727273	1.1154188948306594	0.005231565962109179	1.9294871794871773
65-80y	46-65y	1.405844155844156	4	11	28	108	2020-11-08	Mexico	NA	0	1.378826530612245	10	NA	1.3317154630753152	0.5903703703703708	2.1279411764705882	0.4840118671498637	3.5538474696228697
65-80y	65-80y	0.00826446280991735	0	11	11	108	2020-11-08	Mexico	NA	0	NA	0	NA	0.00782868632502809	0.011407407407407408	0.08194444444444438	0.00999002493765586	0.09698838896952104
65-80y	81y+	2.465909090909091	2	11	8	108	2020-11-08	Mexico	NA	0	NA	0	NA	2.335884282230258	0.08958333333333338	4.140833333333333	0.11184973705918749	4.128691787191347
81y+	12-17y	1.5138888888888888	1	8	9	108	2020-11-08	Mexico	NA	0	NA	0	NA	1.4340631102888273	0.07827380952380952	2.3183333333333334	0.06272298009064867	2.7198818738913078
81y+	18-25y	0.68125	1	8	20	108	2020-11-08	Mexico	NA	0	1.0825	4	NA	0.6453283996299722	0.012506764069264074	4.5796875	0.01278085865630008	7.872133264462812
81y+	26-45y	0.84765625	2	8	32	108	2020-11-08	Mexico	NA	0	1.0556640625	10	NA	0.8029602220166513	0.04372710622710623	1.2417690058479534	0.04917974348881941	1.7084240445089502
81y+	46-65y	0.96875	2	8	28	108	2020-11-08	Mexico	NA	0	1.378826530612245	10	NA	0.9176688251618872	0.04806818181818182	1.3764705882352941	0.05236960929203212	1.9346940009675864
81y+	65-80y	2.465909090909091	2	8	11	108	2020-11-08	Mexico	NA	0	NA	0	NA	2.335884282230258	0.08958333333333338	4.140833333333333	0.11184973705918749	4.128691787191347
81y+	81y+	0.015625	0	8	8	108	2020-11-08	Mexico	NA	0	NA	0	NA	0.01480111008325624	0.015625	1	0.013701423319762424	1.8688705234159788
12-17y	12-17y	0.25	0	2	2	184	2020-12-06	Mexico	NA	0	NA	0	NA	0.2339695693519902	0.25	1	0.1984257268665571	1.045692245059849
12-17y	18-25y	0.01724137931034482	0	2	29	184	2020-12-06	Mexico	NA	0	1.3139120095124852	6	NA	0.01613583236910277	0.020416666666666666	0.1388888888888889	0.018257622437451396	0.11753762162607191
12-17y	26-45y	1.1144578313253013	1	2	83	184	2020-12-06	Mexico	NA	0	1.0685150239512269	40	NA	1.042996875424535	0.016233766233766236	2.3968561584840655	0.015512050589252972	2.177757530393161
12-17y	46-65y	0.01136363636363636	0	2	44	184	2020-12-06	Mexico	NA	0	1.141012396694215	12	NA	0.01063498042509046	0.014928698752228164	0.04880952380952381	0.013240682403376853	0.04250838309036385
12-17y	65-80y	6.607142857142857	1	2	14	184	2020-12-06	Mexico	NA	0	1.8826530612244896	2	NA	6.18348147573117	0.09090909090909091	15.564285714285713	0.0808886355992944	16.087551165418567
12-17y	81y+	0.04166666666666666	0	2	12	184	2020-12-06	Mexico	NA	0	2.5625	2	NA	0.03899492822533169	0.041666666666666664	0.41666666666666663	0.03920288594354643	0.4288602817244594
18-25y	12-17y	0.01724137931034482	0	29	2	184	2020-12-06	Mexico	1.3139120095124852	6	NA	0	NA	0.01613583236910277	0.020416666666666666	0.1388888888888889	0.018257622437451396	0.11753762162607191
18-25y	18-25y	1.3139120095124852	6	29	29	184	2020-12-06	Mexico	1.3139120095124852	6	1.3139120095124852	6	1	1.2296617081281769	0.018444444444444454	4.285379042954798	0.015941259176638443	3.6192278581090047
18-25y	26-45y	1.0706273369339427	14	29	83	184	2020-12-06	Mexico	1.3139120095124852	6	1.0685150239512269	40	0.8987703059911993	1.001976867835611	0.5472511615368759	1.4680510204081632	0.463972929351645	1.3883881301766323
18-25y	46-65y	1.1543887147335423	8	29	44	184	2020-12-06	Mexico	1.3139120095124852	6	1.141012396694215	12	0.9404678301416868	1.0803673218040175	0.8200000000000001	1.559296296296296	0.718224463159711	1.4227255893150796
18-25y	65-80y	0.00246305418719211	0	29	14	184	2020-12-06	Mexico	1.3139120095124852	6	1.8826530612244896	2	0.00154106306781626	0.00230511890987182	0.0037272727272727275	0.019047619047619035	0.0032619616482167466	0.018067162726744586
18-25y	81y+	0.5316091954022989	1	29	12	184	2020-12-06	Mexico	1.3139120095124852	6	2.5625	2	0.27427899516241383	0.49752149804733553	0.0048484848484848485	2.315873015873014	0.004826417265032393	2.3861685619895052
26-45y	12-17y	1.1144578313253013	1	83	2	184	2020-12-06	Mexico	1.0685150239512269	40	NA	0	NA	1.042996875424535	0.016233766233766236	2.3968561584840655	0.015512050589252972	2.177757530393161
26-45y	18-25y	1.0706273369339427	14	83	29	184	2020-12-06	Mexico	1.0685150239512269	40	1.3139120095124852	6	0.8987703059911993	1.001976867835611	0.5472511615368759	1.4680510204081632	0.463972929351645	1.3883881301766323
26-45y	26-45y	1.0685150239512269	40	83	83	184	2020-12-06	Mexico	1.0685150239512269	40	1.0685150239512269	40	1	1	0.9568392102403092	1.273450433542592	1	1
26-45y	46-65y	1.0079408543263966	20	83	44	184	2020-12-06	Mexico	1.0685150239512269	40	1.141012396694215	12	0.912358764963378	0.9433099504760964	0.6630409356725147	1.1251448687924097	0.5529762591816407	1.1593617394270137
26-45y	65-80y	0.7925989672977625	5	83	14	184	2020-12-06	Mexico	1.0685150239512269	40	1.8826530612244896	2	0.5371425445261077	0.7417761561899586	0.29459605911330056	1.4763931623931619	0.26859558695010977	1.4717314779601862
26-45y	81y+	0.5552208835341366	3	83	12	184	2020-12-06	Mexico	1.0685150239512269	40	2.5625	2	0.30582130884710684	0.5196191640628538	0.0032408607726212087	1.1380820105820102	0.002504320817261676	1.1041389975036349
46-65y	12-17y	0.01136363636363636	0	44	2	184	2020-12-06	Mexico	1.141012396694215	12	NA	0	NA	0.01063498042509046	0.014928698752228164	0.04880952380952381	0.013240682403376853	0.04250838309036385
46-65y	18-25y	1.1543887147335423	8	44	29	184	2020-12-06	Mexico	1.141012396694215	12	1.3139120095124852	6	0.9404678301416868	1.0803673218040175	0.8200000000000001	1.559296296296296	0.718224463159711	1.4227255893150796
46-65y	26-45y	1.0079408543263966	20	44	83	184	2020-12-06	Mexico	1.141012396694215	12	1.0685150239512269	40	0.912358764963378	0.9433099504760964	0.6630409356725147	1.1251448687924097	0.5529762591816407	1.1593617394270137
46-65y	46-65y	1.141012396694215	12	44	44	184	2020-12-06	Mexico	1.141012396694215	12	1.141012396694215	12	1	1.0678487163193109	0.6801903114186852	1.6429849108367627	0.7022303353306935	1.5595393541138336
46-65y	65-80y	0.599025974025974	2	44	14	184	2020-12-06	Mexico	1.141012396694215	12	1.8826530612244896	2	0.3962250337299581	0.5606153966940545	0.3977043158861341	1.421428571428571	0.3337090560444466	1.4545523862819967
46-65y	81y+	0.6988636363636364	2	44	12	184	2020-12-06	Mexico	1.141012396694215	12	2.5625	2	0.3774058577405857	0.6540512961430636	0.005922077922077922	1.3892458418774203	0.005264590914895093	1.265716140269423
65-80y	12-17y	6.607142857142857	1	14	2	184	2020-12-06	Mexico	1.8826530612244896	2	NA	0	NA	6.18348147573117	0.09090909090909091	15.564285714285713	0.0808886355992944	16.087551165418567
65-80y	18-25y	0.00246305418719211	0	14	29	184	2020-12-06	Mexico	1.8826530612244896	2	1.3139120095124852	6	0.00154106306781626	0.00230511890987182	0.0037272727272727275	0.019047619047619035	0.0032619616482167466	0.018067162726744586
65-80y	26-45y	0.7925989672977625	5	14	83	184	2020-12-06	Mexico	1.8826530612244896	2	1.0685150239512269	40	0.5371425445261077	0.7417761561899586	0.29459605911330056	1.4763931623931619	0.26859558695010977	1.4717314779601862
65-80y	46-65y	0.599025974025974	2	14	44	184	2020-12-06	Mexico	1.8826530612244896	2	1.141012396694215	12	0.3962250337299581	0.5606153966940545	0.3977043158861341	1.421428571428571	0.3337090560444466	1.4545523862819967
65-80y	65-80y	1.8826530612244896	2	14	14	184	2020-12-06	Mexico	1.8826530612244896	2	1.8826530612244896	2	1	1.7619341038955998	0.013375000000000003	3.9750566893424004	0.010959675041571875	3.6985798182112557
65-80y	81y+	4.386904761904762	4	14	12	184	2020-12-06	Mexico	1.8826530612244896	2	2.5625	2	1.9737924438067909	4.105608871724209	0.049523809523809546	7.220779220779217	0.04700342048557297	6.8532776659489
81y+	12-17y	0.04166666666666666	0	12	2	184	2020-12-06	Mexico	2.5625	2	NA	0	NA	0.03899492822533169	0.041666666666666664	0.41666666666666663	0.03920288594354643	0.4288602817244594
81y+	18-25y	0.5316091954022989	1	12	29	184	2020-12-06	Mexico	2.5625	2	1.3139120095124852	6	0.27427899516241383	0.49752149804733553	0.0048484848484848485	2.315873015873014	0.004826417265032393	2.3861685619895052
81y+	26-45y	0.5552208835341366	3	12	83	184	2020-12-06	Mexico	2.5625	2	1.0685150239512269	40	0.30582130884710684	0.5196191640628538	0.0032408607726212087	1.1380820105820102	0.002504320817261676	1.1041389975036349
81y+	46-65y	0.6988636363636364	2	12	44	184	2020-12-06	Mexico	2.5625	2	1.141012396694215	12	0.3774058577405857	0.6540512961430636	0.005922077922077922	1.3892458418774203	0.005264590914895093	1.265716140269423
81y+	65-80y	4.386904761904762	4	12	14	184	2020-12-06	Mexico	2.5625	2	1.8826530612244896	2	1.9737924438067909	4.105608871724209	0.049523809523809546	7.220779220779217	0.04700342048557297	6.8532776659489
81y+	81y+	2.5625	2	12	12	184	2020-12-06	Mexico	2.5625	2	2.5625	2	1	2.3981880858578997	0.018494897959183673	15.531944444444424	0.015990558186672603	15.086664222843517
12-17y	12-17y	0.25	0	2	2	288	2021-01-03	Mexico	NA	0	NA	0	NA	0.2391500904159132	0.25	1	0.22745267328491586	1.1528062257453366
12-17y	18-25y	0.01785714285714285	0	2	28	288	2021-01-03	Mexico	NA	0	3.674744897959183	10	NA	0.01708214931542237	0.022321428571428572	0.075	0.021418045833932496	0.06655505853867462
12-17y	26-45y	1.2565217391304349	1	2	115	288	2021-01-03	Mexico	NA	0	1.0453686200378072	48	NA	1.201989150090416	0.01219692489651094	2.6297357926221334	0.012231502673173408	2.724125100235592
12-17y	46-65y	1.6055555555555556	1	2	90	288	2021-01-03	Mexico	NA	0	0.8534567901234568	24	NA	1.5358750251155315	0.01667129758266185	3.497027972027972	0.01563027270379414	3.5135933078851
12-17y	6-11y	0.25	0	2	2	288	2021-01-03	Mexico	NA	0	144.25	2	NA	0.2391500904159132	0.25	0.5	0.2262074286968811	0.5745920427568313
12-17y	65-80y	0.01388888888888888	0	2	36	288	2021-01-03	Mexico	NA	0	1.334104938271605	6	NA	0.0132861161342174	0.019230769230769232	0.06666666666666667	0.01798122930140998	0.06600769039682278
12-17y	81y+	0.03333333333333333	0	2	15	288	2021-01-03	Mexico	NA	0	2.5644444444444443	2	NA	0.03188667872212176	0.045454545454545456	0.3333333333333333	0.04250108743969633	0.3226420432269504
18-25y	12-17y	0.01785714285714285	0	28	2	288	2021-01-03	Mexico	3.674744897959183	10	NA	0	NA	0.01708214931542237	0.022321428571428572	0.075	0.021418045833932496	0.06655505853867462
18-25y	18-25y	3.674744897959183	10	28	28	288	2021-01-03	Mexico	3.674744897959183	10	3.674744897959183	10	1	3.515262298409418	2.4898148148148147	6.536332179930795	2.4028668576069077	6.104279482805859
18-25y	26-45y	0.6263975155279503	7	28	115	288	2021-01-03	Mexico	3.674744897959183	10	1.0453686200378072	48	0.2654162926970307	0.5992120898992509	0.22662185339918517	1.035610119047619	0.20514915537555659	1.0851868208551427
18-25y	46-65y	1.028968253968254	9	28	90	288	2021-01-03	Mexico	3.674744897959183	10	0.8534567901234568	24	0.45447103501431985	0.984311403886449	0.5709288296725984	1.418825910931174	0.5718052190660836	1.3824026339998374
18-25y	6-11y	0.01785714285714285	0	28	2	288	2021-01-03	Mexico	3.674744897959183	10	144.25	2	2.414355065403154e-4	0.01708214931542237	0.021726190476190475	0.041666666666666664	0.02052482361637779	0.04063914473467749
18-25y	65-80y	0.5724206349206349	2	28	36	288	2021-01-03	Mexico	3.674744897959183	10	1.334104938271605	6	0.22856370369904616	0.5475777863888172	0.19017687559354243	1.1173934837092732	0.18837827328604462	1.152699630105114
18-25y	81y+	0.00238095238095238	0	28	15	288	2021-01-03	Mexico	3.674744897959183	10	2.5644444444444443	2	7.632249160225443e-4	0.00227761990872298	0.0036263736263736266	0.03176691729323303	0.003374733645825849	0.030410717890587663
26-45y	12-17y	1.2565217391304349	1	115	2	288	2021-01-03	Mexico	1.0453686200378072	48	NA	0	NA	1.201989150090416	0.01219692489651094	2.6297357926221334	0.012231502673173408	2.724125100235592
26-45y	18-25y	0.6263975155279503	7	115	28	288	2021-01-03	Mexico	1.0453686200378072	48	3.674744897959183	10	0.2654162926970307	0.5992120898992509	0.22662185339918517	1.035610119047619	0.20514915537555659	1.0851868208551427
26-45y	26-45y	1.0453686200378072	48	115	115	288	2021-01-03	Mexico	1.0453686200378072	48	1.0453686200378072	48	1	1	0.8765105335467914	1.2336004325011007	1	1
26-45y	46-65y	1.1409661835748792	41	115	90	288	2021-01-03	Mexico	1.0453686200378072	48	0.8534567901234568	24	1.2017599695782235	1.091448663853727	1.0059400451243672	1.3379005454294393	0.8892405989567446	1.4956478533351558
26-45y	6-11y	0.00434782608695652	0	115	2	288	2021-01-03	Mexico	1.0453686200378072	48	144.25	2	5.9848102912716096e-5	0.00415913200723327	0.0060185185185185185	0.008576855639976622	0.005907149643452843	0.008569563928648567
26-45y	65-80y	0.7654589371980677	11	115	36	288	2021-01-03	Mexico	1.0453686200378072	48	1.334104938271605	6	0.6433851172878066	0.7322382961623468	0.4438255106475448	1.124005602240896	0.410162498995558	1.2212916964925582
26-45y	81y+	1.1692753623188403	7	115	15	288	2021-01-03	Mexico	1.0453686200378072	48	2.5644444444444443	2	0.647831531124755	1.1185292344786015	0.7407083333333334	1.9541741071428564	0.7233020836709809	1.8423521790760335
46-65y	12-17y	1.6055555555555556	1	90	2	288	2021-01-03	Mexico	0.8534567901234568	24	NA	0	NA	1.5358750251155315	0.01667129758266185	3.497027972027972	0.01563027270379414	3.5135933078851
46-65y	18-25y	1.028968253968254	9	90	28	288	2021-01-03	Mexico	0.8534567901234568	24	3.674744897959183	10	0.45447103501431985	0.984311403886449	0.5709288296725984	1.418825910931174	0.5718052190660836	1.3824026339998374
46-65y	26-45y	1.1409661835748792	41	90	115	288	2021-01-03	Mexico	0.8534567901234568	24	1.0453686200378072	48	1.2017599695782235	1.091448663853727	1.0059400451243672	1.3379005454294393	0.8892405989567446	1.4956478533351558
46-65y	46-65y	0.8534567901234568	24	90	90	288	2021-01-03	Mexico	0.8534567901234568	24	0.8534567901234568	24	1	0.816417074096399	0.6762490928614165	1.0757499999999998	0.6810353304953469	1.0107915996024903
46-65y	6-11y	0.00555555555555555	0	90	2	288	2021-01-03	Mexico	0.8534567901234568	24	144.25	2	7.657371751785444e-5	0.00531444645368696	0.0078125	0.011691176470588234	0.006954606604678816	0.0118131869016328
46-65y	65-80y	1.155864197530864	13	90	36	288	2021-01-03	Mexico	0.8534567901234568	24	1.334104938271605	6	1.056760303060231	1.1057001093920924	0.6108371040723983	1.4380879564879558	0.6620048270617206	1.5345343427734675
46-65y	81y+	0.4274074074074074	2	90	15	288	2021-01-03	Mexico	0.8534567901234568	24	2.5644444444444443	2	0.25009933176810545	0.40885808050365013	0.002137330754352031	0.878522727272727	0.0018258457044336663	0.8703112433778528
6-11y	12-17y	0.25	0	2	2	288	2021-01-03	Mexico	144.25	2	NA	0	NA	0.2391500904159132	0.25	0.5	0.2262074286968811	0.5745920427568313
6-11y	18-25y	0.01785714285714285	0	2	28	288	2021-01-03	Mexico	144.25	2	3.674744897959183	10	2.414355065403154e-4	0.01708214931542237	0.021726190476190475	0.041666666666666664	0.02052482361637779	0.04063914473467749
6-11y	26-45y	0.00434782608695652	0	2	115	288	2021-01-03	Mexico	144.25	2	1.0453686200378072	48	5.9848102912716096e-5	0.00415913200723327	0.0060185185185185185	0.008576855639976622	0.005907149643452843	0.008569563928648567
6-11y	46-65y	0.00555555555555555	0	2	90	288	2021-01-03	Mexico	144.25	2	0.8534567901234568	24	7.657371751785444e-5	0.00531444645368696	0.0078125	0.011691176470588234	0.006954606604678816	0.0118131869016328
6-11y	6-11y	144.25	2	2	2	288	2021-01-03	Mexico	144.25	2	144.25	2	1	137.9896021699819	80.25	101.05	73.9105471171521	108.94152583290484
6-11y	65-80y	0.01388888888888888	0	2	36	288	2021-01-03	Mexico	144.25	2	1.334104938271605	6	1.908022705470195e-4	0.0132861161342174	0.016647465437788018	0.03166666666666666	0.015022088269333838	0.036736110484879625
6-11y	81y+	0.03333333333333333	0	2	15	288	2021-01-03	Mexico	144.25	2	2.5644444444444443	2	4.54087926558846e-4	0.03188667872212176	0.03942307692307692	0.0625	0.036588008240403966	0.06745587708983494
65-80y	12-17y	0.01388888888888888	0	36	2	288	2021-01-03	Mexico	1.334104938271605	6	NA	0	NA	0.0132861161342174	0.019230769230769232	0.06666666666666667	0.01798122930140998	0.06600769039682278
65-80y	18-25y	0.5724206349206349	2	36	28	288	2021-01-03	Mexico	1.334104938271605	6	3.674744897959183	10	0.22856370369904616	0.5475777863888172	0.19017687559354243	1.1173934837092732	0.18837827328604462	1.152699630105114
65-80y	26-45y	0.7654589371980677	11	36	115	288	2021-01-03	Mexico	1.334104938271605	6	1.0453686200378072	48	0.6433851172878066	0.7322382961623468	0.4438255106475448	1.124005602240896	0.410162498995558	1.2212916964925582
65-80y	46-65y	1.155864197530864	13	36	90	288	2021-01-03	Mexico	1.334104938271605	6	0.8534567901234568	24	1.056760303060231	1.1057001093920924	0.6108371040723983	1.4380879564879558	0.6620048270617206	1.5345343427734675
65-80y	6-11y	0.01388888888888888	0	36	2	288	2021-01-03	Mexico	1.334104938271605	6	144.25	2	1.908022705470195e-4	0.0132861161342174	0.016647465437788018	0.03166666666666666	0.015022088269333838	0.036736110484879625
65-80y	65-80y	1.334104938271605	6	36	36	288	2021-01-03	Mexico	1.334104938271605	6	1.334104938271605	6	1	1.276205266447883	0.6284449704142012	2.3726111111111106	0.6211068603310124	2.0927263702373478
65-80y	81y+	2.1351851851851853	4	36	15	288	2021-01-03	Mexico	1.334104938271605	6	2.5644444444444443	2	1.095374189513352	2.0425189203670215	0.05277777777777782	3.619630952380952	0.05192747840766736	3.2000433405037016
81y+	12-17y	0.03333333333333333	0	15	2	288	2021-01-03	Mexico	2.5644444444444443	2	NA	0	NA	0.03188667872212176	0.045454545454545456	0.3333333333333333	0.04250108743969633	0.3226420432269504
81y+	18-25y	0.00238095238095238	0	15	28	288	2021-01-03	Mexico	2.5644444444444443	2	3.674744897959183	10	7.632249160225443e-4	0.00227761990872298	0.0036263736263736266	0.03176691729323303	0.003374733645825849	0.030410717890587663
81y+	26-45y	1.1692753623188403	7	15	115	288	2021-01-03	Mexico	2.5644444444444443	2	1.0453686200378072	48	0.647831531124755	1.1185292344786015	0.7407083333333334	1.9541741071428564	0.7233020836709809	1.8423521790760335
81y+	46-65y	0.4274074074074074	2	15	90	288	2021-01-03	Mexico	2.5644444444444443	2	0.8534567901234568	24	0.25009933176810545	0.40885808050365013	0.002137330754352031	0.878522727272727	0.0018258457044336663	0.8703112433778528
81y+	6-11y	0.03333333333333333	0	15	2	288	2021-01-03	Mexico	2.5644444444444443	2	144.25	2	4.54087926558846e-4	0.03188667872212176	0.03942307692307692	0.0625	0.036588008240403966	0.06745587708983494
81y+	65-80y	2.1351851851851853	4	15	36	288	2021-01-03	Mexico	2.5644444444444443	2	1.334104938271605	6	1.095374189513352	2.0425189203670215	0.05277777777777782	3.619630952380952	0.05192747840766736	3.2000433405037016
81y+	81y+	2.5644444444444443	2	15	15	288	2021-01-03	Mexico	2.5644444444444443	2	2.5644444444444443	2	1	2.453148483021901	0.014313271604938272	7.50104166666666	0.01328692016967407	7.203761749742813
0-5y	0-5y	0.25	0	2	2	996	2021-01-31	Mexico	NA	0	NA	0	NA	0.2137335576525178	0.25	1	0.20401912550348814	0.9001186025409699
0-5y	12-17y	0.02272727272727272	0	2	22	996	2021-01-31	Mexico	NA	0	8.233471074380166	4	NA	0.01943032342295616	0.027777777777777776	0.09545454545454546	0.02340134980844789	0.08421884106454665
0-5y	18-25y	6.23125	1	2	80	996	2021-01-31	Mexico	NA	0	3.42390625	22	NA	5.327308924489007	0.01628707627118644	14.502600472813238	0.014448835218298973	12.700322256686064
0-5y	26-45y	0.00140845070422535	0	2	355	996	2021-01-31	Mexico	NA	0	1.1696806189248166	148	NA	0.00120413271916911	0.0019121088037437847	0.00479619065145381	0.0016544734886531041	0.004152533392400218
0-5y	46-65y	0.00141643059490085	0	2	353	996	2021-01-31	Mexico	NA	0	1.0550843037019797	132	NA	0.00121095500086412	0.002028606228191454	0.004978204874182683	0.0017237937631120206	0.004343208732422265
0-5y	6-11y	26.23684210526316	1	2	19	996	2021-01-31	Mexico	NA	0	5.520775623268698	2	NA	22.43077441890108	0.06904761904761905	88.16428571428571	0.057566636602297744	78.20663394050186
0-5y	65-80y	0.00340136054421768	0	2	147	996	2021-01-31	Mexico	NA	0	1.1062520246193717	24	NA	0.0029079395598982	0.004329734592892488	0.014185110663983903	0.003676084451955649	0.011827446831299524
0-5y	81y+	0.02777777777777777	0	2	18	996	2021-01-31	Mexico	NA	0	NA	0	NA	0.02374817307250197	0.0358974358974359	0.13392857142857142	0.029655800842876275	0.1123529136829264
12-17y	0-5y	0.02272727272727272	0	22	2	996	2021-01-31	Mexico	8.233471074380166	4	NA	0	NA	0.01943032342295616	0.027777777777777776	0.09545454545454546	0.02340134980844789	0.08421884106454665
12-17y	12-17y	8.233471074380166	4	22	22	996	2021-01-31	Mexico	8.233471074380166	4	8.233471074380166	4	1	7.039076258225484	0.010185185185185188	16.819740302432603	0.008556822146242251	14.512445579436037
12-17y	18-25y	1.6982954545454545	3	22	80	996	2021-01-31	Mexico	8.233471074380166	4	3.42390625	22	0.2913683596727456	1.4519309177803994	0.6975671750181553	2.9694491070865148	0.5991343376184821	2.5623371324965554
12-17y	26-45y	0.6377720870678617	5	22	355	996	2021-01-31	Mexico	8.233471074380166	4	1.1696806189248166	148	0.13565070688415112	0.5452531885619417	0.27436896895322016	0.9201861326746646	0.22693383749154095	0.8208704765708958
