x	y	RR	N_pairs	N_x	N_y	N_total	date	country	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
12-17y	12-17y	0.01234567901234567	0	9	9	108	2020-11-08	Mexico	NA	0	NA	0	NA	0.01169470426331357	0.014313271604938272	1	0.012598991346312965	0.8766498289066318
12-17y	18-25y	0.00555555555555555	0	9	20	108	2020-11-08	Mexico	NA	0	1.0825	4	NA	0.0052626169184911	0.007043343653250775	0.12666666666666657	0.0067280503390642465	0.08914091116295281
12-17y	26-45y	1.1284722222222223	3	9	32	108	2020-11-08	Mexico	NA	0	1.0556640625	10	NA	1.0689690615685066	0.045454545454545456	1.8048309178743962	0.03867571124835476	3.07980834164067
12-17y	46-65y	0.8611111111111112	2	9	28	108	2020-11-08	Mexico	NA	0	1.378826530612245	10	NA	0.815705622366122	0.017833333333333336	1.223076923076923	0.01469739575044581	1.8004951762998376
12-17y	65-80y	3.282828282828283	3	9	11	108	2020-11-08	Mexico	NA	0	NA	0	NA	3.109728179108383	2.128571428571429	11.98	1.5322435097763714	11.426224521721874
12-17y	81y+	1.5138888888888888	1	9	8	108	2020-11-08	Mexico	NA	0	NA	0	NA	1.4340631102888273	0.07827380952380952	2.3183333333333334	0.06272298009064867	2.7198818738913078
18-25y	12-17y	0.00555555555555555	0	20	9	108	2020-11-08	Mexico	1.0825	4	NA	0	NA	0.0052626169184911	0.007043343653250775	0.12666666666666657	0.0067280503390642465	0.08914091116295281
18-25y	18-25y	1.0825	4	20	20	108	2020-11-08	Mexico	1.0825	4	1.0825	4	1	1.025420906567993	0.006999494012481027	5.3329999999999975	0.010057654444044065	4.604309741721141
18-25y	26-45y	1.6890625	10	20	32	108	2020-11-08	Mexico	1.0825	4	1.0556640625	10	1.5799185194658092	1.6	0.43588235294117683	2.224318181818181	0.2503909235355143	3.8671643536566345
18-25y	46-65y	0.9660714285714286	5	20	28	108	2020-11-08	Mexico	1.0825	4	1.378826530612245	10	0.7850006218647652	0.9151314920047576	0.5062114356232004	2.169829059829059	0.41004441259304236	2.502188934802571
18-25y	65-80y	0.00454545454545454	0	20	11	108	2020-11-08	Mexico	1.0825	4	NA	0	NA	0.00430577747876545	0.006561747506019952	0.041666666666666664	0.005768069260988948	0.03658540523393529
18-25y	81y+	0.68125	1	20	8	108	2020-11-08	Mexico	1.0825	4	NA	0	NA	0.6453283996299722	0.012506764069264074	4.5796875	0.01278085865630008	7.872133264462812
26-45y	12-17y	1.1284722222222223	3	32	9	108	2020-11-08	Mexico	1.0556640625	10	NA	0	NA	1.0689690615685066	0.045454545454545456	1.8048309178743962	0.03867571124835476	3.07980834164067
26-45y	18-25y	1.6890625	10	32	20	108	2020-11-08	Mexico	1.0556640625	10	1.0825	4	1.5799185194658092	1.6	0.43588235294117683	2.224318181818181	0.2503909235355143	3.8671643536566345
26-45y	26-45y	1.0556640625	10	32	32	108	2020-11-08	Mexico	1.0556640625	10	1.0556640625	10	1	1	0.5389026198714781	1.6426215277777776	1	1
26-45y	46-65y	0.6037946428571429	5	32	28	108	2020-11-08	Mexico	1.0556640625	10	1.378826530612245	10	0.4960336627016938	0.5719571825029734	0.4194708994708995	1.0542986425339365	0.33524078945629043	1.493609895748932
26-45y	65-80y	0.6164772727272727	2	32	11	108	2020-11-08	Mexico	1.0556640625	10	NA	0	NA	0.5839710705575645	0.006022727272727273	1.1154188948306594	0.005231565962109179	1.9294871794871773
26-45y	81y+	0.84765625	2	32	8	108	2020-11-08	Mexico	1.0556640625	10	NA	0	NA	0.8029602220166513	0.04372710622710623	1.2417690058479534	0.04917974348881941	1.7084240445089502
46-65y	12-17y	0.8611111111111112	2	28	9	108	2020-11-08	Mexico	1.378826530612245	10	NA	0	NA	0.815705622366122	0.017833333333333336	1.223076923076923	0.01469739575044581	1.8004951762998376
