x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
5-11	25-64	0.9915590217829018	6732	11331	303384	506332	2020-11-08	1.6799969664672898	426	1.0217204551339962	185730	0.734021266513663	0.9704797597038038	0.965675125513237	1.0160921018024036	0.9453327149760377	0.9946674817196304
5-11	5-11	1.6799969664672898	426	11331	11331	506332	2020-11-08	1.6799969664672898	426	1.6799969664672898	426	1	1.6442824042775597	1.28143615387686	2.3180165490333264	1.2577233606358456	2.273976907380045
5-11	65-80	0.9991410877905784	1210	11331	54116	506332	2020-11-08	1.6799969664672898	426	1.2977545478188377	7506	0.6710708284402355	0.9779006407966488	0.8735253612325864	1.111732202451267	0.8569577955190413	1.0873878315545225
5-11	80+	0.7800120171268067	222	11331	12718	506332	2020-11-08	1.6799969664672898	426	6.529982820633471	2086	0.1900155755200116	0.7634299707002635	0.580266146450146	1.0154274432669765	0.5694276939050814	0.99500356807224
65-80	0-4	0.7904331737869218	178	54116	2107	506332	2020-11-08	1.2977545478188377	7506	3.19348121805206	28	0.3519891695704149	0.7736295870510475	0.5649458180456278	1.0364098270002298	0.5533414672049419	1.0102036573577498
65-80	12-17	0.9733344829071872	2918	54116	28050	506332	2020-11-08	1.2977545478188377	7506	1.3578509486179822	2110	0.7330414733763481	0.9526426509485284	0.8859510246754996	1.0589777237953406	0.8683231135259211	1.0357124159337814
65-80	18-24	0.8252348987176372	8346	54116	94626	506332	2020-11-08	1.2977545478188377	7506	1.3193693141675968	23332	0.6306426002254797	0.8076914723307654	0.7530640511529897	0.8914322817482542	0.7362564744411244	0.8708984857947086
65-80	25-64	0.985374841268404	31951	54116	303384	506332	2020-11-08	1.2977545478188377	7506	1.0217204551339962	185730	0.8496533396686419	0.9644270468669186	0.9681350020505427	1.0045007014421203	0.9450333074314639	0.9849529041946776
65-80	5-11	0.9991410877905784	1210	54116	11331	506332	2020-11-08	1.2977545478188377	7506	1.6799969664672898	426	0.6710708284402355	0.9779006407966488	0.8735253612325864	1.111732202451267	0.8569577955190413	1.0873878315545225
65-80	65-80	1.2977545478188377	7506	54116	54116	506332	2020-11-08	1.2977545478188377	7506	1.2977545478188377	7506	1	1.2701659649641055	1.1883952300376686	1.4092579216966359	1.1630918048415253	1.381788748803017
