state	x	year_month	RR	nRR	nRR_fixed	N_pairs	date	share_inperson	share_hybrid	share_virtual	trajectory_type
Delaware	School Aged	2021-05-01	0.01	NA	0.00962968677673198	0	2021-05-01	0.16666666666666666	0.7857142857142857	0.04761904761904761	Persistent Low
Delaware	School Aged	2021-06-01	0.25	NA	0.19306569343065696	0	2021-06-01	0.16666666666666666	0.7857142857142857	0.04761904761904761	Persistent Low
District of Columbia	School Aged	2020-11-01	1	NA	1	0	2020-11-01	0	0	1	Persistent Low
District of Columbia	School Aged	2020-12-01	0.1111111111111111	NA	0.08515908400850151	0	2020-12-01	0	0	1	Persistent Low
District of Columbia	School Aged	2021-01-01	34.23044217687075	1	28.5253466350121	4	2021-01-01	0	0	1	Persistent Low
District of Columbia	School Aged	2021-02-01	0.01234567901234567	NA	0.01064228129004696	0	2021-02-01	0	1	0	Persistent Low
District of Columbia	School Aged	2021-03-01	1.7563775510204085	1	1.5346002551652422	4	2021-03-01	0	1	0	Persistent Low
District of Columbia	School Aged	2021-04-01	1.6543367346938775	1	1.6130596075437371	4	2021-04-01	0	1	0	Persistent Low
Florida	School Aged	2020-12-01	2.514792899408284	1	2.5337718716373963	2	2020-12-01	0.9870857198507462	0	0.01291428019402985	Persistent High
Florida	School Aged	2021-01-01	1.5625853066646789	1	1.559590928266453	108	2021-01-01	0.996605746716418	0	0.00339425379104477	Persistent High
Georgia	School Aged	2020-08-01	1	NA	0.5051546391752577	0	2020-08-01	0.5501888216666667	0.1013479983838384	0.3484631797979798	Other
Georgia	School Aged	2021-01-01	2.0337249442067113	1	1.8533365296955608	12	2021-01-01	0.5070534025352113	0.19105924018779344	0.301887356713615	Other
Georgia	School Aged	2021-02-01	1.4112814737995785	1	1.3856001680881629	248	2021-02-01	0.6880197684976526	0.13205267985915492	0.1799275510798122	Other
Georgia	School Aged	2021-03-01	1.1347369958288076	1	1.127746532519359	366	2021-03-01	0.7159382315023474	0.14531521169014083	0.13874655624413146	Other
Georgia	School Aged	2021-04-01	0.9380115458412162	1	0.9337089734764598	168	2021-04-01	0.7618444571830986	0.12751637408450706	0.11063916859154928	Other
Georgia	School Aged	2021-05-01	1.3229847052618768	1	1.297256069003859	60	2021-05-01	0.774478268028169	0.1161816569483568	0.10934007460093896	Other
Hawaii	School Aged	2021-01-01	1	NA	1.051094890510949	0	2021-01-01	0	0	1	Persistent Low
Hawaii	School Aged	2021-02-01	0.04	NA	0.04055545269394556	0	2021-02-01	0	0	1	Persistent Low
Hawaii	School Aged	2021-03-01	0.04	NA	0.03843933114191796	0	2021-03-01	0.17567505	0.79833984	0.025985088	Persistent Low
Hawaii	School Aged	2021-04-01	0.7685185185185185	1	0.7709369070122339	2	2021-04-01	0.17567505	0.80454063	0.019784328	Persistent Low
Hawaii	School Aged	2021-05-01	0.399234693877551	1	0.4118664632576522	2	2021-05-01	0.17863345	0.80158222	0.019784328	Persistent Low
Idaho	School Aged	2020-08-01	8.416799932665601e-5	NA	7.952194071857248e-5	0	2020-08-01	0.7515243902439024	0.17073170731707318	0.07774390243902439	Other
Idaho	School Aged	2020-09-01	13.778344671201816	1	13.300655991708664	2	2020-09-01	0.6876891612883436	0.25231083877300614	0.05999999981595092	Other
Idaho	School Aged	2020-10-01	18.990614446734792	1	16.81166471073514	26	2020-10-01	0.6958325081104294	0.2822085884171779	0.02195890203067484	Other
Idaho	School Aged	2020-11-01	25.958464840297943	1	23.71892444387211	68	2020-11-01	0.6797546003067485	0.28834355699386505	0.03190184030674847	Other
Idaho	School Aged	2020-12-01	24.880954240809885	1	23.971169244662036	82	2020-12-01	0.6842850406134969	0.2553091081595092	0.0604058518404908	Other
Idaho	School Aged	2021-01-01	4.764809905109605	1	4.364853277412355	102	2021-01-01	0.7232917278282208	0.25111064036809816	0.02559763036809816	Other
Idaho	School Aged	2021-02-01	2.301815592737629	1	2.245257644813234	46	2021-02-01	0.7605170902699386	0.23203330460122695	0.00744960564417177	Other
Idaho	School Aged	2021-03-01	1.1755823545051094	1	1.1628950689344266	38	2021-03-01	0.8528514415337424	0.14382544975460124	0.00332310852760736	Other
Idaho	School Aged	2021-04-01	1.2301316850309056	1	1.2191694976758474	32	2021-04-01	0.90674846601227	0.09325153374233128	0	Other
Idaho	School Aged	2021-05-01	1.1934635984923627	1	1.1647931644889389	16	2021-05-01	0.9079754601226994	0.0920245398773006	0	Other
Idaho	School Aged	2021-06-01	0.7206948895260583	1	0.7195454518746042	4	2021-06-01	0.8333333333333334	0.16666666666666666	0	Other
Illinois	School Aged	2020-08-01	1.8888888888888888	1	1.786535303776683	4	2020-08-01	0.4629486614090909	0.2154525367936118	0.32159880186732187	Other
Illinois	School Aged	2020-09-01	1.4862948960302458	1	1.4645776929864818	12	2020-09-01	0.4017100060739884	0.3290068922289017	0.2692831019537572	Other
Illinois	School Aged	2020-10-01	1.65117769588207	1	1.6394989288526174	16	2020-10-01	0.40456905182427744	0.412130943934104	0.18330000434913296	Other
Illinois	School Aged	2020-11-01	1.641304347826087	1	1.63372818548445	8	2020-11-01	0.29784026543583814	0.5067969006751445	0.1953628340890173	Other
Illinois	School Aged	2020-12-01	3.140625	1	2.7905937740199844	4	2020-12-01	0.3230065861296296	0.3282193535034722	0.3487740607326389	Other
Illinois	School Aged	2021-01-01	4.164889532136106	1	3.982815773912888	26	2021-01-01	0.35032697775028904	0.5137518560520231	0.13592116668208093	Other
Illinois	School Aged	2021-02-01	1.7554998316451482	1	1.7137743335367863	242	2021-02-01	0.31668156160231214	0.5990817406381503	0.08423669787514451	Other
Illinois	School Aged	2021-03-01	1.2568174141451844	1	1.2447984456985048	866	2021-03-01	0.5212310449629629	0.4190458306736111	0.05972312466550926	Other
Illinois	School Aged	2021-04-01	1.2424680244068946	1	1.2288679781284808	1600	2021-04-01	0.6125730832560834	0.35226681233835455	0.03516010403244496	Other
Illinois	School Aged	2021-05-01	1.2117538196739333	1	1.1999021113577	994	2021-05-01	0.6726887033077816	0.2947741190859466	0.03253717750406504	Other
Illinois	School Aged	2021-06-01	1.1883122377998494	1	1.1773759155564545	140	2021-06-01	0.7113810818955824	0.1853586414497992	0.10326027678313252	Other
Indiana	School Aged	2021-01-01	1.4410410040696282	1	1.5431883198549907	20	2021-01-01	0.7378695526825397	0.06446495830423281	0.1976654873253968	Other
Indiana	School Aged	2021-02-01	1.2836813703817072	1	1.2550576336852066	112	2021-02-01	0.7771579263835979	0.05459277443386243	0.16824929957671958	Other
Indiana	School Aged	2021-03-01	1.520093219118207	1	1.4972410018004465	238	2021-03-01	0.8862376804670185	0.02246397131398416	0.0912983476332454	Other
Indiana	School Aged	2021-04-01	1.3036295157811844	1	1.285042966565498	440	2021-04-01	0.9153067345485564	0.0158080352335958	0.06888523010236221	Other
Indiana	School Aged	2021-05-01	1.1035007127888556	1	1.0910125715577843	328	2021-05-01	0.9244453046771652	0.01127443643832021	0.06428025934908137	Other
Kansas	School Aged	2020-08-01	4.590711805555555	1	4.351402811318837	8	2020-08-01	0.9333333333023256	0.05374677013953488	0.01291989669767441	Persistent High
Kansas	School Aged	2020-10-01	1	NA	1.0005786941353485	0	2020-10-01	0.8958687031333333	0.08002263684561403	0.02410865815438596	Persistent High
Kansas	School Aged	2020-11-01	0.1111111111111111	NA	0.11066896976116118	0	2020-11-01	0.8221328678671329	0.11045454583216784	0.06741258729370629	Persistent High
Kansas	School Aged	2020-12-01	0.02777777777777777	NA	0.02691054346683485	0	2020-12-01	0.7944430148251749	0.09405477472027972	0.11150221017482516	Persistent High
Kansas	School Aged	2021-01-01	4.8412500000000005	1	3.7695182801735565	8	2021-01-01	0.8654565674335665	0.10906835045104896	0.02547508074125874	Persistent High
Kansas	School Aged	2021-02-01	2.029906437959456	1	1.569404898829042	34	2021-02-01	0.8937312687937063	0.09590409625874126	0.01036463538461538	Persistent High
Kansas	School Aged	2021-03-01	1.6720652173913044	1	1.4442138562889153	168	2021-03-01	0.9698003594755245	0.02794382975524475	0.00225580863636363	Persistent High
Kansas	School Aged	2021-04-01	1.323033070004446	1	1.236845732674596	618	2021-04-01	1	0	0	Persistent High
Kansas	School Aged	2021-05-01	1.269173521449396	1	1.2048347040754226	652	2021-05-01	1	0	0	Persistent High
Kentucky	School Aged	2020-11-01	5.453125	1	4.64607355549924	6	2020-11-01	0.00372286059411764	0.3435350397764706	0.6527420985941177	Persistent Low
Kentucky	School Aged	2020-12-01	5.078125	1	4.646885206859009	6	2020-12-01	0.00104228937058823	0.07255653612941176	0.9264011740058824	Persistent Low
Kentucky	School Aged	2021-01-01	3.0902777777777777	1	2.8220571128372542	6	2021-01-01	0.00757005518235294	0.5388731744882354	0.4535567581882353	Persistent Low
Kentucky	School Aged	2021-02-01	1.9291666666666667	1	1.6002505477818263	8	2021-02-01	0.01410766760588235	0.815083229917647	0.1708091046352941	Persistent Low
Kentucky	School Aged	2021-03-01	2.012021528092148	1	1.7662590206461148	20	2021-03-01	0.07666983700588235	0.8855868911176471	0.03774327171764706	Persistent Low
Kentucky	School Aged	2021-04-01	2.3463340557370045	1	2.220382443721778	88	2021-04-01	0.11074500988235296	0.8721890484117647	0.01706594179411764	Persistent Low
Kentucky	School Aged	2021-05-01	2.23103075544387	1	2.139329626555487	86	2021-05-01	0.11396691720588235	0.8696726150882353	0.01636046776470588	Persistent Low
Kentucky	School Aged	2021-06-01	2.3266942148760332	1	2.0926467201137378	36	2021-06-01	0.2777777777777778	0.5717433461111111	0.1504788761111111	Persistent Low
Louisiana	School Aged	2020-08-01	3.1887755102040814e-4	NA	2.641786680289677e-4	0	2020-08-01	0.38625346717127074	0.17016529518232043	0.4435812379005525	Other
Louisiana	School Aged	2020-09-01	6.925207756232687e-4	NA	5.957323838179986e-4	0	2020-09-01	0.31817168153296704	0.22944774663186812	0.4523805714780219	Other
Louisiana	School Aged	2020-11-01	73.36111111111111	1	50.643796845467214	2	2020-11-01	0.5858580428813559	0.2902717935084746	0.12387016454237287	Other
Louisiana	School Aged	2020-12-01	466.037037037037	1	442.7363964816033	2	2020-12-01	0.5607304024858757	0.30131870359887003	0.1379508930960452	Other
Louisiana	School Aged	2021-01-01	277.93634290962314	1	263.50665327092173	32	2021-01-01	0.44123760575419	0.26510971353072627	0.2936526805698324	Other
Louisiana	School Aged	2021-02-01	1.605696	1	1.4771328390801604	16	2021-02-01	0.5955455435028248	0.2595748043785311	0.14487965320903956	Other
Louisiana	School Aged	2021-03-01	0.0014792899408284	NA	0.00144654669557828	0	2021-03-01	0.595666459118644	0.3229479386158192	0.08138560384745763	Other
Louisiana	School Aged	2021-04-01	4.314516129032258	1	4.267346595622695	12	2021-04-01	0.6513297650282486	0.28258188853672317	0.06608834705649717	Other
Louisiana	School Aged	2021-05-01	6.09225839095969	1	6.056134190188192	14	2021-05-01	0.6585503662146892	0.2698415091016949	0.07160812546327684	Other
Maine	School Aged	2021-01-01	6.518194706994329	1	8.48181931536084	6	2021-01-01	0.48130922645077717	0.4727372031606218	0.04595356994818653	Other
Maine	School Aged	2021-02-01	1.9646045918367347	1	1.9323776433743185	8	2021-02-01	0.5550525234093264	0.4139208204663212	0.03102665590673575	Other
Maine	School Aged	2021-03-01	2.154266389177939	1	2.1581690358606123	10	2021-03-01	0.5755083657927461	0.39935513559585495	0.02513649813471502	Other
Maine	School Aged	2021-04-01	1.160807643771408	1	1.1578404272784906	22	2021-04-01	0.7676331688549223	0.2264621881865285	0.00590464316062176	Other
Maine	School Aged	2021-05-01	1.1634278311233044	1	1.1585592279697277	34	2021-05-01	0.8016235874870467	0.19319506554404145	0.00518134715025906	Other
Maine	School Aged	2021-06-01	1.0866285119667014	1	1.088472084986622	12	2021-06-01	0.8132907336010363	0.18152791958549225	0.00518134715025906	Other
Maryland	School Aged	2020-10-01	1	NA	NA	0	2020-10-01	0	0.04166666666666666	0.9583333333333334	Persistent Low
Maryland	School Aged	2020-11-01	0.1111111111111111	NA	0.12437810945273632	0	2020-11-01	0	0.04166666666666666	0.9583333333333334	Persistent Low
Maryland	School Aged	2020-12-01	1.6128472222222223	1	1.5599134365163856	4	2020-12-01	0	0.04166666666666666	0.9583333333333334	Persistent Low
Maryland	School Aged	2021-01-01	3.4656550602939555	1	3.295197515207005	62	2021-01-01	0	0.125	0.875	Persistent Low
Maryland	School Aged	2021-02-01	2.1056917178927885	1	2.025635513373208	246	2021-02-01	0.04166666666666666	0.5	0.4583333333333333	Persistent Low
Maryland	School Aged	2021-03-01	1.1728139912559896	1	1.158377262386204	920	2021-03-01	0.07500000041666667	0.6583333366666667	0.26666666833333336	Persistent Low
Maryland	School Aged	2021-04-01	1.113287949192609	1	1.1056094219493016	1126	2021-04-01	0.13541666666666666	0.84375	0.02083333333333333	Persistent Low
Maryland	School Aged	2021-05-01	1.12158946245331	1	1.1072470822881724	576	2021-05-01	0.16666666666666666	0.8333333333333334	0	Persistent Low
Massachusetts	School Aged	2020-12-01	0.02040816326530612	NA	0.0189508488765619	0	2020-12-01	0.11912225714987716	0.6231466578624079	0.25773108555282553	Rising In-Person
Massachusetts	School Aged	2021-01-01	0.6716151735159677	1	0.643280301425811	38	2021-01-01	0.11801537577395578	0.6241578821621622	0.25782674125307126	Rising In-Person
Massachusetts	School Aged	2021-02-01	1.4736750179510567	1	1.4444301506854866	188	2021-02-01	0.11688311673218674	0.6767286758968059	0.20638820695331697	Rising In-Person
Massachusetts	School Aged	2021-03-01	1.2451720642301038	1	1.2293807760600617	420	2021-03-01	0.16033922368550368	0.6980264720712531	0.14163430296068796	Rising In-Person
Massachusetts	School Aged	2021-04-01	1.1762906528007353	1	1.159338184097509	562	2021-04-01	0.7403594823529411	0.22189542602941176	0.03774509818627451	Rising In-Person
Massachusetts	School Aged	2021-05-01	1.201464866417696	1	1.1770050675546015	312	2021-05-01	0.9196832581372548	0.06429110144607843	0.01602564112745098	Rising In-Person
Michigan	School Aged	2021-01-01	4.96275147928994	1	4.60220151195119	12	2021-01-01	0.4	0.2732919254658385	0.3267080745341615	Other
Michigan	School Aged	2021-02-01	1.365078748125414	1	1.352466492884916	498	2021-02-01	0.4838308457711442	0.36691542288557216	0.14925373134328357	Other
Michigan	School Aged	2021-03-01	1.1657622251564228	1	1.1598769613825943	2166	2021-03-01	0.5286069651741293	0.40298507462686567	0.06840796019900497	Other
Michigan	School Aged	2021-04-01	1.146531268888243	1	1.1411363357655877	2158	2021-04-01	0.5639751552795031	0.3801242236024845	0.05590062111801242	Other
Michigan	School Aged	2021-05-01	1.1186001849030314	1	1.1153433564893347	452	2021-05-01	0.56625	0.3875	0.04625	Other
Minnesota	School Aged	2021-01-01	3.1728395061728394	1	2.9002623406571777	4	2021-01-01	0.1456757239793621	0.4965199993883677	0.3578042686679175	Other
Minnesota	School Aged	2021-02-01	1.7027137318914507	1	1.6798879606842527	86	2021-02-01	0.2717770052626642	0.5776601442682927	0.15056285081613507	Other
Minnesota	School Aged	2021-03-01	1.1238493574145296	1	1.1181754520299387	830	2021-03-01	0.4294619608818011	0.4881680067166979	0.08237002919324578	Other
Minnesota	School Aged	2021-04-01	1.0999306325140847	1	1.0942362327648931	1016	2021-04-01	0.5188868043714822	0.4163227022514071	0.06479049416510319	Other
Minnesota	School Aged	2021-05-01	1.1158978153133656	1	1.108801587984641	274	2021-05-01	0.5366500611069418	0.4099113668968105	0.05343857151969981	Other
Mississippi	School Aged	2021-01-01	0.745498199279712	1	0.7439626964643351	4	2021-01-01	0.5497975444689656	0.24719015213793105	0.20301230262068964	Other
Mississippi	School Aged	2021-02-01	2.948961937716263	1	2.788807273615032	12	2021-02-01	0.5822843521103448	0.2528502137034483	0.1648654331172414	Other
Mississippi	School Aged	2021-03-01	1.789670970428988	1	1.7067328433519022	12	2021-03-01	0.6000737315103448	0.2566542040482759	0.14327206393103448	Other
Mississippi	School Aged	2021-04-01	3.332277048438207	1	1.417077108271255	16	2021-04-01	0.6494939278551725	0.2501847834965517	0.10032128806896552	Other
Mississippi	School Aged	2021-05-01	1.6763525354740234	1	0.9625030306987784	42	2021-05-01	0.6641189551655172	0.23914934646206895	0.09673169779310344	Other
Missouri	School Aged	2020-08-01	14.19140625	1	12.21133900213868	8	2020-08-01	0.8255712044357977	0.07630782533073929	0.09812097031712062	Other
Missouri	School Aged	2020-09-01	3.5813582739929855	1	3.0084033942162267	36	2020-09-01	0.7788968825539568	0.1104316548381295	0.1106714631294964	Other
Missouri	School Aged	2020-10-01	3.508355893377759	1	3.052657201904685	68	2020-10-01	0.7569621713003597	0.1484103032769784	0.09462752313489207	Other
Missouri	School Aged	2020-11-01	3.8607609248685626	1	3.3895364193598776	42	2020-11-01	0.6705755424100719	0.14834532404316547	0.18107913639928055	Other
Missouri	School Aged	2020-12-01	6.7744140625	1	5.86090304057813	12	2020-12-01	0.7522890778597122	0.13799869194244604	0.10971223035971224	Other
Missouri	School Aged	2021-01-01	5.395254361799816	1	4.948268023995084	20	2021-01-01	0.8041308879460431	0.12955442007194246	0.0663146895323741	Other
Missouri	School Aged	2021-02-01	3.4668444444444444	1	3.3509278464384753	30	2021-02-01	0.8324768754748202	0.12480729705035971	0.04271582728417266	Other
Missouri	School Aged	2021-03-01	3.549167546904079	1	3.523294069700621	36	2021-03-01	0.848978881205036	0.12375261052158272	0.02726850767985611	Other
Missouri	School Aged	2021-04-01	1.5806310664461158	1	1.572371528323768	22	2021-04-01	0.8619904075719425	0.133513189352518	0.00449640287769784	Other
Missouri	School Aged	2021-05-01	1.6386615455770277	1	1.6120482622410652	44	2021-05-01	0.8621363779316547	0.13418830147482014	0.00367532061510791	Other
Nebraska	School Aged	2020-12-01	1.7346938775510203	1	1.97858153162255	2	2020-12-01	0.9516878180080646	0.04718589584677419	0.00112628624596774	Persistent High
Nebraska	School Aged	2021-01-01	1.061862244897959	1	1.1910382130380242	2	2021-01-01	0.9608717509516128	0.03607377939516129	0.00305446907258064	Persistent High
Nebraska	School Aged	2021-02-01	3.1212841854934603	1	3.165768317946635	8	2021-02-01	0.9652804091129032	0.03456208088709677	1.5751008064516129e-4	Persistent High
Nebraska	School Aged	2021-03-01	2.2498348526885983	1	2.24399118845422	22	2021-03-01	0.9699212663709678	0.03007873350806451	0	Persistent High
Nebraska	School Aged	2021-04-01	2.1571604938271607	1	2.134716620311509	28	2021-04-01	0.9700119679153226	0.02998803193548387	0	Persistent High
Nebraska	School Aged	2021-05-01	1.9385813148788928	1	2.0082422780539178	14	2021-05-01	0.9714103443548388	0.02858965552419354	0	Persistent High
Nebraska	School Aged	2021-06-01	1.489795918367347	1	1.1386481802426345	2	2021-06-01	0.967741935483871	0.03225806451612903	0	Persistent High
Nevada	School Aged	2020-08-01	1.0625	1	NA	2	2020-08-01	0.33416844	0.2799506257142857	0.3858809366666667	Other
Nevada	School Aged	2020-09-01	3.140625	1	2.732796892341842	4	2020-09-01	0.35442890785714287	0.4514388980952381	0.19413220047619048	Other
Nevada	School Aged	2020-10-01	2.328125	1	2.2208296086611043	2	2020-10-01	0.35436155785714285	0.45638975047619046	0.18924869452380952	Other
Nevada	School Aged	2020-11-01	0.7008310249307479	1	0.7196009569065746	2	2020-11-01	0.34691680966666666	0.4881785295238095	0.16490466457142858	Other
Nevada	School Aged	2020-12-01	0.8549382716049383	1	0.8204494272006266	2	2020-12-01	0.2963927550952381	0.4442461953333333	0.25936104885714284	Other
Nevada	School Aged	2021-01-01	1.2663253113177615	1	1.2341770736920923	98	2021-01-01	0.3167982527142857	0.4989962296190476	0.18420552	Other
Nevada	School Aged	2021-02-01	1.6701714285714286	1	1.6206622651197171	38	2021-02-01	0.36312765185714285	0.47943830404761906	0.1574340477142857	Other
Nevada	School Aged	2021-03-01	1.5873251028806583	1	1.535160077999587	32	2021-03-01	0.572472618	0.3702239676190476	0.05730341885714286	Other
Nevada	School Aged	2021-04-01	1.3852924903173884	1	1.304261798611109	34	2021-04-01	0.5967095032857143	0.38635383333333334	0.016936667	Other
Nevada	School Aged	2021-05-01	1.6669687075255042	1	1.6243503376435977	50	2021-05-01	0.5967095032857143	0.38635383333333334	0.016936667	Other
Nevada	School Aged	2021-06-01	1.3807315842680168	1	1.3625769503278455	446	2021-06-01	0.5967095032857143	0.38635383333333334	0.016936667	Other
New Hampshire	School Aged	2021-01-01	1.1237244897959184	1	1.075601346988717	8	2021-01-01	0.4818510540597826	0.3416090278804348	0.17653991842391303	Other
New Hampshire	School Aged	2021-02-01	1.162688325376651	1	1.1292497121001397	32	2021-02-01	0.5505874281521739	0.4020840279347826	0.04732854375	Other
