state	x	year_month	RR	nRR	nRR_fixed	N_pairs	date	share_inperson	share_hybrid	share_virtual	trajectory_type
Alabama	School Aged	2020-09-01	12.25	1	9.139896373056995	2	2020-09-01	0.5664335664335665	0.32167832167832167	0.11188811188811187	Other
Alabama	School Aged	2020-10-01	1.3323961937716262	1	1.2096812583930074	22	2020-10-01	0.6643356643356644	0.2727272727272727	0.06293706293706294	Other
Alabama	School Aged	2020-11-01	1.4712542137485771	1	1.400708336609203	176	2020-11-01	0.6643356643356644	0.27972027972027974	0.05594405594405594	Other
Alabama	School Aged	2020-12-01	1.5570158037426436	1	1.4981462518955788	160	2020-12-01	0.6643356643356644	0.27972027972027974	0.05594405594405594	Other
Alabama	School Aged	2021-01-01	2.4119897959183674	1	2.3201122494326025	22	2021-01-01	0.6923076923076923	0.2727272727272727	0.03496503496503497	Other
Alabama	School Aged	2021-02-01	2.6728515625	1	2.2716201071029865	12	2021-02-01	0.6923076923076923	0.2727272727272727	0.03496503496503497	Other
Alabama	School Aged	2021-03-01	1.7624691358024691	1	1.6572739273041317	8	2021-03-01	0.7622377622377622	0.23776223776223776	0	Other
Alaska	School Aged	2021-01-01	3.5625	1	3.173719376391982	2	2021-01-01	0.6165431013076923	0.042360295	0.34109660328846153	Other
Alaska	School Aged	2021-02-01	0.8339100346020761	1	0.9115564647732006	4	2021-02-01	0.6834194059423077	0.08354867748076923	0.2330319168653846	Other
Alaska	School Aged	2021-03-01	0.4432	1	0.4640286605615377	2	2021-03-01	0.6996375668269231	0.138648646	0.1617137861730769	Other
Alaska	School Aged	2021-04-01	0.00694444444444444	NA	0.00731666463637471	0	2021-04-01	0.7958277548846154	0.14337514434615384	0.06079710073076923	Other
Alaska	School Aged	2021-05-01	0.25	NA	0.28833865814696485	0	2021-05-01	0.7804265427647059	0.1623797906862745	0.05719366666666667	Other
Alaska	School Aged	2021-06-01	1	NA	1.1868131868131868	0	2021-06-01	0.875	0	0.125	Other
Arizona	School Aged	2020-12-01	1	NA	1	0	2020-12-01	0.04923571955841122	0.4031150728037383	0.5476492078130841	Persistent Low
Arizona	School Aged	2021-01-01	3.9488049940546968	1	3.733693351534336	14	2021-01-01	0.04745382902102803	0.3637122799672897	0.5888338910186915	Persistent Low
Arizona	School Aged	2021-02-01	1.8618827160493827	1	1.7699527393928185	6	2021-02-01	0.06193200960514018	0.4993212780864486	0.4387467123037383	Persistent Low
Arizona	School Aged	2021-03-01	2.3526397861439072	1	2.292148598481688	12	2021-03-01	0.0725617074135514	0.7268069087149532	0.2006313839813084	Persistent Low
Arizona	School Aged	2021-04-01	2.5124167013744274	1	2.4447544240334675	42	2021-04-01	0.09792479032476636	0.8586010422663551	0.04347416748598131	Persistent Low
Arizona	School Aged	2021-05-01	2.21305383379247	1	2.15412105172965	64	2021-05-01	0.1106795147406542	0.8458096761682243	0.04351080920560748	Persistent Low
Arkansas	School Aged	2021-01-01	1.6419753086419753	1	1.1581925175265748	4	2021-01-01	0.806537976091954	0.18579918889655173	0.00766283524904214	Persistent High
Arkansas	School Aged	2021-02-01	1.4845679012345678	1	1.431281413165471	4	2021-02-01	0.806537976091954	0.18579918889655173	0.00766283524904214	Persistent High
Arkansas	School Aged	2021-03-01	3.381344307270233	1	2.9933999248920125	14	2021-03-01	0.8212177393103448	0.17495084353256704	0.00383141762452107	Persistent High
Arkansas	School Aged	2021-04-01	5.648125	1	5.3127572016460904	18	2021-04-01	0.8212177393103448	0.17495084353256704	0.00383141762452107	Persistent High
Arkansas	School Aged	2021-05-01	4.446675900277008	1	4.308295427374072	10	2021-05-01	0.8322174435	0.16393640300384615	0.00384615384615384	Persistent High
California	School Aged	2020-09-01	21.5625	1	21.063357439115176	2	2020-09-01	0.04452298624472574	0.02708588568776371	0.928391128153481	Persistent Low
California	School Aged	2020-10-01	7.8125	1	6.845864002804066	2	2020-10-01	0.08158523901107595	0.08212834307594936	0.836286417992616	Persistent Low
California	School Aged	2020-11-01	19.0625	1	9.057233867653103	4	2020-11-01	0.11083905426054852	0.12433030922732068	0.7648306365886076	Persistent Low
California	School Aged	2020-12-01	1.4412301848199285	1	1.3358175785234834	36	2020-12-01	0.09746667536445149	0.1059589093950422	0.7965744153966244	Persistent Low
California	School Aged	2021-01-01	1.6680652046011926	1	1.6267500256638392	858	2021-01-01	0.11356909827373418	0.08741410408122363	0.7990167977378692	Persistent Low
California	School Aged	2021-02-01	1.5444006878206389	1	1.5165666979061256	1144	2021-02-01	0.12964769688185654	0.10661144527320676	0.7637408578154008	Persistent Low
California	School Aged	2021-03-01	1.9236011983023968	1	1.8805421959208404	2256	2021-03-01	0.14969747674314346	0.2060548825385021	0.6442476405996835	Persistent Low
California	School Aged	2021-04-01	1.836212594309211	1	1.7807301435969447	2618	2021-04-01	0.21737133865400843	0.544678227546941	0.2379504338649789	Persistent Low
California	School Aged	2021-05-01	1.3963259708512032	1	1.3608578002869745	1344	2021-05-01	0.25403805763343884	0.5881745905896625	0.15778735186339662	Persistent Low
California	School Aged	2021-06-01	1.6156877650591106	1	1.5974940283539514	1230	2021-06-01	0.2848277887682353	0.5943985665641176	0.1207736447117647	Persistent Low
Colorado	School Aged	2021-01-01	0.1111111111111111	NA	0.10738674075651074	0	2021-01-01	0.6348314606741573	0.24719101123595505	0.11797752808988764	Other
Colorado	School Aged	2021-02-01	1.548032809158572	1	1.5080588536110164	182	2021-02-01	0.6797752808988764	0.2808988764044944	0.03932584269662921	Other
Colorado	School Aged	2021-03-01	1.266677024613984	1	1.2534013054103188	364	2021-03-01	0.7696629213483146	0.2303370786516854	0	Other
Colorado	School Aged	2021-04-01	1.2963299243827269	1	1.274789901276251	1002	2021-04-01	0.8651685393258427	0.1348314606741573	0	Other
Colorado	School Aged	2021-05-01	1.3089685845008685	1	1.2826492225465669	980	2021-05-01	0.8707865168539326	0.12921348314606745	0	Other
Connecticut	School Aged	2021-01-01	0.826	1	0.7384130734705243	8	2021-01-01	0.450726410822335	0.2926658460507614	0.25660773303553297	Other
Connecticut	School Aged	2021-02-01	1.5904686322884138	1	1.4994231829150435	114	2021-02-01	0.5593425194771574	0.3753927983553299	0.06526468567005077	Other
Connecticut	School Aged	2021-03-01	1.3504019811357326	1	1.273634473215236	270	2021-03-01	0.641231372538071	0.3337154071573604	0.02505321710659898	Other
Connecticut	School Aged	2021-04-01	1.301973996167325	1	1.2448054023717408	286	2021-04-01	0.7443307209137056	0.2266331928426396	0.02903608360406091	Other
Connecticut	School Aged	2021-05-01	1.3711686902397575	1	1.3317483586371262	126	2021-05-01	0.8487309638578681	0.15093062637055835	3.384094923857868e-4	Other
Delaware	School Aged	2021-01-01	0.576530612244898	1	0.5471120412423992	2	2021-01-01	0.075	0.55	0.375	Persistent Low
Delaware	School Aged	2021-02-01	0.6760355029585798	1	0.6868623823195943	4	2021-02-01	0.1	0.775	0.125	Persistent Low
Delaware	School Aged	2021-03-01	1.101358024691358	1	1.0583083911363558	20	2021-03-01	0.0975609756097561	0.7804878048780488	0.12195121951219512	Persistent Low
Delaware	School Aged	2021-04-01	1.1860207612456748	1	1.14615489106228	18	2021-04-01	0.09523809523809525	0.8333333333333334	0.07142857142857142	Persistent Low
