x	y	RR	N_pairs	N_x	N_y	N_total	academic_year	state	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed
Adult	Adult	1.032508701671756	4586	5560	5560	6960	2020-2021	Mexico	1.032508701671756	4586	1.032508701671756	4586	1	1
Adult	Pre-School	0.7153263103802672	8	5560	14	6960	2020-2021	Mexico	1.032508701671756	4586	142.04591836734693	4	0.00999907987575521	0.6928041470469621
Adult	School Aged	0.8853305181941403	244	5560	345	6960	2020-2021	Mexico	1.032508701671756	4586	3.859365679479101	66	0.36195962905566614	0.8574557451774338
Adult	Seniors	0.8682024409291011	722	5560	1041	6960	2020-2021	Mexico	1.032508701671756	4586	1.8368514350625322	286	0.6051540410101539	0.8408669481655474
Pre-School	Adult	0.7153263103802672	8	14	5560	6960	2020-2021	Mexico	142.04591836734693	4	1.032508701671756	4586	0.00999907987575521	0.6928041470469621
Pre-School	Pre-School	142.04591836734693	4	14	14	6960	2020-2021	Mexico	142.04591836734693	4	142.04591836734693	4	1	137.57357990044778
Pre-School	School Aged	2.8821946169772255	2	14	345	6960	2020-2021	Mexico	142.04591836734693	4	3.859365679479101	66	0.03950774827390391	2.791448258315504
Pre-School	Seniors	6.861534239055853e-5	0	14	1041	6960	2020-2021	Mexico	142.04591836734693	4	1.8368514350625322	286	9.537673271759533e-7	6.645497735705473e-5
School Aged	Adult	0.8853305181941403	244	345	5560	6960	2020-2021	Mexico	3.859365679479101	66	1.032508701671756	4586	0.36195962905566614	0.8574557451774338
School Aged	Pre-School	2.8821946169772255	2	345	14	6960	2020-2021	Mexico	3.859365679479101	66	142.04591836734693	4	0.03950774827390391	2.791448258315504
School Aged	School Aged	3.859365679479101	66	345	345	6960	2020-2021	Mexico	3.859365679479101	66	3.859365679479101	66	1	3.7378529335688144
School Aged	Seniors	0.6395216416767601	33	345	1041	6960	2020-2021	Mexico	3.859365679479101	66	1.8368514350625322	286	0.22454257933538108	0.6193862004662019
Seniors	Adult	0.8682024409291011	722	1041	5560	6960	2020-2021	Mexico	1.8368514350625322	286	1.032508701671756	4586	0.6051540410101539	0.8408669481655474
Seniors	Pre-School	6.861534239055853e-5	0	1041	14	6960	2020-2021	Mexico	1.8368514350625322	286	142.04591836734693	4	9.537673271759533e-7	6.645497735705473e-5
Seniors	School Aged	0.6395216416767601	33	1041	345	6960	2020-2021	Mexico	1.8368514350625322	286	3.859365679479101	66	0.22454257933538108	0.6193862004662019
Seniors	Seniors	1.8368514350625322	286	1041	1041	6960	2020-2021	Mexico	1.8368514350625322	286	1.8368514350625322	286	1	1.7790178737365103
Adult	Adult	1.0168189173843023	7056	10104	10104	14712	2020-2021	Washington	1.0168189173843023	7056	1.0168189173843023	7056	1	1
Adult	Pre-School	0.9563770489248835	534	10104	813	14712	2020-2021	Washington	1.0168189173843023	7056	1.5135611503716513	68	0.755915730693404	0.9405578835857014
Adult	School Aged	0.9889245537264187	2153	10104	3170	14712	2020-2021	Washington	1.0168189173843023	7056	1.0746060762869567	734	0.9456944970237484	0.9725670292114156
Adult	Seniors	0.8410186856690419	361	10104	625	14712	2020-2021	Washington	1.0168189173843023	7056	6.32733952	168	0.22903064873654316	0.827107630759374
Pre-School	Adult	0.9563770489248835	534	813	10104	14712	2020-2021	Washington	1.5135611503716513	68	1.0168189173843023	7056	0.755915730693404	0.9405578835857014
Pre-School	Pre-School	1.5135611503716513	68	813	813	14712	2020-2021	Washington	1.5135611503716513	68	1.5135611503716513	68	1	1.488525758613131
Pre-School	School Aged	1.135991634364293	199	813	3170	14712	2020-2021	Washington	1.5135611503716513	68	1.0746060762869567	734	0.8778348034573394	1.1172015143921146
Pre-School	Seniors	0.3474440344403444	12	813	625	14712	2020-2021	Washington	1.5135611503716513	68	6.32733952	168	0.08862350106110345	0.34169705982076004
School Aged	Adult	0.9889245537264187	2153	3170	10104	14712	2020-2021	Washington	1.0746060762869567	734	1.0168189173843023	7056	0.9456944970237484	0.9725670292114156
School Aged	Pre-School	1.135991634364293	199	3170	813	14712	2020-2021	Washington	1.0746060762869567	734	1.5135611503716513	68	0.8778348034573394	1.1172015143921146
School Aged	School Aged	1.0746060762869567	734	3170	3170	14712	2020-2021	Washington	1.0746060762869567	734	1.0746060762869567	734	1	1.0568313176659891
School Aged	Seniors	0.6237521766561515	84	3170	625	14712	2020-2021	Washington	1.0746060762869567	734	6.32733952	168	0.16853735779118525	0.6134348663188837
Seniors	Adult	0.8410186856690419	361	625	10104	14712	2020-2021	Washington	6.32733952	168	1.0168189173843023	7056	0.22903064873654316	0.827107630759374
Seniors	Pre-School	0.3474440344403444	12	625	813	14712	2020-2021	Washington	6.32733952	168	1.5135611503716513	68	0.08862350106110345	0.34169705982076004
Seniors	School Aged	0.6237521766561515	84	625	3170	14712	2020-2021	Washington	6.32733952	168	1.0746060762869567	734	0.16853735779118525	0.6134348663188837
Seniors	Seniors	6.32733952	168	625	625	14712	2020-2021	Washington	6.32733952	168	6.32733952	168	1	6.222680766282999
Adult	Adult	1.0235879291582906	22306	26525	26525	32286	2020-2021	Montana	1.0235879291582906	22306	1.0235879291582906	22306	1	1
Adult	Pre-School	0.9295400689246963	349	26525	457	32286	2020-2021	Montana	1.0235879291582906	22306	2.1642670063059914	14	0.5831758895825148	0.9081194125541018
Adult	School Aged	0.922081902692423	1706	26525	2252	32286	2020-2021	Montana	1.0235879291582906	22306	1.935312483239686	304	0.6232598426285944	0.9008331149925368
Adult	Seniors	0.863041308491334	2164	26525	3052	32286	2020-2021	Montana	1.0235879291582906	22306	2.1905959652609464	632	0.5370204921938824	0.8431530735234675
Pre-School	Adult	0.9295400689246963	349	457	26525	32286	2020-2021	Montana	2.1642670063059914	14	1.0235879291582906	22306	0.5831758895825148	0.9081194125541018
Pre-School	Pre-School	2.1642670063059914	14	457	457	32286	2020-2021	Montana	2.1642670063059914	14	2.1642670063059914	14	1	2.1143928573734705
Pre-School	School Aged	1.2548447089093673	40	457	2252	32286	2020-2021	Montana	2.1642670063059914	14	1.935312483239686	304	0.6121821577600055	1.2259276151695557
Pre-School	Seniors	1.249992830328285	54	457	3052	32286	2020-2021	Montana	2.1642670063059914	14	2.1905959652609464	632	0.5740675830626748	1.2211875450271967
School Aged	Adult	0.922081902692423	1706	2252	26525	32286	2020-2021	Montana	1.935312483239686	304	1.0235879291582906	22306	0.6232598426285944	0.9008331149925368
School Aged	Pre-School	1.2548447089093673	40	2252	457	32286	2020-2021	Montana	1.935312483239686	304	2.1642670063059914	14	0.6121821577600055	1.2259276151695557
School Aged	School Aged	1.935312483239686	304	2252	2252	32286	2020-2021	Montana	1.935312483239686	304	1.935312483239686	304	1	1.890714444855869
School Aged	Seniors	0.9488832120101777	202	2252	3052	32286	2020-2021	Montana	1.935312483239686	304	2.1905959652609464	632	0.45996328995375785	0.9270168052787184
