x	y	RR	N_pairs	N_x	N_y	N_total	academic_year	state	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed
Seniors	Adult	0.863041308491334	2164	3052	26525	32286	2020-2021	Montana	2.1905959652609464	632	1.0235879291582906	22306	0.5370204921938824	0.8431530735234675
Seniors	Pre-School	1.249992830328285	54	3052	457	32286	2020-2021	Montana	2.1905959652609464	632	2.1642670063059914	14	0.5740675830626748	1.2211875450271967
Seniors	School Aged	0.9488832120101777	202	3052	2252	32286	2020-2021	Montana	2.1905959652609464	632	1.935312483239686	304	0.45996328995375785	0.9270168052787184
Seniors	Seniors	2.1905959652609464	632	3052	3052	32286	2020-2021	Montana	2.1905959652609464	632	2.1905959652609464	632	1	2.140115082308856
Adult	Adult	1.0536819369777162	4374	6159	6159	9138	2020-2021	Connecticut	1.0536819369777162	4374	1.0536819369777162	4374	1	1
Adult	Pre-School	0.6805897537876249	50	6159	109	9138	2020-2021	Connecticut	1.0536819369777162	4374	4.614847235081222	6	0.2401292233415178	0.6459157454475927
Adult	School Aged	0.9104621299527581	1007	6159	1641	9138	2020-2021	Connecticut	1.0536819369777162	4374	1.3777173963498572	406	0.7489202760508407	0.8640768129367801
Adult	Seniors	0.8788616445850278	728	6159	1229	9138	2020-2021	Connecticut	1.0536819369777162	4374	1.8270670618713343	302	0.6101619022942718	0.8340862775970833
Pre-School	Adult	0.6805897537876249	50	109	6159	9138	2020-2021	Connecticut	4.614847235081222	6	1.0536819369777162	4374	0.2401292233415178	0.6459157454475927
Pre-School	Pre-School	4.614847235081222	6	109	109	9138	2020-2021	Connecticut	4.614847235081222	6	4.614847235081222	6	1	4.379734598391259
Pre-School	School Aged	2.0945999586289408	41	109	1641	9138	2020-2021	Connecticut	4.614847235081222	6	1.3777173963498572	406	0.6990662887948631	1.9878863679080403
Pre-School	Seniors	0.8185740626003091	12	109	1229	9138	2020-2021	Connecticut	4.614847235081222	6	1.8270670618713343	302	0.2541400040008442	0.7768701672425279
School Aged	Adult	0.9104621299527581	1007	1641	6159	9138	2020-2021	Connecticut	1.3777173963498572	406	1.0536819369777162	4374	0.7489202760508407	0.8640768129367801
School Aged	Pre-School	2.0945999586289408	41	1641	109	9138	2020-2021	Connecticut	1.3777173963498572	406	4.614847235081222	6	0.6990662887948631	1.9878863679080403
School Aged	School Aged	1.3777173963498572	406	1641	1641	9138	2020-2021	Connecticut	1.3777173963498572	406	1.3777173963498572	406	1	1.3075268237980566
School Aged	Seniors	0.8472909164022612	187	1641	1229	9138	2020-2021	Connecticut	1.3777173963498572	406	1.8270670618713343	302	0.5287662415041466	0.8041239834029538
Seniors	Adult	0.8788616445850278	728	1229	6159	9138	2020-2021	Connecticut	1.8270670618713343	302	1.0536819369777162	4374	0.6101619022942718	0.8340862775970833
Seniors	Pre-School	0.8185740626003091	12	1229	109	9138	2020-2021	Connecticut	1.8270670618713343	302	4.614847235081222	6	0.2541400040008442	0.7768701672425279
Seniors	School Aged	0.8472909164022612	187	1229	1641	9138	2020-2021	Connecticut	1.8270670618713343	302	1.3777173963498572	406	0.5287662415041466	0.8041239834029538
Seniors	Seniors	1.8270670618713343	302	1229	1229	9138	2020-2021	Connecticut	1.8270670618713343	302	1.8270670618713343	302	1	1.733983470488186
Adult	Adult	1.1189669898123227	20336	22940	22940	28956	2020-2021	Louisiana	1.1189669898123227	20336	1.1189669898123227	20336	1	1
Adult	Pre-School	0.9281258013231448	25	22940	34	28956	2020-2021	Louisiana	1.1189669898123227	20336	NA	0	NA	0.8294487771071902
Adult	School Aged	0.8685203922478264	150	22940	218	28956	2020-2021	Louisiana	1.1189669898123227	20336	23.15312263277502	38	0.0715653580513802	0.7761805309319249
Adult	Seniors	0.5319229190350835	2429	22940	5764	28956	2020-2021	Louisiana	1.1189669898123227	20336	2.881333160524946	3306	0.26594150390951865	0.47536962562613183
Pre-School	Adult	0.9281258013231448	25	34	22940	28956	2020-2021	Louisiana	NA	0	1.1189669898123227	20336	NA	0.8294487771071902
Pre-School	Pre-School	8.650519031141869e-4	0	34	34	28956	2020-2021	Louisiana	NA	0	NA	0	NA	7.730808066637217e-4
Pre-School	School Aged	19.533324338909875	5	34	218	28956	2020-2021	Louisiana	NA	0	23.15312263277502	38	NA	17.456568886081328
Pre-School	Seniors	0.591016246887374	4	34	5764	28956	2020-2021	Louisiana	NA	0	2.881333160524946	3306	NA	0.5281802343306852
School Aged	Adult	0.8685203922478264	150	218	22940	28956	2020-2021	Louisiana	23.15312263277502	38	1.1189669898123227	20336	0.0715653580513802	0.7761805309319249
School Aged	Pre-School	19.533324338909875	5	218	34	28956	2020-2021	Louisiana	23.15312263277502	38	NA	0	NA	17.456568886081328
School Aged	School Aged	23.15312263277502	38	218	218	28956	2020-2021	Louisiana	23.15312263277502	38	23.15312263277502	38	1	20.69151533831963
School Aged	Seniors	0.576101108430053	25	218	5764	28956	2020-2021	Louisiana	23.15312263277502	38	2.881333160524946	3306	0.04425681973181972	0.5148508523264649
Seniors	Adult	0.5319229190350835	2429	5764	22940	28956	2020-2021	Louisiana	2.881333160524946	3306	1.1189669898123227	20336	0.26594150390951865	0.47536962562613183
Seniors	Pre-School	0.591016246887374	4	5764	34	28956	2020-2021	Louisiana	2.881333160524946	3306	NA	0	NA	0.5281802343306852
Seniors	School Aged	0.576101108430053	25	5764	218	28956	2020-2021	Louisiana	2.881333160524946	3306	23.15312263277502	38	0.04425681973181972	0.5148508523264649
Seniors	Seniors	2.881333160524946	3306	5764	5764	28956	2020-2021	Louisiana	2.881333160524946	3306	2.881333160524946	3306	1	2.5749938887904227
Adult	Adult	1.034986432737739	7836	10666	10666	15026	2020-2021	Manitoba	1.034986432737739	7836	1.034986432737739	7836	1	1
Adult	Pre-School	0.888960222447058	236	10666	374	15026	2020-2021	Manitoba	1.034986432737739	7836	1.0742443306928995	10	0.8429236268118666	0.8589100246421458
Adult	School Aged	0.9138736774994539	2022	10666	3117	15026	2020-2021	Manitoba	1.034986432737739	7836	1.2279772438166763	794	0.807678609221794	0.8829813112449035
Adult	Seniors	0.9272954056176267	572	10666	869	15026	2020-2021	Manitoba	1.034986432737739	7836	1.671411791657673	84	0.6852616124700401	0.895949334490068
Pre-School	Adult	0.888960222447058	236	374	10666	15026	2020-2021	Manitoba	1.0742443306928995	10	1.034986432737739	7836	0.8429236268118666	0.8589100246421458
Pre-School	Pre-School	1.0742443306928995	10	374	374	15026	2020-2021	Manitoba	1.0742443306928995	10	1.0742443306928995	10	1	1.037930833403599
Pre-School	School Aged	1.3920633613494395	108	374	3117	15026	2020-2021	Manitoba	1.0742443306928995	10	1.2279772438166763	794	1.209321793143199	1.3450063858974104
Pre-School	Seniors	0.9246629292997668	20	374	869	15026	2020-2021	Manitoba	1.0742443306928995	10	1.671411791657673	84	0.6735460582792555	0.8934058457692579
School Aged	Adult	0.9138736774994539	2022	3117	10666	15026	2020-2021	Manitoba	1.2279772438166763	794	1.034986432737739	7836	0.807678609221794	0.8829813112449035
School Aged	Pre-School	1.3920633613494395	108	3117	374	15026	2020-2021	Manitoba	1.2279772438166763	794	1.0742443306928995	10	1.209321793143199	1.3450063858974104
School Aged	School Aged	1.2279772438166763	794	3117	3117	15026	2020-2021	Manitoba	1.2279772438166763	794	1.2279772438166763	794	1	1.1864669960633585
School Aged	Seniors	1.0706419711792454	193	3117	869	15026	2020-2021	Manitoba	1.2279772438166763	794	1.671411791657673	84	0.7385293646901614	1.0344502471855508
Seniors	Adult	0.9272954056176267	572	869	10666	15026	2020-2021	Manitoba	1.671411791657673	84	1.034986432737739	7836	0.6852616124700401	0.895949334490068
Seniors	Pre-School	0.9246629292997668	20	869	374	15026	2020-2021	Manitoba	1.671411791657673	84	1.0742443306928995	10	0.6735460582792555	0.8934058457692579
Seniors	School Aged	1.0706419711792454	193	869	3117	15026	2020-2021	Manitoba	1.671411791657673	84	1.2279772438166763	794	0.7385293646901614	1.0344502471855508
Seniors	Seniors	1.671411791657673	84	869	869	15026	2020-2021	Manitoba	1.671411791657673	84	1.671411791657673	84	1	1.6149117889753066
Adult	Adult	0.9927944214876033	342	440	440	562	2020-2021	New Brunswick	0.9927944214876033	342	0.9927944214876033	342	1	1
Adult	School Aged	1.0452479338842975	9	440	11	562	2020-2021	New Brunswick	0.9927944214876033	342	NA	0	NA	1.0528342134699928
Adult	Seniors	1.0241400491400492	89	440	111	562	2020-2021	New Brunswick	0.9927944214876033	342	0.912344777209642	20	1.0751340897718835	1.0315731303218623
School Aged	Adult	1.0452479338842975	9	11	440	562	2020-2021	New Brunswick	NA	0	0.9927944214876033	342	NA	1.0528342134699928
School Aged	School Aged	0.008264462809917356	0	11	11	562	2020-2021	New Brunswick	NA	0	NA	0	NA	0.00832444525376551
School Aged	Seniors	0.9213759213759214	2	11	111	562	2020-2021	New Brunswick	NA	0	0.912344777209642	20	NA	0.9280631532914252
Seniors	Adult	1.0241400491400492	89	111	440	562	2020-2021	New Brunswick	0.912344777209642	20	0.9927944214876033	342	1.0751340897718835	1.0315731303218623
Seniors	School Aged	0.9213759213759214	2	111	11	562	2020-2021	New Brunswick	0.912344777209642	20	NA	0	NA	0.9280631532914252
Seniors	Seniors	0.912344777209642	20	111	111	562	2020-2021	New Brunswick	0.912344777209642	20	0.912344777209642	20	1	0.9189664622033074
Adult	Adult	1.2513222105608508	464	763	763	1570	2020-2021	District of Columbia	1.2513222105608508	464	1.2513222105608508	464	1	1
Adult	Pre-School	1.4966043131180746	8	763	11	1570	2020-2021	District of Columbia	1.2513222105608508	464	NA	0	NA	1.1960183400303321
Adult	School Aged	1.5065296760906197	41	763	56	1570	2020-2021	District of Columbia	1.2513222105608508	464	4.005420918367347	8	0.5731798716966364	1.2039502402945308
Adult	Seniors	0.6951595763522369	250	763	740	1570	2020-2021	District of Columbia	1.2513222105608508	464	1.393391161431702	486	0.5256974791400528	0.5555400283678029
Pre-School	Adult	1.4966043131180746	8	11	763	1570	2020-2021	District of Columbia	NA	0	1.2513222105608508	464	NA	1.1960183400303321
Pre-School	Pre-School	0.008264462809917356	0	11	11	1570	2020-2021	District of Columbia	NA	0	NA	0	NA	0.006604584127227447
Pre-School	School Aged	7.6477272727272725	3	11	56	1570	2020-2021	District of Columbia	NA	0	4.005420918367347	8	NA	6.111717036733098
Pre-School	Seniors	1.2285012285012285e-4	0	11	740	1570	2020-2021	District of Columbia	NA	0	1.393391161431702	486	NA	9.817625053986743e-5
School Aged	Adult	1.5065296760906197	41	56	763	1570	2020-2021	District of Columbia	4.005420918367347	8	1.2513222105608508	464	0.5731798716966364	1.2039502402945308
School Aged	Pre-School	7.6477272727272725	3	56	11	1570	2020-2021	District of Columbia	4.005420918367347	8	NA	0	NA	6.111717036733098
School Aged	School Aged	4.005420918367347	8	56	56	1570	2020-2021	District of Columbia	4.005420918367347	8	4.005420918367347	8	1	3.2009508698579645
School Aged	Seniors	0.15156853281853283	4	56	740	1570	2020-2021	District of Columbia	4.005420918367347	8	1.393391161431702	486	0.05614884555276998	0.12112670225089253
Seniors	Adult	0.6951595763522369	250	740	763	1570	2020-2021	District of Columbia	1.393391161431702	486	1.2513222105608508	464	0.5256974791400528	0.5555400283678029
Seniors	Pre-School	1.2285012285012285e-4	0	740	11	1570	2020-2021	District of Columbia	1.393391161431702	486	NA	0	NA	9.817625053986743e-5
Seniors	School Aged	0.15156853281853283	4	740	56	1570	2020-2021	District of Columbia	1.393391161431702	486	4.005420918367347	8	0.05614884555276998	0.12112670225089253
Seniors	Seniors	1.393391161431702	486	740	740	1570	2020-2021	District of Columbia	1.393391161431702	486	1.393391161431702	486	1	1.1135350668851112
Adult	Adult	1.0136719589703278	255262	361923	361923	520168	2020-2021	Quebec	1.0136719589703278	255262	1.0136719589703278	255262	1	1
Adult	Pre-School	0.9982900843286746	12354	361923	17786	520168	2020-2021	Quebec	1.0136719589703278	255262	1.63116813372331	992	0.7548963637434624	0.9848255892791216
Adult	School Aged	0.9695260998307771	45818	361923	67921	520168	2020-2021	Quebec	1.0136719589703278	255262	1.3129182510307678	11644	0.8334309116088996	0.9564495606799724
Adult	Seniors	0.9607382880443094	48489	361923	72538	520168	2020-2021	Quebec	1.0136719589703278	255262	1.3919227465835677	14080	0.798753244531353	0.9477802750114667
Pre-School	Adult	0.9982900843286746	12354	17786	361923	520168	2020-2021	Quebec	1.63116813372331	992	1.0136719589703278	255262	0.7548963637434624	0.9848255892791216
Pre-School	Pre-School	1.63116813372331	992	17786	17786	520168	2020-2021	Quebec	1.63116813372331	992	1.63116813372331	992	1	1.6091676595061633
Pre-School	School Aged	1.0613978316760215	2465	17786	67921	520168	2020-2021	Quebec	1.63116813372331	992	1.3129182510307678	11644	0.7210371524235564	1.0470821672468604
Pre-School	Seniors	0.7962819416407846	1975	17786	72538	520168	2020-2021	Quebec	1.63116813372331	992	1.3919227465835677	14080	0.526799870177871	0.7855420430586196
School Aged	Adult	0.9695260998307771	45818	67921	361923	520168	2020-2021	Quebec	1.3129182510307678	11644	1.0136719589703278	255262	0.8334309116088996	0.9564495606799724
School Aged	Pre-School	1.0613978316760215	2465	67921	17786	520168	2020-2021	Quebec	1.3129182510307678	11644	1.63116813372331	992	0.7210371524235564	1.0470821672468604
School Aged	School Aged	1.3129182510307678	11644	67921	67921	520168	2020-2021	Quebec	1.3129182510307678	11644	1.3129182510307678	11644	1	1.2952101904489985
School Aged	Seniors	0.8439916053294426	7994	67921	72538	520168	2020-2021	Quebec	1.3129182510307678	11644	1.3919227465835677	14080	0.6240600509041689	0.832608219908496
Seniors	Adult	0.9607382880443094	48489	72538	361923	520168	2020-2021	Quebec	1.3919227465835677	14080	1.0136719589703278	255262	0.798753244531353	0.9477802750114667
Seniors	Pre-School	0.7962819416407846	1975	72538	17786	520168	2020-2021	Quebec	1.3919227465835677	14080	1.63116813372331	992	0.526799870177871	0.7855420430586196
Seniors	School Aged	0.8439916053294426	7994	72538	67921	520168	2020-2021	Quebec	1.3919227465835677	14080	1.3129182510307678	11644	0.6240600509041689	0.832608219908496
Seniors	Seniors	1.3919227465835677	14080	72538	72538	520168	2020-2021	Quebec	1.3919227465835677	14080	1.3919227465835677	14080	1	1.373149108314549
Adult	Adult	1.0213780415962939	11952	16314	16314	22744	2020-2021	New Jersey	1.0213780415962939	11952	1.0213780415962939	11952	1	1
Adult	Pre-School	0.9851923501287237	530	16314	750	22744	2020-2021	New Jersey	1.0213780415962939	11952	1.9408231111111112	48	0.6651758603417418	0.9645716962829785
Adult	School Aged	0.9381694809787254	2790	16314	4146	22744	2020-2021	New Jersey	1.0213780415962939	11952	1.2966845801194185	980	0.8094427408387613	0.9185330433699914
Adult	Seniors	0.9469973558356626	1042	16314	1534	22744	2020-2021	New Jersey	1.0213780415962939	11952	2.1263702873927612	220	0.6016982660998216	0.9271761456273497
Pre-School	Adult	0.9851923501287237	530	750	16314	22744	2020-2021	New Jersey	1.9408231111111112	48	1.0213780415962939	11952	0.6651758603417418	0.9645716962829785
Pre-School	Pre-School	1.9408231111111112	48	750	750	22744	2020-2021	New Jersey	1.9408231111111112	48	1.9408231111111112	48	1	1.9002005448225936
Pre-School	School Aged	1.0093818941952082	138	750	4146	22744	2020-2021	New Jersey	1.9408231111111112	48	1.2966845801194185	980	0.6235549011539533	0.9882549390014914
Pre-School	Seniors	0.6721399391568883	34	750	1534	22744	2020-2021	New Jersey	1.9408231111111112	48	2.1263702873927612	220	0.3305178157518336	0.6580716559232197
School Aged	Adult	0.9381694809787254	2790	4146	16314	22744	2020-2021	New Jersey	1.2966845801194185	980	1.0213780415962939	11952	0.8094427408387613	0.9185330433699914
School Aged	Pre-School	1.0093818941952082	138	4146	750	22744	2020-2021	New Jersey	1.2966845801194185	980	1.9408231111111112	48	0.6235549011539533	0.9882549390014914
School Aged	School Aged	1.2966845801194185	980	4146	4146	22744	2020-2021	New Jersey	1.2966845801194185	980	1.2966845801194185	980	1	1.2695442111648032
School Aged	Seniors	0.8511169245612082	238	4146	1534	22744	2020-2021	New Jersey	1.2966845801194185	980	2.1263702873927612	220	0.4972850027261094	0.8333025480271854
Seniors	Adult	0.9469973558356626	1042	1534	16314	22744	2020-2021	New Jersey	2.1263702873927612	220	1.0213780415962939	11952	0.6016982660998216	0.9271761456273497
Seniors	Pre-School	0.6721399391568883	34	1534	750	22744	2020-2021	New Jersey	2.1263702873927612	220	1.9408231111111112	48	0.3305178157518336	0.6580716559232197
Seniors	School Aged	0.8511169245612082	238	1534	4146	22744	2020-2021	New Jersey	2.1263702873927612	220	1.2966845801194185	980	0.4972850027261094	0.8333025480271854
Seniors	Seniors	2.1263702873927612	220	1534	1534	22744	2020-2021	New Jersey	2.1263702873927612	220	2.1263702873927612	220	1	2.0818641098544615
Adult	Adult	1.035657067399709	6886	8365	8365	10524	2020-2021	Oregon	1.035657067399709	6886	1.035657067399709	6886	1	1
Adult	Pre-School	1.0251193612420948	66	8365	81	10524	2020-2021	Oregon	1.035657067399709	6886	12.832342630696541	8	0.14783954190348295	0.9898251009051945
Adult	School Aged	0.9293951427199593	721	8365	976	10524	2020-2021	Oregon	1.035657067399709	6886	1.5909040328540716	144	0.7076897184155817	0.8973966112677159
Adult	Seniors	0.7900224880481393	692	8365	1102	10524	2020-2021	Oregon	1.035657067399709	6886	2.617126590492126	302	0.4325591450461604	0.7628224756209117
Pre-School	Adult	1.0251193612420948	66	81	8365	10524	2020-2021	Oregon	12.832342630696541	8	1.035657067399709	6886	0.14783954190348295	0.9898251009051945
Pre-School	Pre-School	12.832342630696541	8	81	81	10524	2020-2021	Oregon	12.832342630696541	8	12.832342630696541	8	1	12.39053257553249
Pre-School	School Aged	0.6656167779801659	5	81	976	10524	2020-2021	Oregon	12.832342630696541	8	1.5909040328540716	144	0.09229777365761407	0.6426999814247132
Pre-School	Seniors	0.2358114315162107	2	81	1102	10524	2020-2021	Oregon	12.832342630696541	8	2.617126590492126	302	0.03052680038907739	0.22769258178122384
School Aged	Adult	0.9293951427199593	721	976	8365	10524	2020-2021	Oregon	1.5909040328540716	144	1.035657067399709	6886	0.7076897184155817	0.8973966112677159
School Aged	Pre-School	0.6656167779801659	5	976	81	10524	2020-2021	Oregon	1.5909040328540716	144	12.832342630696541	8	0.09229777365761407	0.6426999814247132
School Aged	School Aged	1.5909040328540716	144	976	976	10524	2020-2021	Oregon	1.5909040328540716	144	1.5909040328540716	144	1	1.5361301370235003
School Aged	Seniors	1.0371836973014787	106	976	1102	10524	2020-2021	Oregon	1.5909040328540716	144	2.617126590492126	302	0.49295444360465096	1.0014740689266988
Seniors	Adult	0.7900224880481393	692	1102	8365	10524	2020-2021	Oregon	2.617126590492126	302	1.035657067399709	6886	0.4325591450461604	0.7628224756209117
Seniors	Pre-School	0.2358114315162107	2	1102	81	10524	2020-2021	Oregon	2.617126590492126	302	12.832342630696541	8	0.03052680038907739	0.22769258178122384
Seniors	School Aged	1.0371836973014787	106	1102	976	10524	2020-2021	Oregon	2.617126590492126	302	1.5909040328540716	144	0.49295444360465096	1.0014740689266988
Seniors	Seniors	2.617126590492126	302	1102	1102	10524	2020-2021	Oregon	2.617126590492126	302	2.617126590492126	302	1	2.527020451917655
Adult	Adult	1.0274131556637562	16612	21032	21032	27358	2020-2021	Texas	1.0274131556637562	16612	1.0274131556637562	16612	1	1
Adult	Pre-School	0.9117780316455729	518	21032	739	27358	2020-2021	Texas	1.0274131556637562	16612	2.805328855693152	56	0.47578367077348654	0.8874502206043121
Adult	School Aged	0.9199142616573756	3152	21032	4457	27358	2020-2021	Texas	1.0274131556637562	16612	1.3854698316609404	1006	0.7625021739469745	0.8953693619613704
Adult	Seniors	0.8633494430736812	750	21032	1130	27358	2020-2021	Texas	1.0274131556637562	16612	4.1565142141123035	194	0.3330870135670813	0.8403137903328848
Pre-School	Adult	0.9117780316455729	518	739	21032	27358	2020-2021	Texas	2.805328855693152	56	1.0274131556637562	16612	0.47578367077348654	0.8874502206043121
Pre-School	Pre-School	2.805328855693152	56	739	739	27358	2020-2021	Texas	2.805328855693152	56	2.805328855693152	56	1	2.730477841585336
Pre-School	School Aged	1.1545485154641115	139	739	4457	27358	2020-2021	Texas	2.805328855693152	56	1.3854698316609404	1006	0.5509921146763785	1.1237431690449982
Pre-School	Seniors	0.8517956578490425	26	739	1130	27358	2020-2021	Texas	2.805328855693152	56	4.1565142141123035	194	0.24470406738796122	0.8290682800326256
School Aged	Adult	0.9199142616573756	3152	4457	21032	27358	2020-2021	Texas	1.3854698316609404	1006	1.0274131556637562	16612	0.7625021739469745	0.8953693619613704
School Aged	Pre-School	1.1545485154641115	139	4457	739	27358	2020-2021	Texas	1.3854698316609404	1006	2.805328855693152	56	0.5509921146763785	1.1237431690449982
School Aged	School Aged	1.3854698316609404	1006	4457	4457	27358	2020-2021	Texas	1.3854698316609404	1006	1.3854698316609404	1006	1	1.3485031061003527
