x	y	RR	N_pairs	N_x	N_y	N_total	date	trajectory_type	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
Adult	Adult	1.0747901179427395	854	1028	1028	1330	2020-07-15	Persistent High	1	1.054025995971286	1.0901437640811886	1	1
Adult	Pre-School	0.8625972762645915	8	1028	12	1330	2020-07-15	Persistent High	0.8025727645465263	0.6338688399418857	1.0281187766714082	0.5908709352052477	0.9577481251090687
Adult	School Aged	0.873730355247865	52	1028	77	1330	2020-07-15	Persistent High	0.8129311394491383	0.7862681650502304	1.0083096103986775	0.7288711904900125	0.9440863335285539
Adult	Seniors	0.6924471602637876	114	1028	213	1330	2020-07-15	Persistent High	0.6442626785490024	0.6548060794527578	0.7662550300959567	0.6096347160432765	0.7245137120952675
Pre-School	Adult	0.8625972762645915	8	12	1028	1330	2020-07-15	Persistent High	0.8025727645465263	0.6338688399418857	1.0281187766714082	0.5908709352052477	0.9577481251090687
Pre-School	Pre-School	0.006944444444444444	0	12	12	1330	2020-07-15	Persistent High	0.006461209801348784	0.008264462809917356	0.13749999999999973	0.007746578665864056	0.12989174293864103
Pre-School	School Aged	1.4404761904761905	1	12	77	1330	2020-07-15	Persistent High	1.3402395187940621	0.0019736943907156675	5.802051282051279	0.0018424007064148564	5.413239580172945
Pre-School	Seniors	1.5614241001564946	3	12	213	1330	2020-07-15	Persistent High	1.4527711727990422	0.003391405342624856	2.735409107116638	0.003200584109160306	2.5378332569956514
School Aged	Adult	0.873730355247865	52	77	1028	1330	2020-07-15	Persistent High	0.8129311394491383	0.7862681650502304	1.0083096103986775	0.7288711904900125	0.9440863335285539
School Aged	Pre-School	1.4404761904761905	1	77	12	1330	2020-07-15	Persistent High	1.3402395187940621	0.0019736943907156675	5.802051282051279	0.0018424007064148564	5.413239580172945
School Aged	School Aged	2.692022263450835	12	77	77	1330	2020-07-15	Persistent High	2.504695771304305	9.703703970417207e-4	3.1549781459566075	9.130316402817889e-4	2.929379230405961
School Aged	Seniors	0.9731723675385647	12	77	213	1330	2020-07-15	Persistent High	0.9054534008940446	0.5487560805357417	1.3925150438409517	0.5146546003845277	1.2918784307434124
Seniors	Adult	0.6924471602637876	114	213	1028	1330	2020-07-15	Persistent High	0.6442626785490024	0.6548060794527578	0.7662550300959567	0.6096347160432765	0.7245137120952675
Seniors	Pre-School	1.5614241001564946	3	213	12	1330	2020-07-15	Persistent High	1.4527711727990422	0.003391405342624856	2.735409107116638	0.003200584109160306	2.5378332569956514
Seniors	School Aged	0.9731723675385647	12	213	77	1330	2020-07-15	Persistent High	0.9054534008940446	0.5487560805357417	1.3925150438409517	0.5146546003845277	1.2918784307434124
Seniors	Seniors	2.4624964182591635	84	213	213	1330	2020-07-15	Persistent High	2.2911416630557033	2.02431613953062	2.7879926749398494	1.9002181845654036	2.6155018448432905
Adult	Adult	1.0022073146439365	8126	8137	8137	8166	2020-07-15	Rising In-Person	1	1.0007965747684446	1.003503649006705	1	1
Adult	School Aged	1.0036049322026954	3	8137	3	8166	2020-07-15	Rising In-Person	1.0013945393715824	1.0021693544170605	1.0052044070897024	1.0009465985083013	1.0020614452407544
Adult	Seniors	0.30879363968954726	8	8137	26	8166	2020-07-15	Rising In-Person	0.308113536169166	0.19118788069298878	0.6358970805777966	0.19074995931234767	0.6353236881883715
School Aged	Adult	1.0036049322026954	3	3	8137	8166	2020-07-15	Rising In-Person	1.0013945393715824	1.0021693544170605	1.0052044070897024	1.0009465985083013	1.0020614452407544
School Aged	School Aged	0.1111111111111111	0	3	3	8166	2020-07-15	Rising In-Person	0.11086639409590278	0.1111111111111111	1	0.11081323296827916	0.9985182571722598
School Aged	Seniors	0.01282051282051282	0	3	26	8166	2020-07-15	Rising In-Person	0.012792276241834936	0.017543859649122806	0.07390109890109889	0.017496826258149342	0.07379171831739274
Seniors	Adult	0.30879363968954726	8	26	8137	8166	2020-07-15	Rising In-Person	0.308113536169166	0.19118788069298878	0.6358970805777966	0.19074995931234767	0.6353236881883715
Seniors	School Aged	0.01282051282051282	0	26	3	8166	2020-07-15	Rising In-Person	0.012792276241834936	0.017543859649122806	0.07390109890109889	0.017496826258149342	0.07379171831739274
Seniors	Seniors	217.43934911242604	18	26	26	8166	2020-07-15	Rising In-Person	216.96044913589333	145.08631748118927	381.61234567901226	144.93920949563275	381.16829408618
Adult	Adult	1.071527502967946	234	266	266	324	2020-07-15	Persistent Low	1	1.0386671167216148	1.1173387539243582	1	1
Adult	Pre-School	1.2218045112781954	1	266	1	324	2020-07-15	Persistent Low	1.1402455913581389	1.1612618389897396	1.259493670886076	1.1013579511276588	1.193239436416408
Adult	School Aged	0.6094924812030075	4	266	8	324	2020-07-15	Persistent Low	0.5688071276890407	0.1471744977060593	1.2462816455696202	0.13772831480002093	1.180252639927886
Adult	Seniors	0.6712444376246739	27	266	49	324	2020-07-15	Persistent Low	0.6264369657012469	0.3698846629560916	0.824902717910823	0.3372814065297668	0.7926225291456717
Pre-School	Adult	1.2218045112781954	1	1	266	324	2020-07-15	Persistent Low	1.1402455913581389	1.1612618389897396	1.259493670886076	1.1013579511276588	1.193239436416408
Pre-School	Pre-School	1	0	1	1	324	2020-07-15	Persistent Low	0.933247160926969	1	1	0.926823767717654	0.9675200092510092
Pre-School	School Aged	0.125	0	1	8	324	2020-07-15	Persistent Low	0.11665589511587113	0.13645833333333335	0.4541666666666666	0.1276862703666116	0.43378203840887364
Pre-School	Seniors	0.02040816326530612	0	1	49	324	2020-07-15	Persistent Low	0.019045860427080997	0.024313186813186814	0.05277777777777777	0.023074566733424	0.05002409427485091
School Aged	Adult	0.6094924812030075	4	8	266	324	2020-07-15	Persistent Low	0.5688071276890407	0.1471744977060593	1.2462816455696202	0.13772831480002093	1.180252639927886
School Aged	Pre-School	0.125	0	8	1	324	2020-07-15	Persistent Low	0.11665589511587113	0.13645833333333335	0.4541666666666666	0.1276862703666116	0.43378203840887364
School Aged	School Aged	20.265625	4	8	8	324	2020-07-15	Persistent Low	18.912836995660605	0.09166666666666669	62.69999999999994	0.08632116148103257	59.30697547509871
School Aged	Seniors	0.002551020408163265	0	8	49	324	2020-07-15	Persistent Low	0.0023807325533851246	0.004250871080139373	0.01627155172413793	0.004003916129719445	0.015347740612137083
Seniors	Adult	0.6712444376246739	27	49	266	324	2020-07-15	Persistent Low	0.6264369657012469	0.3698846629560916	0.824902717910823	0.3372814065297668	0.7926225291456717
