x	y	RR	N_pairs	N_x	N_y	N_total	date	trajectory_type	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
Seniors	Pre-School	0.02040816326530612	0	49	1	324	2020-07-15	Persistent Low	0.019045860427080997	0.024313186813186814	0.05277777777777777	0.023074566733424	0.05002409427485091
Seniors	School Aged	0.002551020408163265	0	49	8	324	2020-07-15	Persistent Low	0.0023807325533851246	0.004250871080139373	0.01627155172413793	0.004003916129719445	0.015347740612137083
Seniors	Seniors	2.969179508538109	22	49	49	324	2020-07-15	Persistent Low	2.770978346625723	2.0808566447991845	6.367429981634524	1.978913653731336	5.79676499866072
Adult	Adult	1.0322330004656033	43912	45794	45794	49296	2020-07-15	Other	1	1.0274121898778614	1.0411272417386548	1	1
Adult	Pre-School	0.795654832320923	17	45794	23	49296	2020-07-15	Other	0.7708093346773758	0.6821681547955412	0.9555395286526993	0.6583800335385704	0.9266667889548976
Adult	School Aged	0.5479345026119713	113	45794	222	49296	2020-07-15	Other	0.5308244382468084	0.48384679677647513	0.6302015963759623	0.466148045601078	0.6101173792098358
Adult	Seniors	0.5790545112995444	1752	45794	3257	49296	2020-07-15	Other	0.5609726786862596	0.524738043988125	0.6292053343993117	0.5043421897518936	0.6118847211086849
Pre-School	Adult	0.795654832320923	17	23	45794	49296	2020-07-15	Other	0.7708093346773758	0.6821681547955412	0.9555395286526993	0.6583800335385704	0.9266667889548976
Pre-School	Pre-School	186.37618147448015	2	23	23	49296	2020-07-15	Other	180.5563098548608	0.006999494012481027	434.84587999413145	0.006787222928274414	422.1849426254877
Pre-School	School Aged	38.61829220524873	4	23	222	49296	2020-07-15	Other	37.41237897628675	12.514717050047036	75.88288874295063	12.053758695248991	73.52842134177102
Pre-School	Seniors	1.3349174353566233e-5	0	23	3257	49296	2020-07-15	Other	1.2932326662240888e-5	2.2363543420521126e-5	5.870052378457744e-5	2.1692465582138315e-5	5.699612028079927e-5
School Aged	Adult	0.5479345026119713	113	222	45794	49296	2020-07-15	Other	0.5308244382468084	0.48384679677647513	0.6302015963759623	0.466148045601078	0.6101173792098358
School Aged	Pre-School	38.61829220524873	4	222	23	49296	2020-07-15	Other	37.41237897628675	12.514717050047036	75.88288874295063	12.053758695248991	73.52842134177102
School Aged	School Aged	28.00683791900008	28	222	222	49296	2020-07-15	Other	27.13228302754049	16.843277087864994	71.4834205824026	16.255874484111647	69.18925869553024
School Aged	Seniors	5.249667383072357	77	222	3257	49296	2020-07-15	Other	5.08573876315175	2.318363763425853	6.801907718696632	2.239423281047178	6.589768772396394
Seniors	Adult	0.5790545112995444	1752	3257	45794	49296	2020-07-15	Other	0.5609726786862596	0.524738043988125	0.6292053343993117	0.5043421897518936	0.6118847211086849
Seniors	Pre-School	1.3349174353566233e-5	0	3257	23	49296	2020-07-15	Other	1.2932326662240888e-5	2.2363543420521126e-5	5.870052378457744e-5	2.1692465582138315e-5	5.699612028079927e-5
Seniors	School Aged	5.249667383072357	77	3257	222	49296	2020-07-15	Other	5.08573876315175	2.318363763425853	6.801907718696632	2.239423281047178	6.589768772396394
Seniors	Seniors	6.635969441694698	1428	3257	3257	49296	2020-07-15	Other	6.428751491864191	5.638512511115198	7.818018324588557	5.457716328896716	7.600579157313574
Adult	Adult	1.0778840862412908	1078	1276	1276	1628	2020-07-22	Persistent High	1	1.057958365167731	1.1036506439417455	1	1
Adult	Pre-School	1.0937080161218091	6	1276	7	1628	2020-07-22	Persistent High	1.0146805487551989	0.37275699288381636	1.3227550644060964	0.3520684797627844	1.229165742032623
Adult	School Aged	0.8275967974243836	48	1276	74	1628	2020-07-22	Persistent High	0.767797584163536	0.7182862682498203	0.9243177017835653	0.6555760508332855	0.8618713728321075
Adult	Seniors	0.6779517403324503	144	1276	271	1628	2020-07-22	Persistent High	0.6289653488591228	0.602807911092627	0.7465309288786586	0.5477811098385172	0.6963831069078463
Pre-School	Adult	1.0937080161218091	6	7	1276	1628	2020-07-22	Persistent High	1.0146805487551989	0.37275699288381636	1.3227550644060964	0.3520684797627844	1.229165742032623
Pre-School	Pre-School	0.02040816326530612	0	7	7	1628	2020-07-22	Persistent High	0.018933541672808064	0.02040816326530612	1	0.018919879407803503	0.9191557800658066
Pre-School	School Aged	3.1447876447876446	1	7	74	1628	2020-07-22	Persistent High	2.917556428311221	0.0038888888888888896	20.51904761904761	0.003592676672102649	19.248487546003503
Pre-School	Seniors	5.271481286241434e-4	0	7	271	1628	2020-07-22	Persistent High	4.890582719913523e-4	7.644571740316421e-4	0.005829228243021347	7.028529536603798e-4	0.005381112554570948
School Aged	Adult	0.8275967974243836	48	74	1276	1628	2020-07-22	Persistent High	0.767797584163536	0.7182862682498203	0.9243177017835653	0.6555760508332855	0.8618713728321075
School Aged	Pre-School	3.1447876447876446	1	74	7	1628	2020-07-22	Persistent High	2.917556428311221	0.0038888888888888896	20.51904761904761	0.003592676672102649	19.248487546003503
School Aged	School Aged	3.5677501826150473	12	74	74	1628	2020-07-22	Persistent High	3.3099571912748185	2.387868480725624	5.260106450839503	2.2018119070029294	4.845989776862998
School Aged	Seniors	1.0554004188690536	13	74	271	1628	2020-07-22	Persistent High	0.9791409227956593	0.5296113053613054	1.43005336221223	0.489387794533389	1.3113787887594752
Seniors	Adult	0.6779517403324503	144	271	1276	1628	2020-07-22	Persistent High	0.6289653488591228	0.602807911092627	0.7465309288786586	0.5477811098385172	0.6963831069078463
Seniors	Pre-School	5.271481286241434e-4	0	271	7	1628	2020-07-22	Persistent High	4.890582719913523e-4	7.644571740316421e-4	0.005829228243021347	7.028529536603798e-4	0.005381112554570948
Seniors	School Aged	1.0554004188690536	13	271	74	1628	2020-07-22	Persistent High	0.9791409227956593	0.5296113053613054	1.43005336221223	0.489387794533389	1.3113787887594752
Seniors	Seniors	2.527103389115072	114	271	271	1628	2020-07-22	Persistent High	2.344503849135931	2.0196431371661383	3.024787250032413	1.8644604258536575	2.8105930462367272
Adult	Adult	1.000683736259024	11668	11678	11678	11696	2020-07-22	Rising In-Person	1	1.0001458976005357	1.0010546048517683	1	1
Adult	School Aged	1.0015699035222927	3	11678	3	11696	2020-07-22	Rising In-Person	1.0008855617725751	1.0008528395625005	1.002358169491143	1.000600993612699	1.001384517542792
Adult	Seniors	0.4673916766569618	7	11678	15	11696	2020-07-22	Rising In-Person	0.46707232237456775	0.30051177173572374	0.8676523715548325	0.3002303096035458	0.8675308476779204
School Aged	Adult	1.0015699035222927	3	3	11678	11696	2020-07-22	Rising In-Person	1.0008855617725751	1.0008528395625005	1.002358169491143	1.000600993612699	1.001384517542792
School Aged	School Aged	0.1111111111111111	0	3	3	11696	2020-07-22	Rising In-Person	0.11103519232409143	0.1111111111111111	1	0.11100072576529293	0.999740368348764
School Aged	Seniors	0.022222222222222223	0	3	15	11696	2020-07-22	Rising In-Person	0.022207038464818286	0.026868686868686875	0.22125000000000006	0.02684483678528938	0.22119172056807554
Seniors	Adult	0.4673916766569618	7	15	11678	11696	2020-07-22	Rising In-Person	0.46707232237456775	0.30051177173572374	0.8676523715548325	0.3002303096035458	0.8675308476779204
Seniors	School Aged	0.022222222222222223	0	15	3	11696	2020-07-22	Rising In-Person	0.022207038464818286	0.026868686868686875	0.22125000000000006	0.02684483678528938	0.22119172056807554
Seniors	Seniors	415.8622222222222	8	15	15	11696	2020-07-22	Rising In-Person	415.5780764229164	113.32222222222231	821.9718749999997	113.29271314917769	821.5345841010943
Adult	Adult	1.0536578805809576	252	286	286	342	2020-07-22	Persistent Low	1	1.0264466526030807	1.090101713954391	1	1
Adult	Pre-School	1.1993006993006994	1	286	1	342	2020-07-22	Persistent Low	1.1382259093809828	1.1656578477395652	1.2894923460654373	1.0756946562126286	1.2139238139898203
Adult	School Aged	0.5982517482517482	5	286	10	342	2020-07-22	Persistent Low	0.5677855775366942	0.27630351926826247	0.9632520325203252	0.2604474992448072	0.9300101231816179
Adult	Seniors	0.7441336441336441	28	286	45	342	2020-07-22	Persistent Low	0.7062383889952492	0.5112654706554131	0.942335403726708	0.47250158017578536	0.9149177591177547
Pre-School	Adult	1.1993006993006994	1	1	286	342	2020-07-22	Persistent Low	1.1382259093809828	1.1656578477395652	1.2894923460654373	1.0756946562126286	1.2139238139898203
Pre-School	Pre-School	1	0	1	1	342	2020-07-22	Persistent Low	0.949074664964901	1	1	0.9151077249375628	0.9724980796950733
Pre-School	School Aged	0.1	0	1	10	342	2020-07-22	Persistent Low	0.09490746649649011	0.10416666666666667	0.3020833333333333	0.0979350632619642	0.29271248796836624
Pre-School	Seniors	0.022222222222222223	0	1	45	342	2020-07-22	Persistent Low	0.021090548110331134	0.02730855855855856	0.05989583333333333	0.025638900385400072	0.05585103444746214
School Aged	Adult	0.5982517482517482	5	10	286	342	2020-07-22	Persistent Low	0.5677855775366942	0.27630351926826247	0.9632520325203252	0.2604474992448072	0.9300101231816179
School Aged	Pre-School	0.1	0	10	1	342	2020-07-22	Persistent Low	0.09490746649649011	0.10416666666666667	0.3020833333333333	0.0979350632619642	0.29271248796836624
School Aged	School Aged	13.69	4	10	10	342	2020-07-22	Persistent Low	12.992832163369496	0.04	25.967857142857127	0.038733852944645805	24.9565924925987
School Aged	Seniors	0.7622222222222222	1	10	45	342	2020-07-22	Persistent Low	0.723405800184358	0.004550691244239631	2.8716024340770785	0.004284968927852701	2.7586816115873325
Seniors	Adult	0.7441336441336441	28	45	286	342	2020-07-22	Persistent Low	0.7062383889952492	0.5112654706554131	0.942335403726708	0.47250158017578536	0.9149177591177547
Seniors	Pre-School	0.022222222222222223	0	45	1	342	2020-07-22	Persistent Low	0.021090548110331134	0.02730855855855856	0.05989583333333333	0.025638900385400072	0.05585103444746214
Seniors	School Aged	0.7622222222222222	1	45	10	342	2020-07-22	Persistent Low	0.723405800184358	0.004550691244239631	2.8716024340770785	0.004284968927852701	2.7586816115873325
Seniors	Seniors	2.7027160493827163	16	45	45	342	2020-07-22	Persistent Low	2.5650793290631624	1.633772558610221	5.645074074074072	1.5630258477634142	5.254556768521654
Adult	Adult	1.0362117541811664	38696	41139	41139	45320	2020-07-22	Other	1	1.0276357265666334	1.047215727824054	1	1
Adult	Pre-School	0.8011884321225822	8	41139	11	45320	2020-07-22	Other	0.7731898705932901	0.4777902593836003	1.023500736776947	0.46106197267370197	0.9874807476866425
Adult	School Aged	0.5954764105606372	80	41139	148	45320	2020-07-22	Other	0.5746667205403335	0.5486145398497962	0.7809664885923904	0.5253081993206103	0.7530182783290769
Adult	Seniors	0.6450375834052747	2355	41139	4022	45320	2020-07-22	Other	0.6224959143751417	0.6036944223931482	0.6830556632926587	0.5781108234398326	0.66532271361689
Pre-School	Adult	0.8011884321225822	8	11	41139	45320	2020-07-22	Other	0.7731898705932901	0.4777902593836003	1.023500736776947	0.46106197267370197	0.9874807476866425
Pre-School	Pre-School	0.008264462809917356	0	11	11	45320	2020-07-22	Other	0.007975650514067066	0.01	0.4666666666666654	0.009589965338635261	0.45167332719116193
Pre-School	School Aged	83.51412776412776	3	11	148	45320	2020-07-22	Other	80.59561902009321	21.75076295986624	164.845335561125	20.914458117728618	159.00581112317576
Pre-School	Seniors	2.2602956466705847e-5	0	11	4022	45320	2020-07-22	Other	2.1813067044937276e-5	3.6654466513906795e-5	2.3379844926005446e-4	3.5154831612058394e-5	2.2596903557942376e-4
School Aged	Adult	0.5954764105606372	80	148	41139	45320	2020-07-22	Other	0.5746667205403335	0.5486145398497962	0.7809664885923904	0.5253081993206103	0.7530182783290769
School Aged	Pre-School	83.51412776412776	3	148	11	45320	2020-07-22	Other	80.59561902009321	21.75076295986624	164.845335561125	20.914458117728618	159.00581112317576
School Aged	School Aged	28.966444485025566	14	148	148	45320	2020-07-22	Other	27.9541747795704	14.8551454647485	74.603836237963165	14.395170379439772	71.94004448294535
School Aged	Seniors	3.8829024822933325	51	148	4022	45320	2020-07-22	Other	3.7472094546559873	1.3330751048837255	5.0544909062777466	1.2883062626974204	4.919363678652021
Seniors	Adult	0.6450375834052747	2355	4022	41139	45320	2020-07-22	Other	0.6224959143751417	0.6036944223931482	0.6830556632926587	0.5781108234398326	0.66532271361689
Seniors	Pre-School	2.2602956466705847e-5	0	4022	11	45320	2020-07-22	Other	2.1813067044937276e-5	3.6654466513906795e-5	2.3379844926005446e-4	3.5154831612058394e-5	2.2596903557942376e-4
Seniors	School Aged	3.8829024822933325	51	4022	148	45320	2020-07-22	Other	3.7472094546559873	1.3330751048837255	5.0544909062777466	1.2883062626974204	4.919363678652021
Seniors	Seniors	4.5273819082069995	1616	4022	4022	45320	2020-07-22	Other	4.3691667170718596	3.8009936901495918	5.674077301832262	3.6438353783023896	5.490859399287535
Adult	Adult	1.0649052490280486	1054	1237	1237	1546	2020-07-29	Persistent High	1	1.0360880034249278	1.0857324719400756	1	1
Adult	Pre-School	0.8334680679062247	2	1237	3	1546	2020-07-29	Persistent High	0.7826687573067563	0.0012750196026549902	1.2894787013835929	0.0012110595364068291	1.1984994566621714
Adult	School Aged	0.8063342634365139	40	1237	62	1546	2020-07-29	Persistent High	0.7571887397235243	0.6449400524831752	0.9549992299102845	0.5971442897443227	0.9093261552833354
Adult	Seniors	0.7222225903494706	141	1237	244	1546	2020-07-29	Persistent High	0.6782036157758181	0.623442066960483	0.8320858376394242	0.5796081480384417	0.798757384999872
Pre-School	Adult	0.8334680679062247	2	3	1237	1546	2020-07-29	Persistent High	0.7826687573067563	0.0012750196026549902	1.2894787013835929	0.0012110595364068291	1.1984994566621714
Pre-School	Pre-School	0.1111111111111111	0	3	3	1546	2020-07-29	Persistent High	0.10433896462856532	0.1111111111111111	1	0.10263455041059646	0.9499262377257949
Pre-School	School Aged	8.317204301075268	1	3	62	1546	2020-07-29	Persistent High	7.810276368405994	0.013771645021645023	31.590468750000007	0.012785726541953008	29.985427585555787
Pre-School	Seniors	0.001366120218579235	0	3	244	1546	2020-07-29	Persistent High	0.0012828561224823606	0.0017094017094017094	0.00697970163854243	0.0015789930832399456	0.006582770135817158
School Aged	Adult	0.8063342634365139	40	62	1237	1546	2020-07-29	Persistent High	0.7571887397235243	0.6449400524831752	0.9549992299102845	0.5971442897443227	0.9093261552833354
School Aged	Pre-School	8.317204301075268	1	62	3	1546	2020-07-29	Persistent High	7.810276368405994	0.013771645021645023	31.590468750000007	0.012785726541953008	29.985427585555787
School Aged	School Aged	4.022112382934443	10	62	62	1546	2020-07-29	Persistent High	3.776967374896003	1.744851408331928	7.430714285714284	1.6458947382444014	6.90549920837856
School Aged	Seniors	1.124206768905341	11	62	244	1546	2020-07-29	Persistent High	1.0556871326640727	0.502080793243153	1.863431340100029	0.47249325103125156	1.7916682331751361
Seniors	Adult	0.7222225903494706	141	244	1237	1546	2020-07-29	Persistent High	0.6782036157758181	0.623442066960483	0.8320858376394242	0.5796081480384417	0.798757384999872
Seniors	Pre-School	0.001366120218579235	0	244	3	1546	2020-07-29	Persistent High	0.0012828561224823606	0.0017094017094017094	0.00697970163854243	0.0015789930832399456	0.006582770135817158
Seniors	School Aged	1.124206768905341	11	244	62	1546	2020-07-29	Persistent High	1.0556871326640727	0.502080793243153	1.863431340100029	0.47249325103125156	1.7916682331751361
Seniors	Seniors	2.3890251276538566	92	244	244	1546	2020-07-29	Persistent High	2.2434156746192655	1.8372697587303495	3.105580563251838	1.763520695437833	2.886956081508214
Adult	Adult	1.0012033352214642	9944	9954	9954	9976	2020-07-29	Rising In-Person	1	1.0002078406857997	1.0019764514806835	1	1
Adult	School Aged	0.5011176411492867	4	9954	8	9976	2020-07-29	Rising In-Person	0.5005153533956621	9.021631718441307e-5	1.0017055597309534	9.007359175329092e-5	1.0009245659922996
Adult	Seniors	0.4295258187663251	6	9954	14	9976	2020-07-29	Rising In-Person	0.42900957643265825	0.15024119051910612	0.761187078228662	0.15011278635990646	0.7607606304726802
School Aged	Adult	0.5011176411492867	4	8	9954	9976	2020-07-29	Rising In-Person	0.5005153533956621	9.021631718441307e-5	1.0017055597309534	9.007359175329092e-5	1.0009245659922996
School Aged	School Aged	623.515625	4	8	8	9976	2020-07-29	Rising In-Person	622.7662284625526	0.25	2799.449999999999	0.24986041887428717	2795.2516153517
School Aged	Seniors	0.008928571428571428	0	8	14	9976	2020-07-29	Rising In-Person	0.0089178402772664	0.010416666666666666	0.31999999999999956	0.010398298543199389	0.31995846927900967
Seniors	Adult	0.4295258187663251	6	14	9954	9976	2020-07-29	Rising In-Person	0.42900957643265825	0.15024119051910612	0.761187078228662	0.15011278635990646	0.7607606304726802
Seniors	School Aged	0.008928571428571428	0	14	8	9976	2020-07-29	Rising In-Person	0.0089178402772664	0.010416666666666666	0.31999999999999956	0.010398298543199389	0.31995846927900967
Seniors	Seniors	407.1887755102041	8	14	14	9976	2020-07-29	Rising In-Person	406.69937982191675	145.96428571428584	1031.4416666666655	145.71979177759857	1030.3089040183306
Adult	Adult	1.0571176142352285	220	254	254	310	2020-07-29	Persistent Low	1	1.0167122115598728	1.090107226107226	1	1
Adult	Pre-School	1.2244094488188977	1	254	1	310	2020-07-29	Persistent Low	1.1582528115423527	1.189066731141199	1.3190486725663715	1.1427153050369687	1.2494937690284247
Adult	School Aged	0.6660701503221188	6	254	11	310	2020-07-29	Persistent Low	0.630081403765074	0.3512956810631229	1.0453430860327408	0.3295306205562648	1.0317557535386035
Adult	Seniors	0.7490157480314961	27	254	44	310	2020-07-29	Persistent Low	0.7085453292473717	0.6066899766899767	0.9466223089887211	0.557961257309753	0.9190860526262403
Pre-School	Adult	1.2244094488188977	1	1	254	310	2020-07-29	Persistent Low	1.1582528115423527	1.189066731141199	1.3190486725663715	1.1427153050369687	1.2494937690284247
Pre-School	Pre-School	1	0	1	1	310	2020-07-29	Persistent Low	0.9459685341857157	1	1	0.9174027896701942	0.9848736410421266
Pre-School	School Aged	0.09090909090909091	0	1	11	310	2020-07-29	Persistent Low	0.0859971394714287	0.11770833333333333	0.25	0.11091217951293189	0.24052883289067653
Pre-School	Seniors	0.022727272727272728	0	1	44	310	2020-07-29	Persistent Low	0.021499284867857175	0.026655982905982905	0.04784090909090909	0.025645248005188977	0.04659497259399848
School Aged	Adult	0.6660701503221188	6	11	254	310	2020-07-29	Persistent Low	0.630081403765074	0.3512956810631229	1.0453430860327408	0.3295306205562648	1.0317557535386035
School Aged	Pre-School	0.09090909090909091	0	11	1	310	2020-07-29	Persistent Low	0.0859971394714287	0.11770833333333333	0.25	0.11091217951293189	0.24052883289067653
School Aged	School Aged	10.256198347107437	4	11	11	310	2020-07-29	Persistent Low	9.702040916731182	0.05350000000000001	24.94948979591836	0.05235400751165213	23.874358044714754
School Aged	Seniors	0.6425619834710744	1	11	44	310	2020-07-29	Persistent Low	0.6078434176275983	0.004639804639804641	1.7326206896551724	0.004300874827479867	1.7012413017242185
Seniors	Adult	0.7490157480314961	27	44	254	310	2020-07-29	Persistent Low	0.7085453292473717	0.6066899766899767	0.9466223089887211	0.557961257309753	0.9190860526262403
Seniors	Pre-School	0.022727272727272728	0	44	1	310	2020-07-29	Persistent Low	0.021499284867857175	0.026655982905982905	0.04784090909090909	0.025645248005188977	0.04659497259399848
Seniors	School Aged	0.6425619834710744	1	44	11	310	2020-07-29	Persistent Low	0.6078434176275983	0.004639804639804641	1.7326206896551724	0.004300874827479867	1.7012413017242185
Seniors	Seniors	2.5625	16	44	44	310	2020-07-29	Persistent Low	2.4240443688508964	1.235260355029586	3.2761849697876615	1.191932188980967	3.0074561959538286
Adult	Adult	1.1075635194647155	8478	10936	10936	15624	2020-07-29	Other	1	1.0916423090109189	1.1238968369922084	1	1
Adult	Pre-School	0.9524607819231082	6	10936	9	15624	2020-07-29	Other	0.8599604132713143	0.6865774135990642	1.1502093408730623	0.6208572643095098	1.0468859432816995
Adult	School Aged	0.8773938686746605	113	10936	184	15624	2020-07-29	Other	0.7921837919496519	0.8301650365967266	1.0291679371989915	0.7479319888203746	0.9334937910454293
Adult	Seniors	0.7434200440544765	2339	10936	4495	15624	2020-07-29	Other	0.6712211362954341	0.7161956938037641	0.78242214295841	0.6415912797034586	0.714529837947666
Pre-School	Adult	0.9524607819231082	6	9	10936	15624	2020-07-29	Other	0.8599604132713143	0.6865774135990642	1.1502093408730623	0.6208572643095098	1.0468859432816995
Pre-School	Pre-School	0.012345679012345678	0	9	9	15624	2020-07-29	Other	0.011146700659039704	0.012345679012345678	0.1111111111111111	0.01123952947586273	0.09997207193378824
Pre-School	School Aged	28.304951690821255	3	9	184	15624	2020-07-29	Other	25.556052716959307	15.327000000000002	85.05248917748918	13.98403327771344	76.92095207545226
Pre-School	Seniors	2.471882338400692e-5	0	9	4495	15624	2020-07-29	Other	2.2318199317320876e-5	3.9097950444538375e-5	1.1398746749092472e-4	3.565719219889216e-5	1.025391629686112e-4
School Aged	Adult	0.8773938686746605	113	184	10936	15624	2020-07-29	Other	0.7921837919496519	0.8301650365967266	1.0291679371989915	0.7479319888203746	0.9334937910454293
School Aged	Pre-School	28.304951690821255	3	184	9	15624	2020-07-29	Other	25.556052716959307	15.327000000000002	85.05248917748918	13.98403327771344	76.92095207545226
School Aged	School Aged	5.537836720226843	12	184	184	15624	2020-07-29	Other	5.000017265739553	2.4384970414201184	35.709547996976546	2.195974716074177	32.25725332305406
