state	start_inperson	end_inperson	min_inperson	max_inperson	mean_inperson	n_obs	trajectory_type
Alabama	0.5664335664335665	0.7622377622377622	0.5664335664335665	0.7622377622377622	0.6723276723276723	7	Other
Alaska	0.6528210477115385	0.7804265427647059	0.4251282606346154	0.7958277548846154	0.6417088366405229	9	Other
Arizona	0.02768518355373831	0.1106795147406542	0.02768518355373831	0.1106795147406542	0.0630737242982866	9	Persistent Low
Arkansas	0.7931574521455939	0.8322174435	0.7900097625287357	0.8322174435	0.8083977663723659	8	Other
California	0.04452298624472574	0.25403805763343884	0.04452298624472574	0.25403805763343884	0.13319306922966478	9	Other
Colorado	0.6348314606741573	0.8707865168539326	0.5786516853932584	0.8707865168539326	0.6960049937578028	9	Other
Connecticut	0.31120135416243655	0.8487309638578681	0.31120135416243655	0.8487309638578681	0.5388207406880993	9	Other
Delaware	0.2307692307692308	0.16666666666666666	0.075	0.2307692307692308	0.11440548696646258	9	Other
District of Columbia	0	0	0	0	0	8	Persistent Low
Florida	0.9870857198507462	0.996605746716418	0.9870857198507462	0.996605746716418	0.9889897252238806	5	Persistent High
Georgia	0.5931604146976744	0.774478268028169	0.5070534025352113	0.774478268028169	0.6542729492197198	9	Other
Hawaii	0	0.17863345	0	0.17863345	0.05888706111111112	9	Persistent Low
Idaho	0.6876891612883436	0.9079754601226994	0.6797546003067485	0.9079754601226994	0.7665494995650989	9	Other
Illinois	0.4017100060739884	0.6726887033077816	0.29784026543583814	0.6726887033077816	0.4334030311492403	9	Other
Indiana	0.7897032950761155	0.9244453046771652	0.6084902854540682	0.9244453046771652	0.7918564900554483	9	Other
Kansas	0.8878440542807018	1	0.7944430148251749	1	0.9032529817565711	9	Other
Kentucky	0.0027508252	0.11396691720588235	0.00104228937058823	0.11396691720588235	0.03748372085359477	9	Persistent Low
Louisiana	0.31817168153296704	0.6585503662146892	0.31817168153296704	0.6585503662146892	0.545301269781718	9	Other
Maine	0.5022556185284974	0.8016235874870467	0.48130922645077717	0.8016235874870467	0.574687072080023	9	Other
Maryland	0	0.16666666666666666	0	0.16666666666666666	0.04652777782407407	9	Persistent Low
Massachusetts	0.14000000014285716	0.9196832581372548	0.1067980295812808	0.9196832581372548	0.3026500929444822	8	Rising In-Person
Michigan	0.4509316770186335	0.56625	0.33623910336239105	0.56625	0.47645965289328657	9	Other
Minnesota	0.22721437739212008	0.5366500611069418	0.08980044362476548	0.5366500611069418	0.2814224140052116	9	Other
Mississippi	0.4688286157241379	0.6641189551655172	0.4688286157241379	0.6641189551655172	0.5612291181157089	9	Other
Missouri	0.7788968825539568	0.8621363779316547	0.6705755424100719	0.8621363779316547	0.796493011583733	9	Other
Nebraska	0.9473821236290324	0.9714103443548388	0.9473821236290324	0.9714103443548388	0.9593998715062724	9	Persistent High
Nevada	0.35442890785714287	0.5967095032857143	0.2963927550952381	0.5967095032857143	0.42199083995767195	9	Other
New Hampshire	0.46314531722826086	0.9345579439130436	0.4621419033532609	0.9345579439130436	0.5709500924625605	9	Other
New Jersey	0.07420159681137725	0.49298423062780267	0.07420159681137725	0.49298423062780267	0.1621611231466832	9	Other
New Mexico	0.01340225564285714	0.9983822337142856	0.01340225564285714	0.9983822337142856	0.24712084521785713	8	Rising In-Person
New York	0.2401768385543175	0.4535851727103064	0.233765016408078	0.4535851727103064	0.2942120526965336	9	Other
North Carolina	0.07911392405063292	0.16666666666666666	0.07911392405063292	0.16666666666666666	0.11799271539379289	9	Persistent Low
North Dakota	0.8488590855232558	0.9534883720930232	0.8434726990813953	0.9581412014534884	0.8975614280348837	9	Persistent High
Ohio	0.575533661954023	0.8700738916256158	0.3972672079276316	0.8700738916256158	0.637929976652605	9	Other
Oregon	0.13924780495555555	0.4258247732857143	0.13924780495555555	0.4258247732857143	0.24987720619644516	9	Other
Pennsylvania	0.1890625	0.30094043887147337	0.0765625	0.30094043887147337	0.1803128265412748	9	Other
Rhode Island	0.3975041882075472	0.6767135482142858	0.3975041882075472	0.6767135482142858	0.4896480256157419	9	Other
South Carolina	0.1625	1	0.1625	1	0.4375	9	Rising In-Person
South Dakota	0.953020134228188	0.9798657718120806	0.9463087248322148	0.9798657718120806	0.9664429530201343	9	Persistent High
Tennessee	0.06164383561643835	0.2876712328767123	0.06164383561643835	0.2876712328767123	0.17089172308822756	9	Other
Texas	0.9257355737221298	0.9229192889966722	0.9229192889966722	0.9257355737221298	0.9251723167770383	5	Persistent High
Utah	0.35833661820422535	0.385768121	0.3193796212112676	0.385768121	0.351039504200313	9	Other
Vermont	0.34921845406593405	0.5505814358333333	0.34921845406593405	0.5505814358333333	0.4498860896491492	9	Other
Virginia	0.07575757575757576	0.4242424243939394	0.07575757575757576	0.4242424243939394	0.1747516181060606	9	Other
Washington	0.06711409395973154	0.3741721854304636	0.03082191780821917	0.3741721854304636	0.15499439759360062	9	Other
West Virginia	0.18690909036363637	0.7008797656363637	0.03030303163636364	0.7008797656363637	0.30007298828484846	9	Other
Wisconsin	0.6760736629952606	0.877845182464455	0.5636964280781991	0.877845182464455	0.7079814842579322	9	Other
Wyoming	0.9166666666666666	0.9166666666666666	0.90322580625	0.9166666666666666	0.9146276028703704	9	Persistent High
