x	y	RR	N_pairs	N_x	N_y	N_total	date
0-5y	18-25y	1.5748454705250008	61	745	7392	142176	2020-03-01
0-5y	6-17y	1.9301169193697554	32	745	3164	142176	2020-03-01
0-5y	65-80y	0.9011589129665287	136	745	28801	142176	2020-03-01
0-5y	81y+	1.0216288956825066	145	745	27086	142176	2020-03-01
0-5y	46-65y	0.8006580437799111	175	745	41712	142176	2020-03-01
0-5y	0-5y	2.561616143416963	10	745	745	142176	2020-03-01
0-5y	26-45y	1.0667235026796424	186	745	33276	142176	2020-03-01
18-25y	18-25y	1.7459222508304286	671	7392	7392	142176	2020-03-01
18-25y	6-17y	1.1428407671395187	188	7392	3164	142176	2020-03-01
18-25y	65-80y	0.8714997767558876	1305	7392	28801	142176	2020-03-01
18-25y	81y+	0.7711685101215209	1086	7392	27086	142176	2020-03-01
18-25y	46-65y	0.9411228667625208	2041	7392	41712	142176	2020-03-01
18-25y	0-5y	1.5748454705250008	61	7392	745	142176	2020-03-01
18-25y	26-45y	1.1895387379604607	2058	7392	33276	142176	2020-03-01
26-45y	18-25y	1.1895387379604607	2058	33276	7392	142176	2020-03-01
26-45y	6-17y	0.9790316050306908	725	33276	3164	142176	2020-03-01
26-45y	65-80y	0.9863792830365914	6649	33276	28801	142176	2020-03-01
26-45y	81y+	0.7817746793997601	4956	33276	27086	142176	2020-03-01
26-45y	46-65y	0.9882605453359065	9648	33276	41712	142176	2020-03-01
26-45y	0-5y	1.0667235026796424	186	33276	745	142176	2020-03-01
26-45y	26-45y	1.160733425971575	9040	33276	33276	142176	2020-03-01
46-65y	18-25y	0.9411228667625208	2041	41712	7392	142176	2020-03-01
46-65y	6-17y	0.927538527083797	861	41712	3164	142176	2020-03-01
46-65y	65-80y	1.0486738717570794	8861	41712	28801	142176	2020-03-01
46-65y	81y+	0.7838604183747396	6229	41712	27086	142176	2020-03-01
46-65y	46-65y	1.0273268443427221	12572	41712	41712	142176	2020-03-01
46-65y	0-5y	0.8006580437799111	175	41712	745	142176	2020-03-01
46-65y	26-45y	0.9882605453359065	9648	41712	33276	142176	2020-03-01
6-17y	18-25y	1.1428407671395187	188	3164	7392	142176	2020-03-01
6-17y	6-17y	1.945691274786992	137	3164	3164	142176	2020-03-01
6-17y	65-80y	0.8768364004954702	562	3164	28801	142176	2020-03-01
6-17y	81y+	1.0020326813138989	604	3164	27086	142176	2020-03-01
6-17y	46-65y	0.927538527083797	861	3164	41712	142176	2020-03-01
6-17y	0-5y	1.9301169193697554	32	3164	745	142176	2020-03-01
6-17y	26-45y	0.9790316050306908	725	3164	33276	142176	2020-03-01
65-80y	18-25y	0.8714997767558876	1305	28801	7392	142176	2020-03-01
65-80y	6-17y	0.8768364004954702	562	28801	3164	142176	2020-03-01
65-80y	65-80y	1.1336404877679689	6614	28801	28801	142176	2020-03-01
65-80y	81y+	0.9451622408659557	5186	28801	27086	142176	2020-03-01
65-80y	46-65y	1.0486738717570794	8861	28801	41712	142176	2020-03-01
65-80y	0-5y	0.9011589129665287	136	28801	745	142176	2020-03-01
65-80y	26-45y	0.9863792830365914	6649	28801	33276	142176	2020-03-01
81y+	18-25y	0.7711685101215209	1086	27086	7392	142176	2020-03-01
81y+	6-17y	1.0020326813138989	604	27086	3164	142176	2020-03-01
81y+	65-80y	0.9451622408659557	5186	27086	28801	142176	2020-03-01
81y+	81y+	1.3619723678682947	7028	27086	27086	142176	2020-03-01
81y+	46-65y	0.7838604183747396	6229	27086	41712	142176	2020-03-01
81y+	0-5y	1.0216288956825066	145	27086	745	142176	2020-03-01
81y+	26-45y	0.7817746793997601	4956	27086	33276	142176	2020-03-01
0-5y	6-17y	2.0086087652882934	34	765	3232	146066	2020-03-29
0-5y	18-25y	1.5064453366401873	63	765	7985	146066	2020-03-29
0-5y	81y+	1.0036510322816818	145	765	27585	146066	2020-03-29
0-5y	46-65y	0.8040998590739025	181	765	42979	146066	2020-03-29
0-5y	26-45y	1.078450079475747	193	765	34170	146066	2020-03-29
0-5y	0-5y	2.9950753983510614	12	765	765	146066	2020-03-29
0-5y	65-80y	0.891251316653862	137	765	29350	146066	2020-03-29
18-25y	6-17y	1.1263048522291177	199	7985	3232	146066	2020-03-29
18-25y	18-25y	2.3618807336391927	1031	7985	7985	146066	2020-03-29
18-25y	81y+	0.7320998260173569	1104	7985	27585	146066	2020-03-29
18-25y	46-65y	0.8916654480658762	2095	7985	42979	146066	2020-03-29
18-25y	26-45y	1.1531211488324336	2154	7985	34170	146066	2020-03-29
18-25y	0-5y	1.5064453366401873	63	7985	765	146066	2020-03-29
18-25y	65-80y	0.8470042104072905	1359	7985	29350	146066	2020-03-29
26-45y	6-17y	0.9919598009515613	750	34170	3232	146066	2020-03-29
26-45y	18-25y	1.1531211488324336	2154	34170	7985	146066	2020-03-29
26-45y	81y+	0.7785397665947417	5024	34170	27585	146066	2020-03-29
26-45y	46-65y	0.9826634344016059	9880	34170	42979	146066	2020-03-29
26-45y	26-45y	1.1599321927435247	9272	34170	34170	146066	2020-03-29
26-45y	0-5y	1.078450079475747	193	34170	765	146066	2020-03-29
26-45y	65-80y	0.9931543355474357	6819	34170	29350	146066	2020-03-29
46-65y	6-17y	0.9369128277360415	891	42979	3232	146066	2020-03-29
46-65y	18-25y	0.8916654480658762	2095	42979	7985	146066	2020-03-29
46-65y	81y+	0.7893590018415653	6407	42979	27585	146066	2020-03-29
46-65y	46-65y	1.0277314401034405	12997	42979	42979	146066	2020-03-29
46-65y	26-45y	0.9826634344016059	9880	42979	34170	146066	2020-03-29
46-65y	0-5y	0.8040998590739025	181	42979	765	146066	2020-03-29
46-65y	65-80y	1.0545327239367683	9107	42979	29350	146066	2020-03-29
6-17y	6-17y	1.9856138682788451	142	3232	3232	146066	2020-03-29
