x	y	RR	N_pairs	N_x	N_y	N_total	nb_dist	euclid_dist
Alabama	Wisconsin	0.7994775295780889	1114	93057	541166	36141038	4	1345.4339553809948
Alabama	New Jersey	0.7944708003070633	1432	93057	700030	36141038	5	1361.9975863664745
Alabama	Tennessee	3.8632434316812616	2558	93057	257158	36141038	1	345.4406873063601
Alabama	Kansas	1.2259668643070405	378	93057	119747	36141038	3	1220.568732156516
Alabama	Texas	1.367702749749535	5465	93057	1551851	36141038	3	1184.7568963786305
Alabama	Ohio	1.8909015649351384	1379	93057	283235	36141038	3	909.3295268374123
Alabama	Arizona	0.7297284234861284	1448	93057	770653	36141038	5	2301.996581824122
Alabama	Iowa	1.0502952758535746	404	93057	149390	36141038	3	1188.793454930562
Alabama	Louisiana	3.5845766564058055	2279	93057	246921	36141038	2	521.9043288567192
Alabama	Rhode Island	0.5574888209922102	324	93057	225715	36141038	7	1671.6586080913448
Alabama	Utah	0.6888107448131672	1124	93057	633750	36141038	5	2339.635242665475
Alabama	Virginia	1.2553072794558084	1689	93057	522554	36141038	2	898.4755192694549
Alabama	New York	0.6522066660351977	3617	93057	2153847	36141038	5	1501.9813167734835
Alabama	Wyoming	0.2790947227150123	289	93057	402159	36141038	4	2135.3083543633097
Alabama	Kentucky	2.597717954054182	711	93057	106299	36141038	2	546.9774959154895
Alabama	Oklahoma	1.7071950008332226	442	93057	100552	36141038	3	1028.8720143593368
Alabama	Illinois	1.307647611539304	1994	93057	592224	36141038	3	835.0414761885743
Alabama	California	0.703603781690562	10093	93057	5571135	36141038	6	2998.936187620063
Alabama	Colorado	0.6818034510847726	3084	93057	1756737	36141038	4	1818.2000158277312
Alabama	Delaware	1.3153756732439896	434	93057	128142	36141038	4	1230.775047093225
Alabama	Hawaii	0.5474179996111324	323	93057	229158	36141038	NA	6937.473415809049
Alabama	Alabama	58.796553503844365	14088	93057	93057	36141038	0	0
Alabama	North Dakota	0.6732419124024364	292	93057	168447	36141038	5	1995.2372955446735
Alabama	Mississippi	7.174748424469435	1238	93057	67014	36141038	1	265.3952901434803
Alabama	Michigan	0.676119482405609	1270	93057	729511	36141038	4	1289.6294498189054
Alabama	Missouri	2.227778383848632	982	93057	171195	36141038	2	802.1629195662902
Alabama	North Carolina	1.964715597163816	3693	93057	730014	36141038	2	752.2173775211751
Alabama	Nebraska	0.9150070524661424	344	93057	146011	36141038	3	1503.332102440181
Alabama	Montana	0.35652163981958307	136	93057	148151	36141038	5	2494.058415913823
Alabama	Pennsylvania	1.005214577158257	1126	93057	435042	36141038	4	1205.8876086311357
Alabama	Florida	2.348380461870352	7378	93057	1220174	36141038	1	623.6548832615355
Alabama	Minnesota	0.4998402914892191	1584	93057	1230766	36141038	4	1630.8455047776515
Alabama	South Dakota	0.6186873820603724	81	93057	50847	36141038	4	1738.4060562446823
Alabama	New Hampshire	0.4621177088477982	120	93057	100851	36141038	7	1795.7097844496095
Alabama	Nevada	0.9848080115544644	925	93057	364789	36141038	6	2762.4590678140644
Alabama	Vermont	0.6904020560768044	458	93057	257641	36141038	6	1755.5225989640433
Alabama	Alaska	0.4732838024819883	67	93057	54980	36141038	NA	5590.291673430267
Alabama	District of Columbia	0.932435833853212	296	93057	123289	36141038	3	1115.450266888935
Alabama	Georgia	4.921565538995854	4377	93057	345402	36141038	1	317.88479300885814
Alabama	Maryland	0.9141219908593896	1170	93057	497088	36141038	3	1141.8037440505154
Alabama	Connecticut	0.5687495335075659	684	93057	467075	36141038	6	1586.2276001325672
Alabama	Massachusetts	0.41317560011490057	1815	93057	1706057	36141038	6	1689.4000647683008
Alabama	Oregon	0.5072992125292564	437	93057	334556	36141038	6	3164.4078381305494
Alabama	Indiana	2.3420730160655574	1266	93057	209935	36141038	3	792.9025390930832
Alabama	Maine	1.0184255831248148	347	93057	132328	36141038	8	2056.421159189506
Alabama	Idaho	0.8781387871940655	358	93057	158333	36141038	5	2718.1572970001635
Alabama	Washington	0.5904069201470362	1433	93057	942641	36141038	6	3253.1723626213507
Alabama	New Mexico	1.5772508887875756	1057	93057	260271	36141038	4	1792.5094498929557
Alabama	South Carolina	2.832042139146234	1315	93057	180334	36141038	2	565.7816933112996
Alabama	Arkansas	2.205983162641956	776	93057	136619	36141038	2	569.1792496529566
Alabama	West Virginia	1.537500926614317	605	93057	152824	36141038	3	859.2837080110767
Alaska	Wisconsin	0.3826272855464682	315	54980	541166	36141038	NA	4349.327236019554
Alaska	New Jersey	0.3042455565758713	324	54980	700030	36141038	NA	5491.917823591993
