x	y	RR	N_pairs	N_x	N_y	N_total	sameState	sameRegion
00y	00y	52.5773167733443	218	6172	6172	9187424	TRUE	TRUE
00y	01y	2.35602985826922	74	6172	46754	9187424	TRUE	TRUE
00y	02y	2.480764694476272	70	6172	42003	9187424	TRUE	TRUE
00y	03y	1.4453919085045213	46	6172	47374	9187424	TRUE	TRUE
00y	04y	1.1845192649872458	41	6172	51524	9187424	TRUE	TRUE
00y	05y	1.3022002468059892	52	6172	59442	9187424	TRUE	TRUE
00y	06y	1.25435244716404	50	6172	59336	9187424	TRUE	TRUE
00y	07y	1.3299817218240038	59	6172	66035	9187424	TRUE	TRUE
00y	08y	1.558299016077859	72	6172	68778	9187424	TRUE	TRUE
00y	09y	1.0538830383470101	59	6172	83335	9187424	TRUE	TRUE
00y	10y	0.9366252539558864	56	6172	89000	9187424	TRUE	TRUE
00y	11y	0.9242340752501772	59	6172	95025	9187424	TRUE	TRUE
00y	12y	0.9955411558414708	56	6172	83733	9187424	TRUE	TRUE
00y	13y	0.94700707213601365	51	6172	80165	9187424	TRUE	TRUE
00y	14y	0.9755614346185881	62	6172	94603	9187424	TRUE	TRUE
00y	15y	0.9657482606155122	64	6172	98647	9187424	TRUE	TRUE
00y	16y	0.7053473920102868	50	6172	105520	9187424	TRUE	TRUE
00y	17y	1.0046676255146803	77	6172	114087	9187424	TRUE	TRUE
00y	18y	0.9630389608236362	92	6172	142204	9187424	TRUE	TRUE
00y	19y	0.8098776585248799	81	6172	148879	9187424	TRUE	TRUE
00y	20y	1.1298675085263812	128	6172	168636	9187424	TRUE	TRUE
00y	21y	0.8110447954705879	98	6172	179866	9187424	TRUE	TRUE
00y	22y	0.8396794866326829	108	6172	191460	9187424	TRUE	TRUE
00y	23y	0.9008032116999098	111	6172	183426	9187424	TRUE	TRUE
00y	24y	0.7858879417304578	101	6172	191306	9187424	TRUE	TRUE
00y	25y	0.9026363851341942	115	6172	189650	9187424	TRUE	TRUE
00y	26y	0.8327593164568459	106	6172	189476	9187424	TRUE	TRUE
00y	27y	0.8196025210843408	108	6172	196150	9187424	TRUE	TRUE
00y	28y	0.9064038318017364	116	6172	190504	9187424	TRUE	TRUE
00y	29y	0.9460914399499709	125	6172	196673	9187424	TRUE	TRUE
00y	30y	1.0438639590245211	138	6172	196790	9187424	TRUE	TRUE
00y	31y	0.9234275026247747	118	6172	190216	9187424	TRUE	TRUE
00y	32y	0.8991322345491388	113	6172	187078	9187424	TRUE	TRUE
00y	33y	1.0378177342820254	121	6172	173553	9187424	TRUE	TRUE
00y	34y	1.0953255832399065	124	6172	168518	9187424	TRUE	TRUE
00y	35y	1.014594237226397	111	6172	162854	9187424	TRUE	TRUE
00y	36y	0.8717471634221391	92	6172	157096	9187424	TRUE	TRUE
00y	37y	0.8850027048181326	94	6172	158107	9187424	TRUE	TRUE
00y	38y	0.8670274404863931	86	6172	147650	9187424	TRUE	TRUE
00y	39y	0.8285723323200642	83	6172	149113	9187424	TRUE	TRUE
00y	40y	0.6007083486022283	61	6172	151159	9187424	TRUE	TRUE
00y	41y	0.9269902059387567	87	6172	139705	9187424	TRUE	TRUE
00y	42y	1.0451742167879456	97	6172	138150	9187424	TRUE	TRUE
00y	43y	0.7975841317400604	73	6172	136243	9187424	TRUE	TRUE
00y	44y	0.7730325578986934	68	6172	130942	9187424	TRUE	TRUE
00y	45y	0.9052511116416571	79	6172	129905	9187424	TRUE	TRUE
00y	46y	0.966539505387556	82	6172	126288	9187424	TRUE	TRUE
00y	47y	0.9446900926313719	78	6172	122906	9187424	TRUE	TRUE
00y	48y	1.0378237840618718	86	6172	123351	9187424	TRUE	TRUE
00y	49y	1.0638393595017752	88	6172	123133	9187424	TRUE	TRUE
00y	50y	0.9680481774631862	76	6172	116865	9187424	TRUE	TRUE
00y	51y	0.9247560019882558	76	6172	122336	9187424	TRUE	TRUE
00y	52y	0.9372380574827159	73	6172	115942	9187424	TRUE	TRUE
00y	53y	1.1273958283482086	84	6172	110910	9187424	TRUE	TRUE
00y	54y	0.9345794326953752	68	6172	108308	9187424	TRUE	TRUE
00y	55y	0.8622673731067177	68	6172	117391	9187424	TRUE	TRUE
00y	56y	0.9818055354734055	73	6172	110679	9187424	TRUE	TRUE
00y	57y	1.0364448565662518	72	6172	103408	9187424	TRUE	TRUE
00y	58y	0.9317914862017562	66	6172	105437	9187424	TRUE	TRUE
00y	59y	1.0461995485586653	71	6172	101021	9187424	TRUE	TRUE
00y	60y	0.887562738941444	58	6172	97274	9187424	TRUE	TRUE
00y	61y	0.8078563766832267	54	6172	99501	9187424	TRUE	TRUE
00y	62y	1.0504429065981318	60	6172	85025	9187424	TRUE	TRUE
00y	63y	0.8972977113619847	52	6172	86265	9187424	TRUE	TRUE
00y	64y	1.0319342360890371	60	6172	86550	9187424	TRUE	TRUE
00y	65y	0.9026958839034104	46	6172	75855	9187424	TRUE	TRUE
00y	66y	0.9214528138404201	44	6172	71080	9187424	TRUE	TRUE
00y	67y	1.0483638481509143	47	6172	66735	9187424	TRUE	TRUE
00y	68y	0.8163099141805866	34	6172	62000	9187424	TRUE	TRUE
00y	69y	0.9408726902330309	36	6172	56956	9187424	TRUE	TRUE
00y	70y	1.3553603235044882	50	6172	54914	9187424	TRUE	TRUE
00y	71y	1.0628212996623323	38	6172	53222	9187424	TRUE	TRUE
00y	72y	0.88539190402651	28	6172	47075	9187424	TRUE	TRUE
00y	73y	1.105729865700039	35	6172	47118	9187424	TRUE	TRUE
00y	74y	1.0802359488296587	35	6172	48230	9187424	TRUE	TRUE
00y	75y	0.9553424946325146	27	6172	42070	9187424	TRUE	TRUE
00y	76y	1.3455795996628919	38	6172	42038	9187424	TRUE	TRUE
00y	77y	1.0249654029748894	26	6172	37760	9187424	TRUE	TRUE
00y	78y	0.701861251438336	17	6172	36055	9187424	TRUE	TRUE
00y	79y	1.2187137833023214	26	6172	31757	9187424	TRUE	TRUE
00y	80y	0.8986063953207517	19	6172	31474	9187424	TRUE	TRUE
00y	81y	1.0010525494009217	20	6172	29740	9187424	TRUE	TRUE
00y	82y	1.1845631586811671	22	6172	27646	9187424	TRUE	TRUE
00y	83y	1.3775357573005276	25	6172	27015	9187424	TRUE	TRUE
00y	84y	1.1980403543039893	22	6172	27335	9187424	TRUE	TRUE
00y	85y	1.0579709608097319	18	6172	25326	9187424	TRUE	TRUE
00y	86y	1.095955280234266	17	6172	23090	9187424	TRUE	TRUE
00y	87y	1.2760455534951507	22	6172	25664	9187424	TRUE	TRUE
00y	88y	0.8056096043078906	12	6172	22173	9187424	TRUE	TRUE
00y	89y	0.6847440770321874	10	6172	21739	9187424	TRUE	TRUE
00y	90y	0.7433027656026506	11	6172	22029	9187424	TRUE	TRUE
00y	91y	0.8940331216740809	11	6172	18315	9187424	TRUE	TRUE
00y	92y	1.1480205162631136	11	6172	14263	9187424	TRUE	TRUE
00y	93y	0.4905066886443949	4	6172	12139	9187424	TRUE	TRUE
00y	94y	0.9204772708616353	6	6172	9703	9187424	TRUE	TRUE
00y	95y	0.9166041624764416	6	6172	9744	9187424	TRUE	TRUE
00y	96y	0.7524656506324162	4	6172	7913	9187424	TRUE	TRUE
00y	97y	1.0794526275297878	4	6172	5516	9187424	TRUE	TRUE
00y	98y	0.35748446082615365	1	6172	4164	9187424	TRUE	TRUE
00y	99y+	0.7340788861142498	5	6172	10139	9187424	TRUE	TRUE
01y	00y	2.35602985826922	74	46754	6172	9187424	TRUE	TRUE
