x	y	RR	N_pairs	N_x	N_y	N_total	sameState	sameRegion
01y	01y	4.396305855480755	1046	46754	46754	9187424	TRUE	TRUE
01y	02y	2.128658892972923	455	46754	42003	9187424	TRUE	TRUE
01y	03y	2.4141147861761665	582	46754	47374	9187424	TRUE	TRUE
01y	04y	1.987024119709137	521	46754	51524	9187424	TRUE	TRUE
01y	05y	1.7157299467299094	519	46754	59442	9187424	TRUE	TRUE
01y	06y	1.4008675926175154	423	46754	59336	9187424	TRUE	TRUE
01y	07y	1.3896892100217686	467	46754	66035	9187424	TRUE	TRUE
01y	08y	1.2571240091851237	440	46754	68778	9187424	TRUE	TRUE
01y	09y	1.4242442867273895	604	46754	83335	9187424	TRUE	TRUE
01y	10y	1.4439851561099382	654	46754	89000	9187424	TRUE	TRUE
01y	11y	1.2097426020086415	585	46754	95025	9187424	TRUE	TRUE
01y	12y	1.192180593272194	508	46754	83733	9187424	TRUE	TRUE
01y	13y	1.134935501566006	463	46754	80165	9187424	TRUE	TRUE
01y	14y	1.053120429492442	507	46754	94603	9187424	TRUE	TRUE
01y	15y	1.1095485240365237	557	46754	98647	9187424	TRUE	TRUE
01y	16y	1.0112069228393752	543	46754	105520	9187424	TRUE	TRUE
01y	17y	1.074789503958996	624	46754	114087	9187424	TRUE	TRUE
01y	18y	0.8622789101443701	624	46754	142204	9187424	TRUE	TRUE
01y	19y	0.8394573958746082	636	46754	148879	9187424	TRUE	TRUE
01y	20y	0.9403688390819185	807	46754	168636	9187424	TRUE	TRUE
01y	21y	0.9067843223662218	830	46754	179866	9187424	TRUE	TRUE
01y	22y	0.9740093926877346	949	46754	191460	9187424	TRUE	TRUE
01y	23y	0.9556061719076147	892	46754	183426	9187424	TRUE	TRUE
01y	24y	0.9665760264837301	941	46754	191306	9187424	TRUE	TRUE
01y	25y	0.9936667259470876	959	46754	189650	9187424	TRUE	TRUE
01y	26y	1.0142841386477497	978	46754	189476	9187424	TRUE	TRUE
01y	27y	1.0048184658888593	1003	46754	196150	9187424	TRUE	TRUE
01y	28y	1.0170628777134245	986	46754	190504	9187424	TRUE	TRUE
01y	29y	0.9621804572900895	963	46754	196673	9187424	TRUE	TRUE
01y	30y	1.0025491524431471	1004	46754	196790	9187424	TRUE	TRUE
01y	31y	0.9834785464921727	952	46754	190216	9187424	TRUE	TRUE
01y	32y	1.0136302949945375	965	46754	187078	9187424	TRUE	TRUE
01y	33y	1.0416712773248882	920	46754	173553	9187424	TRUE	TRUE
01y	34y	1.0786248550273685	925	46754	168518	9187424	TRUE	TRUE
01y	35y	1.0594270876718166	878	46754	162854	9187424	TRUE	TRUE
01y	36y	0.993185481616244	794	46754	157096	9187424	TRUE	TRUE
01y	37y	1.0812923775304626	870	46754	158107	9187424	TRUE	TRUE
01y	38y	0.9675556351672633	727	46754	147650	9187424	TRUE	TRUE
01y	39y	1.0186827995617773	773	46754	149113	9187424	TRUE	TRUE
01y	40y	0.9814946317300763	755	46754	151159	9187424	TRUE	TRUE
01y	41y	1.016954060568325	723	46754	139705	9187424	TRUE	TRUE
01y	42y	0.9515907583900958	669	46754	138150	9187424	TRUE	TRUE
01y	43y	0.993756565660876	689	46754	136243	9187424	TRUE	TRUE
01y	44y	0.8899194739454748	593	46754	130942	9187424	TRUE	TRUE
01y	45y	0.8622316799050376	570	46754	129905	9187424	TRUE	TRUE
01y	46y	0.8915947932790554	573	46754	126288	9187424	TRUE	TRUE
01y	47y	0.8553732893147094	535	46754	122906	9187424	TRUE	TRUE
01y	48y	0.9144168176894594	574	46754	123351	9187424	TRUE	TRUE
01y	49y	0.9144398597745962	573	46754	123133	9187424	TRUE	TRUE
01y	50y	0.865959842491513	515	46754	116865	9187424	TRUE	TRUE
01y	51y	0.8706026751963749	542	46754	122336	9187424	TRUE	TRUE
01y	52y	0.8864125338036938	523	46754	115942	9187424	TRUE	TRUE
01y	53y	0.8504436039240865	480	46754	110910	9187424	TRUE	TRUE
01y	54y	0.9180471097803147	506	46754	108308	9187424	TRUE	TRUE
01y	55y	0.8871888080907218	530	46754	117391	9187424	TRUE	TRUE
01y	56y	0.9622968121578955	542	46754	110679	9187424	TRUE	TRUE
01y	57y	0.8741353435660436	460	46754	103408	9187424	TRUE	TRUE
01y	58y	0.9094980425535403	488	46754	105437	9187424	TRUE	TRUE
01y	59y	0.7975302793292478	410	46754	101021	9187424	TRUE	TRUE
01y	60y	0.8747140626213006	433	46754	97274	9187424	TRUE	TRUE
01y	61y	0.9538820412536746	483	46754	99501	9187424	TRUE	TRUE
01y	62y	0.8921043380609038	386	46754	85025	9187424	TRUE	TRUE
01y	63y	0.8587795828776909	377	46754	86265	9187424	TRUE	TRUE
01y	64y	0.9059011492901363	399	46754	86550	9187424	TRUE	TRUE
01y	65y	0.8445169577799666	326	46754	75855	9187424	TRUE	TRUE
01y	66y	0.7602567100148386	275	46754	71080	9187424	TRUE	TRUE
01y	67y	1.0600438314042475	360	46754	66735	9187424	TRUE	TRUE
01y	68y	0.8715975314170118	275	46754	62000	9187424	TRUE	TRUE
01y	69y	0.8211310277394864	238	46754	56956	9187424	TRUE	TRUE
01y	70y	0.81945930344258	229	46754	54914	9187424	TRUE	TRUE
01y	71y	0.823357905342207	223	46754	53222	9187424	TRUE	TRUE
01y	72y	0.8056417563995422	193	46754	47075	9187424	TRUE	TRUE
01y	73y	0.8799755281607272	211	46754	47118	9187424	TRUE	TRUE
01y	74y	0.8311662359437507	204	46754	48230	9187424	TRUE	TRUE
01y	75y	0.7893855640127609	169	46754	42070	9187424	TRUE	TRUE
01y	76y	0.785311980894184	168	46754	42038	9187424	TRUE	TRUE
01y	77y	0.7181614485491317	138	46754	37760	9187424	TRUE	TRUE
01y	78y	0.7248716730350704	133	46754	36055	9187424	TRUE	TRUE
01y	79y	0.7487225074482371	121	46754	31757	9187424	TRUE	TRUE
01y	80y	0.7741849636079022	124	46754	31474	9187424	TRUE	TRUE
01y	81y	0.6739601140039617	102	46754	29740	9187424	TRUE	TRUE
01y	82y	0.653928869948865	92	46754	27646	9187424	TRUE	TRUE
01y	83y	0.6255592740138228	86	46754	27015	9187424	TRUE	TRUE
01y	84y	0.7763895204536572	108	46754	27335	9187424	TRUE	TRUE
01y	85y	0.5741694813724089	74	46754	25326	9187424	TRUE	TRUE
01y	86y	0.6723232746285568	79	46754	23090	9187424	TRUE	TRUE
01y	87y	0.7120878726540474	93	46754	25664	9187424	TRUE	TRUE
01y	88y	0.7355778158987045	83	46754	22173	9187424	TRUE	TRUE
01y	89y	0.5423587806530903	60	46754	21739	9187424	TRUE	TRUE
01y	90y	0.49953765635611835	56	46754	22029	9187424	TRUE	TRUE
01y	91y	0.6652115087628626	62	46754	18315	9187424	TRUE	TRUE
01y	92y	0.6613103856391876	48	46754	14263	9187424	TRUE	TRUE
01y	93y	0.5342026239858708	33	46754	12139	9187424	TRUE	TRUE
01y	94y	0.6075614528499471	30	46754	9703	9187424	TRUE	TRUE
01y	95y	0.36300300438805827	18	46754	9744	9187424	TRUE	TRUE
01y	96y	0.3973322411705978	16	46754	7913	9187424	TRUE	TRUE
01y	97y	0.6412438859240827	18	46754	5516	9187424	TRUE	TRUE
01y	98y	0.4247239788839799	9	46754	4164	9187424	TRUE	TRUE
01y	99y+	0.46514794613671356	24	46754	10139	9187424	TRUE	TRUE
02y	00y	2.480764694476272	70	42003	6172	9187424	TRUE	TRUE
02y	01y	2.128658892972923	455	42003	46754	9187424	TRUE	TRUE
02y	02y	4.488904900547006	862	42003	42003	9187424	TRUE	TRUE
02y	03y	2.105417538075262	456	42003	47374	9187424	TRUE	TRUE
02y	04y	2.3730980673294817	559	42003	51524	9187424	TRUE	TRUE
02y	05y	2.0165109953761404	548	42003	59442	9187424	TRUE	TRUE
02y	06y	1.6477932005575813	447	42003	59336	9187424	TRUE	TRUE
02y	07y	1.6826856048806171	508	42003	66035	9187424	TRUE	TRUE
02y	08y	1.609216301504096	506	42003	68778	9187424	TRUE	TRUE
02y	09y	1.3858618257961246	528	42003	83335	9187424	TRUE	TRUE
02y	10y	1.3394297627751042	545	42003	89000	9187424	TRUE	TRUE
02y	11y	1.1624303732504844	505	42003	95025	9187424	TRUE	TRUE
02y	12y	1.334866081693667	511	42003	83733	9187424	TRUE	TRUE
02y	13y	1.2360238601461135	453	42003	80165	9187424	TRUE	TRUE
02y	14y	1.0890039316892577	471	42003	94603	9187424	TRUE	TRUE
02y	15y	1.1352709579123264	512	42003	98647	9187424	TRUE	TRUE
02y	16y	1.059252668863304	511	42003	105520	9187424	TRUE	TRUE
02y	17y	1.1580151141107078	604	42003	114087	9187424	TRUE	TRUE
02y	18y	0.8306066359130344	540	42003	142204	9187424	TRUE	TRUE
02y	19y	0.7536980148435889	513	42003	148879	9187424	TRUE	TRUE
02y	20y	0.8249360306140676	636	42003	168636	9187424	TRUE	TRUE
02y	21y	0.8111295187917564	667	42003	179866	9187424	TRUE	TRUE
02y	22y	0.8785403939861245	769	42003	191460	9187424	TRUE	TRUE
02y	23y	0.9039028578208527	758	42003	183426	9187424	TRUE	TRUE
02y	24y	0.9409893178234886	823	42003	191306	9187424	TRUE	TRUE
02y	25y	0.9330590377086231	809	42003	189650	9187424	TRUE	TRUE
02y	26y	0.8992836533376134	779	42003	189476	9187424	TRUE	TRUE
02y	27y	0.9946951289284661	892	42003	196150	9187424	TRUE	TRUE
02y	28y	0.973655233504682	848	42003	190504	9187424	TRUE	TRUE
02y	29y	0.9141985420917914	822	42003	196673	9187424	TRUE	TRUE
02y	30y	1.0136902326019976	912	42003	196790	9187424	TRUE	TRUE
02y	31y	0.9762793307098108	849	42003	190216	9187424	TRUE	TRUE
02y	32y	1.0417618157805686	891	42003	187078	9187424	TRUE	TRUE
02y	33y	1.1216860809428577	890	42003	173553	9187424	TRUE	TRUE
02y	34y	1.0422759058445497	803	42003	168518	9187424	TRUE	TRUE
02y	35y	1.1846323938749086	882	42003	162854	9187424	TRUE	TRUE
02y	36y	1.0860327574637105	780	42003	157096	9187424	TRUE	TRUE
02y	37y	1.1496439940629555	831	42003	158107	9187424	TRUE	TRUE
02y	38y	1.0355168585308747	699	42003	147650	9187424	TRUE	TRUE
02y	39y	1.070830670232963	730	42003	149113	9187424	TRUE	TRUE
02y	40y	1.046207276863421	723	42003	151159	9187424	TRUE	TRUE
02y	41y	1.02864819698496	657	42003	139705	9187424	TRUE	TRUE
02y	42y	0.9974775031364846	630	42003	138150	9187424	TRUE	TRUE
02y	43y	1.0146501632505758	632	42003	136243	9187424	TRUE	TRUE
02y	44y	0.9337836967595134	559	42003	130942	9187424	TRUE	TRUE
02y	45y	0.9142972460916933	543	42003	129905	9187424	TRUE	TRUE
02y	46y	0.879863042555837	508	42003	126288	9187424	TRUE	TRUE
02y	47y	0.9485660430436852	533	42003	122906	9187424	TRUE	TRUE
02y	48y	0.8848533924961997	499	42003	123351	9187424	TRUE	TRUE
02y	49y	0.9397117573635132	529	42003	123133	9187424	TRUE	TRUE
02y	50y	0.9077593367021674	485	42003	116865	9187424	TRUE	TRUE
02y	51y	0.8725272412361288	488	42003	122336	9187424	TRUE	TRUE
02y	52y	0.8225440229972657	436	42003	115942	9187424	TRUE	TRUE
02y	53y	0.9604432424230605	487	42003	110910	9187424	TRUE	TRUE
02y	54y	0.8785008175538976	435	42003	108308	9187424	TRUE	TRUE
02y	55y	0.8831957871537265	474	42003	117391	9187424	TRUE	TRUE
02y	56y	0.8695626937470945	440	42003	110679	9187424	TRUE	TRUE
02y	57y	0.8101362861491709	383	42003	103408	9187424	TRUE	TRUE
02y	58y	0.9501362480174921	458	42003	105437	9187424	TRUE	TRUE
02y	59y	0.8119570440239363	375	42003	101021	9187424	TRUE	TRUE
02y	60y	0.7892667202235734	351	42003	97274	9187424	TRUE	TRUE
02y	61y	0.9210856723056527	419	42003	99501	9187424	TRUE	TRUE
02y	62y	0.8721004427212089	339	42003	85025	9187424	TRUE	TRUE
02y	63y	0.8494222439631958	335	42003	86265	9187424	TRUE	TRUE
02y	64y	0.985623351186175	390	42003	86550	9187424	TRUE	TRUE
02y	65y	0.9256232804875768	321	42003	75855	9187424	TRUE	TRUE
02y	66y	0.8554819016933579	278	42003	71080	9187424	TRUE	TRUE
02y	67y	0.888237440702988	271	42003	66735	9187424	TRUE	TRUE
02y	68y	0.7761478177826008	220	42003	62000	9187424	TRUE	TRUE
02y	69y	0.8333620163346614	217	42003	56956	9187424	TRUE	TRUE
02y	70y	0.8603677465789334	216	42003	54914	9187424	TRUE	TRUE
02y	71y	0.7767550098485041	189	42003	53222	9187424	TRUE	TRUE
02y	72y	0.8224251584386615	177	42003	47075	9187424	TRUE	TRUE
02y	73y	0.7195455635983837	155	42003	47118	9187424	TRUE	TRUE
02y	74y	0.625857230590181	138	42003	48230	9187424	TRUE	TRUE
02y	75y	0.8318804539870637	160	42003	42070	9187424	TRUE	TRUE
02y	76y	0.785684799437246	151	42003	42038	9187424	TRUE	TRUE
02y	77y	0.6371976261431286	110	42003	37760	9187424	TRUE	TRUE
02y	78y	0.697663158973004	115	42003	36055	9187424	TRUE	TRUE
02y	79y	0.5647910852714251	82	42003	31757	9187424	TRUE	TRUE
02y	80y	0.5003731596794306	72	42003	31474	9187424	TRUE	TRUE
02y	81y	0.6251603293587398	85	42003	29740	9187424	TRUE	TRUE
02y	82y	0.5854810808505118	74	42003	27646	9187424	TRUE	TRUE
02y	83y	0.5829629771515972	72	42003	27015	9187424	TRUE	TRUE
02y	84y	0.6801634605863881	85	42003	27335	9187424	TRUE	TRUE
02y	85y	0.4059239777191338	47	42003	25326	9187424	TRUE	TRUE
02y	86y	0.5494365047055199	58	42003	23090	9187424	TRUE	TRUE
02y	87y	0.5710365490236625	67	42003	25664	9187424	TRUE	TRUE
02y	88y	0.5425648849269914	55	42003	22173	9187424	TRUE	TRUE
02y	89y	0.5131496815217113	51	42003	21739	9187424	TRUE	TRUE
02y	90y	0.5262529420329262	53	42003	22029	9187424	TRUE	TRUE
02y	91y	0.5135408349893029	43	42003	18315	9187424	TRUE	TRUE
02y	92y	0.3680559226755952	24	42003	14263	9187424	TRUE	TRUE
02y	93y	0.6486837816771654	36	42003	12139	9187424	TRUE	TRUE
02y	94y	0.49594109983295537	22	42003	9703	9187424	TRUE	TRUE
02y	95y	0.583646013810023	26	42003	9744	9187424	TRUE	TRUE
02y	96y	0.4975592347773875	18	42003	7913	9187424	TRUE	TRUE
02y	97y	0.23792520379557128	6	42003	5516	9187424	TRUE	TRUE
02y	98y	0.5252943542320052	10	42003	4164	9187424	TRUE	TRUE
02y	99y+	0.36674757452135737	17	42003	10139	9187424	TRUE	TRUE
03y	00y	1.4453919085045213	46	47374	6172	9187424	TRUE	TRUE
03y	01y	2.4141147861761665	582	47374	46754	9187424	TRUE	TRUE
03y	02y	2.105417538075262	456	47374	42003	9187424	TRUE	TRUE
03y	03y	4.1509891973797846	1014	47374	47374	9187424	TRUE	TRUE
03y	04y	2.1191052489118865	563	47374	51524	9187424	TRUE	TRUE
03y	05y	2.3294774048771076	714	47374	59442	9187424	TRUE	TRUE
03y	06y	1.9871882802233176	608	47374	59336	9187424	TRUE	TRUE
03y	07y	1.671059016758618	569	47374	66035	9187424	TRUE	TRUE
03y	08y	1.6185124837969713	574	47374	68778	9187424	TRUE	TRUE
03y	09y	1.386987425954187	596	47374	83335	9187424	TRUE	TRUE
03y	10y	1.499174323800615	688	47374	89000	9187424	TRUE	TRUE
03y	11y	1.359220934353598	666	47374	95025	9187424	TRUE	TRUE
03y	12y	1.2738542546392808	550	47374	83733	9187424	TRUE	TRUE
03y	13y	1.1733042549439927	485	47374	80165	9187424	TRUE	TRUE
03y	14y	1.0864873264904908	530	47374	94603	9187424	TRUE	TRUE
03y	15y	1.2287112622553358	625	47374	98647	9187424	TRUE	TRUE
03y	16y	0.9851076940361941	536	47374	105520	9187424	TRUE	TRUE
03y	17y	0.9162337999777262	539	47374	114087	9187424	TRUE	TRUE
03y	18y	0.6914325977390879	507	47374	142204	9187424	TRUE	TRUE
03y	19y	0.7998133190177934	614	47374	148879	9187424	TRUE	TRUE
03y	20y	0.7958102087893506	692	47374	168636	9187424	TRUE	TRUE
03y	21y	0.8787437234782923	815	47374	179866	9187424	TRUE	TRUE
03y	22y	0.8366728890253765	826	47374	191460	9187424	TRUE	TRUE
03y	23y	0.9208967991625686	871	47374	183426	9187424	TRUE	TRUE
03y	24y	0.9326376422314734	920	47374	191306	9187424	TRUE	TRUE
03y	25y	0.8845389557420196	865	47374	189650	9187424	TRUE	TRUE
03y	26y	0.9754216633330363	953	47374	189476	9187424	TRUE	TRUE
03y	27y	0.937289450128767	948	47374	196150	9187424	TRUE	TRUE
03y	28y	1.0129142609537094	995	47374	190504	9187424	TRUE	TRUE
03y	29y	0.9673373769643712	981	47374	196673	9187424	TRUE	TRUE
03y	30y	1.0229349842143762	1038	47374	196790	9187424	TRUE	TRUE
03y	31y	1.0827574381252065	1062	47374	190216	9187424	TRUE	TRUE
03y	32y	1.0459770405805981	1009	47374	187078	9187424	TRUE	TRUE
03y	33y	1.1017891559272759	986	47374	173553	9187424	TRUE	TRUE
03y	34y	1.1289544377438243	981	47374	168518	9187424	TRUE	TRUE
03y	35y	1.1432112953700628	960	47374	162854	9187424	TRUE	TRUE
03y	36y	1.1900511015388198	964	47374	157096	9187424	TRUE	TRUE
03y	37y	1.074500722435604	876	47374	158107	9187424	TRUE	TRUE
03y	38y	1.1072554515758206	843	47374	147650	9187424	TRUE	TRUE
03y	39y	1.0638771953518886	818	47374	149113	9187424	TRUE	TRUE
03y	40y	1.0533261128604041	821	47374	151159	9187424	TRUE	TRUE
03y	41y	1.1160863662824845	804	47374	139705	9187424	TRUE	TRUE
03y	42y	1.0542479171104406	751	47374	138150	9187424	TRUE	TRUE
03y	43y	0.9508586647572628	668	47374	136243	9187424	TRUE	TRUE
03y	44y	0.9078941304872655	613	47374	130942	9187424	TRUE	TRUE
03y	45y	0.9255918590413715	620	47374	129905	9187424	TRUE	TRUE
03y	46y	0.8952826602738743	583	47374	126288	9187424	TRUE	TRUE
03y	47y	0.9025611754919612	572	47374	122906	9187424	TRUE	TRUE
03y	48y	0.8159778824843565	519	47374	123351	9187424	TRUE	TRUE
03y	49y	0.8079725537070368	513	47374	123133	9187424	TRUE	TRUE
03y	50y	0.8347130926945028	503	47374	116865	9187424	TRUE	TRUE
03y	51y	0.8639645636997952	545	47374	122336	9187424	TRUE	TRUE
03y	52y	0.8999019479590856	538	47374	115942	9187424	TRUE	TRUE
03y	53y	0.8218278539427187	470	47374	110910	9187424	TRUE	TRUE
03y	54y	0.8988699975067078	502	47374	108308	9187424	TRUE	TRUE
03y	55y	0.8640136239871375	523	47374	117391	9187424	TRUE	TRUE
03y	56y	0.898888537623294	513	47374	110679	9187424	TRUE	TRUE
03y	57y	0.8270621667083494	441	47374	103408	9187424	TRUE	TRUE
03y	58y	0.8295397575124718	451	47374	105437	9187424	TRUE	TRUE
03y	59y	0.8523638273065663	444	47374	101021	9187424	TRUE	TRUE
03y	60y	0.7695630970939487	386	47374	97274	9187424	TRUE	TRUE
03y	61y	0.9258057378289632	475	47374	99501	9187424	TRUE	TRUE
03y	62y	0.8530582070364972	374	47374	85025	9187424	TRUE	TRUE
03y	63y	0.780096900052644	347	47374	86265	9187424	TRUE	TRUE
03y	64y	0.9657481878349105	431	47374	86550	9187424	TRUE	TRUE
03y	65y	0.7874449602447551	308	47374	75855	9187424	TRUE	TRUE
03y	66y	0.7694056890393305	282	47374	71080	9187424	TRUE	TRUE
03y	67y	0.8979631579703671	309	47374	66735	9187424	TRUE	TRUE
03y	68y	0.9196219843605516	294	47374	62000	9187424	TRUE	TRUE
03y	69y	0.8103846006444875	238	47374	56956	9187424	TRUE	TRUE
03y	70y	0.7451660841328366	211	47374	54914	9187424	TRUE	TRUE
03y	71y	0.7943629994847325	218	47374	53222	9187424	TRUE	TRUE
03y	72y	0.7044651053129815	171	47374	47075	9187424	TRUE	TRUE
03y	73y	0.7655609989686923	186	47374	47118	9187424	TRUE	TRUE
03y	74y	0.6031532902569161	150	47374	48230	9187424	TRUE	TRUE
03y	75y	0.7974937629708035	173	47374	42070	9187424	TRUE	TRUE
03y	76y	0.7519678322069605	163	47374	42038	9187424	TRUE	TRUE
