x	y	RR	N_pairs	N_x	N_y	N_total
00y	00y	15.886305966365473	232	16279	16279	18146396
00y	01y	1.9168653362886598	140	16279	81414	18146396
00y	02y	1.456904216018675	97	16279	74217	18146396
00y	03y	1.1595291092714057	86	16279	82676	18146396
00y	04y	1.0075733301525256	84	16279	92932	18146396
00y	05y	1.044695157723586	94	16279	100300	18146396
00y	06y	1.0310758468961614	104	16279	112436	18146396
00y	07y	0.9895522694817309	106	16279	119407	18146396
00y	08y	1.1542306185254454	126	16279	121686	18146396
00y	09y	0.9765633963800399	125	16279	142683	18146396
00y	10y	0.9438159352780974	130	16279	153539	18146396
00y	11y	0.8904481706344656	131	16279	163993	18146396
00y	12y	0.902864944150832	119	16279	146922	18146396
00y	13y	0.8625576172811178	114	16279	147326	18146396
00y	14y	0.8996341967356176	138	16279	170992	18146396
00y	15y	0.8193860788720911	137	16279	186378	18146396
00y	16y	0.7418225115302696	132	16279	198352	18146396
00y	17y	0.8951634053713277	161	16279	200487	18146396
00y	18y	0.7910111177798367	174	16279	245205	18146396
00y	19y	0.8769145549984658	217	16279	275845	18146396
00y	20y	0.9907535860965776	269	16279	302656	18146396
00y	21y	0.7727740108072224	239	16279	344753	18146396
00y	22y	0.8740608559140441	292	16279	372395	18146396
00y	23y	0.8780537010995797	289	16279	366893	18146396
00y	24y	0.8238992385407891	278	16279	376126	18146396
00y	25y	0.9566397513731543	325	16279	378702	18146396
00y	26y	0.9013159333194047	309	16279	382159	18146396
00y	27y	0.885178732804153	319	16279	401719	18146396
00y	28y	0.9464459523429973	329	16279	387492	18146396
00y	29y	0.9137803193298452	338	16279	412323	18146396
00y	30y	0.9853867540516679	362	16279	409510	18146396
00y	31y	0.9350540713145151	330	16279	393405	18146396
00y	32y	1.0137777164723505	352	16279	387046	18146396
00y	33y	0.9160997007759782	298	16279	362607	18146396
00y	34y	1.0217429323795337	320	16279	349117	18146396
00y	35y	0.9598036504126799	288	16279	334482	18146396
00y	36y	0.9361441685581241	274	16279	326265	18146396
00y	37y	0.9397755127644751	272	16279	322632	18146396
00y	38y	0.8884130096295952	238	16279	298624	18146396
00y	39y	0.9350422820912065	251	16279	299230	18146396
00y	40y	0.8067205739631053	211	16279	291556	18146396
00y	41y	0.9829876230680593	246	16279	278965	18146396
00y	42y	1.0098036932776513	254	16279	280388	18146396
00y	43y	0.9897418968560967	245	16279	275935	18146396
00y	44y	1.0848674690797404	255	16279	262015	18146396
00y	45y	0.9686521340188731	225	16279	258927	18146396
00y	46y	0.9496967743420519	221	16279	259400	18146396
00y	47y	0.9331538353536245	211	16279	252053	18146396
00y	48y	0.9954280497027652	214	16279	239644	18146396
00y	49y	1.0056791982454536	223	16279	247177	18146396
00y	50y	0.9508364107165642	215	16279	252055	18146396
00y	51y	1.0408221870067316	242	16279	259180	18146396
00y	52y	1.0419589717382565	232	16279	248199	18146396
00y	53y	1.022440231123369	219	16279	238764	18146396
00y	54y	0.9232712010583247	194	16279	234226	18146396
00y	55y	1.0427614223254669	226	16279	241594	18146396
00y	56y	1.1346238790912524	233	16279	228911	18146396
00y	57y	0.9431267496230085	192	16279	226931	18146396
00y	58y	0.9425615519340949	195	16279	230615	18146396
00y	59y	1.1386871141415655	236	16279	231031	18146396
00y	60y	0.9526340335627147	183	16279	214135	18146396
00y	61y	0.8926913241338341	172	16279	214778	18146396
00y	62y	1.0128042840321982	176	16279	193709	18146396
00y	63y	0.9932128828188064	167	16279	187429	18146396
00y	64y	1.2330677850211662	198	16279	178995	18146396
00y	65y	1.0048025337771105	151	16279	167517	18146396
00y	66y	1.080056546223806	150	16279	154813	18146396
00y	67y	1.1058499082495827	145	16279	146162	18146396
00y	68y	0.9113001701272031	114	16279	139446	18146396
00y	69y	1.0056882360348411	113	16279	125250	18146396
00y	70y	1.3458011886801498	142	16279	117617	18146396
00y	71y	1.1736795788816685	120	16279	113971	18146396
00y	72y	1.2848199435843444	118	16279	102377	18146396
