x	y	RR	N_pairs	N_x	N_y	N_total
00y	73y	1.3155048191734533	118	16279	99989	18146396
00y	74y	1.2446830779223277	114	16279	102096	18146396
00y	75y	1.1903725642965324	91	16279	85216	18146396
00y	76y	1.43849768076209	93	16279	72067	18146396
00y	77y	1.472630463902156	85	16279	64341	18146396
00y	78y	1.0019013811929325	57	16279	63418	18146396
00y	79y	1.308048847671129	72	16279	61358	18146396
00y	80y	1.2672291171928558	62	16279	54538	18146396
00y	81y	1.0644734431578777	46	16279	48171	18146396
00y	82y	1.4722958049081176	56	16279	42399	18146396
00y	83y	1.3502870390074038	54	16279	44579	18146396
00y	84y	1.6133697542733123	51	16279	35237	18146396
00y	85y	1.2371589786283246	39	16279	35140	18146396
00y	86y	1.3496743957846498	34	16279	28081	18146396
00y	87y	1.882069226417728	50	16279	29614	18146396
00y	88y	1.4424808326701621	31	16279	23956	18146396
00y	89y	1.5487488188787801	28	16279	20153	18146396
00y	90y	2.100993935288968	39	16279	20692	18146396
00y	91y	1.4168566422186932	20	16279	15735	18146396
00y	92y	1.5799721973231646	19	16279	13405	18146396
00y	93y	1.3663077835883775	14	16279	11422	18146396
00y	94y	1.202847912847175	11	16279	10194	18146396
00y	95y	1.668730488528441	10	16279	6680	18146396
00y	96y	1.9025635199470876	10	16279	5859	18146396
00y	97y	1.9022388548970357	7	16279	4102	18146396
00y	98y	0.6411918268096246	2	16279	3477	18146396
00y	99y+	1.0552653521800643	9	16279	9507	18146396
01y	00y	1.9168653362886598	140	81414	16279	18146396
01y	01y	2.90200438031976	1060	81414	81414	18146396
01y	02y	1.5556706409821957	518	81414	74217	18146396
01y	03y	1.5986983547164837	593	81414	82676	18146396
01y	04y	1.4846246137853305	619	81414	92932	18146396
01y	05y	1.2800084646691268	576	81414	100300	18146396
01y	06y	1.1497777442959625	580	81414	112436	18146396
01y	07y	1.1983854627747625	642	81414	119407	18146396
01y	08y	1.1008423982811077	601	81414	121686	18146396
01y	09y	1.1934725035192897	764	81414	142683	18146396
01y	10y	1.0989260362499742	757	81414	153539	18146396
01y	11y	1.072365871046717	789	81414	163993	18146396
01y	12y	1.1226287997138495	740	81414	146922	18146396
01y	13y	1.08777928466112	719	81414	147326	18146396
01y	14y	0.9528682935226589	731	81414	170992	18146396
01y	15y	1.0344577357100384	865	81414	186378	18146396
01y	16y	1.0338142989341814	920	81414	198352	18146396
01y	17y	0.9816705841138277	883	81414	200487	18146396
01y	18y	0.8280953510599743	911	81414	245205	18146396
01y	19y	0.847620912571	1049	81414	275845	18146396
01y	20y	0.8690084721921124	1180	81414	302656	18146396
01y	21y	0.8469436823713429	1310	81414	344753	18146396
01y	22y	0.9367027426575719	1565	81414	372395	18146396
01y	23y	0.9064016521571026	1492	81414	366893	18146396
01y	24y	0.9167443657734458	1547	81414	376126	18146396
01y	25y	0.9652449553071568	1640	81414	378702	18146396
01y	26y	0.9279346222010336	1591	81414	382159	18146396
01y	27y	0.9670886924365721	1743	81414	401719	18146396
01y	28y	0.997994228356282	1735	81414	387492	18146396
01y	29y	0.9670837162307774	1789	81414	412323	18146396
01y	30y	0.9748153643454287	1791	81414	409510	18146396
01y	31y	0.9546657042802952	1685	81414	393405	18146396
01y	32y	0.9905061002869932	1720	81414	387046	18146396
01y	33y	0.9878044634855768	1607	81414	362607	18146396
01y	34y	1.0329964083167533	1618	81414	349117	18146396
01y	35y	1.0155551359285562	1524	81414	334482	18146396
01y	36y	1.002875124995912	1468	81414	326265	18146396
01y	37y	1.0362752122156844	1500	81414	322632	18146396
01y	38y	0.9314963728055425	1248	81414	298624	18146396
01y	39y	0.9810066098600594	1317	81414	299230	18146396
01y	40y	0.9907733342783258	1296	81414	291556	18146396
01y	41y	0.9779642755349156	1224	81414	278965	18146396
01y	42y	0.9427934517054836	1186	81414	280388	18146396
01y	43y	0.9782022193912283	1211	81414	275935	18146396
01y	44y	0.9706234528906302	1141	81414	262015	18146396
01y	45y	0.9055859825999532	1052	81414	258927	18146396
01y	46y	0.9357270822730217	1089	81414	259400	18146396
01y	47y	0.9276302627945213	1049	81414	252053	18146396
01y	48y	0.990545293992494	1065	81414	239644	18146396
01y	49y	1.0000340339042832	1109	81414	247177	18146396
01y	50y	0.9417715833192646	1065	81414	252055	18146396
01y	51y	0.9752205859606469	1134	81414	259180	18146396
01y	52y	1.018367001757785	1134	81414	248199	18146396
01y	53y	0.9615229839265852	1030	81414	238764	18146396
01y	54y	1.0429578171572749	1096	81414	234226	18146396
01y	55y	1.0010018613470302	1085	81414	241594	18146396
01y	56y	0.9834357740672576	1010	81414	228911	18146396
01y	57y	0.9969273404325293	1015	81414	226931	18146396
01y	58y	1.017728907831212	1053	81414	230615	18146396
01y	59y	0.992742027569505	1029	81414	231031	18146396
01y	60y	0.9492890509234729	912	81414	214135	18146396
01y	61y	1.041922004583751	1004	81414	214778	18146396
01y	62y	0.9573369430049672	832	81414	193709	18146396
01y	63y	1.0524410369948232	885	81414	187429	18146396
01y	64y	1.0298071458887952	827	81414	178995	18146396
01y	65y	1.0724262758931384	806	81414	167517	18146396
01y	66y	0.9257523807198551	643	81414	154813	18146396
01y	67y	1.0811925621133782	709	81414	146162	18146396
01y	68y	0.9862122533642027	617	81414	139446	18146396
01y	69y	1.0250287345813447	576	81414	125250	18146396
01y	70y	0.985427180487934	520	81414	117617	18146396
01y	71y	0.954369945658719	488	81414	113971	18146396
01y	72y	0.9753644135225248	448	81414	102377	18146396
01y	73y	0.9942003804170639	446	81414	99989	18146396
01y	74y	1.0828398759928375	496	81414	102096	18146396
01y	75y	1.1273205312965748	431	81414	85216	18146396
01y	76y	0.9711459328549333	314	81414	72067	18146396
01y	77y	1.001155015808505	289	81414	64341	18146396
01y	78y	0.9946383155431244	283	81414	63418	18146396
01y	79y	1.0026034120286818	276	81414	61358	18146396
01y	80y	0.9604172371363939	235	81414	54538	18146396
01y	81y	1.0549708899355763	228	81414	48171	18146396
01y	82y	1.0303665446899024	196	81414	42399	18146396
01y	83y	0.8549822126424036	171	81414	44579	18146396
01y	84y	1.0247251125763823	162	81414	35237	18146396
01y	85y	0.9577815822609146	151	81414	35140	18146396
01y	86y	1.0398004894381028	131	81414	28081	18146396
01y	87y	0.9935006384395294	132	81414	29614	18146396
01y	88y	1.0606737926066443	114	81414	23956	18146396
01y	89y	0.9511522461297441	86	81414	20153	18146396
01y	90y	0.9156041394459634	85	81414	20692	18146396
01y	91y	1.0482292254344092	74	81414	15735	18146396
01y	92y	0.9643894857755088	58	81414	13405	18146396
01y	93y	0.7610509685624569	39	81414	11422	18146396
01y	94y	0.9839186129038192	45	81414	10194	18146396
01y	95y	0.6006027759500528	18	81414	6680	18146396
01y	96y	0.6467206315940425	17	81414	5859	18146396
01y	97y	0.9780659540093499	18	81414	4102	18146396
01y	98y	1.0256674770413103	16	81414	3477	18146396
01y	99y+	0.8440152597464823	36	81414	9507	18146396
02y	00y	1.456904216018675	97	74217	16279	18146396
02y	01y	1.5556706409821957	518	74217	81414	18146396
02y	02y	3.0243097852834837	918	74217	74217	18146396
02y	03y	1.3899698823429931	470	74217	82676	18146396
02y	04y	1.699629353625787	646	74217	92932	18146396
02y	05y	1.523582841757278	625	74217	100300	18146396
02y	06y	1.3526081086572275	622	74217	112436	18146396
02y	07y	1.392406731779173	680	74217	119407	18146396
02y	08y	1.3100683935513824	652	74217	121686	18146396
02y	09y	1.252656896176572	731	74217	142683	18146396
02y	10y	1.2596351310258684	791	74217	153539	18146396
02y	11y	1.098826604572779	737	74217	163993	18146396
02y	12y	1.181567415732601	710	74217	146922	18146396
02y	13y	1.093686888659565	659	74217	147326	18146396
02y	14y	1.1639534223491435	814	74217	170992	18146396
02y	15y	1.0941034622262162	834	74217	186378	18146396
02y	16y	1.0021689673908059	813	74217	198352	18146396
02y	17y	1.1061348068240044	907	74217	200487	18146396
02y	18y	0.9223577470090326	925	74217	245205	18146396
02y	19y	0.8624515613032139	973	74217	275845	18146396
02y	20y	0.9039986611649459	1119	74217	302656	18146396
02y	21y	0.939002870316969	1324	74217	344753	18146396
02y	22y	0.971728326536273	1480	74217	372395	18146396
02y	23y	0.9323205938302441	1399	74217	366893	18146396
02y	24y	0.9835412099042762	1513	74217	376126	18146396
02y	25y	0.9768509834024003	1513	74217	378702	18146396
02y	26y	0.9622562335222851	1504	74217	382159	18146396
02y	27y	0.9787024155857764	1608	74217	401719	18146396
02y	28y	0.9793004746394199	1552	74217	387492	18146396
02y	29y	0.9309987118317529	1570	74217	412323	18146396
02y	30y	1.0329245043256277	1730	74217	409510	18146396
02y	31y	0.9956567106166943	1602	74217	393405	18146396
02y	32y	0.9671628267856572	1531	74217	387046	18146396
02y	33y	1.0411135552363548	1544	74217	362607	18146396
02y	34y	1.011307399757743	1444	74217	349117	18146396
02y	35y	1.0628663163502385	1454	74217	334482	18146396
02y	36y	1.0199400052229355	1361	74217	326265	18146396
02y	37y	1.0602231013419616	1399	74217	322632	18146396
02y	38y	1.0201882626491554	1246	74217	298624	18146396
02y	39y	1.008316829369574	1234	74217	299230	18146396
02y	40y	0.97950768614021555	1168	74217	291556	18146396
02y	41y	0.9755115923036796	1113	74217	278965	18146396
02y	42y	0.9827690749565854	1127	74217	280388	18146396
02y	43y	0.9950844839952614	1123	74217	275935	18146396
02y	44y	0.9732964568339236	1043	74217	262015	18146396
02y	45y	0.9735725368318356	1031	74217	258927	18146396
02y	46y	0.9576586261677023	1016	74217	259400	18146396
02y	47y	1.0234051014287642	1055	74217	252053	18146396
02y	48y	0.9600858128979998	941	74217	239644	18146396
02y	49y	0.9318152947909875	942	74217	247177	18146396
02y	50y	0.9186321715207798	947	74217	252055	18146396
02y	51y	0.8801711858582416	933	74217	259180	18146396
02y	52y	0.8826630997589193	896	74217	248199	18146396
02y	53y	0.9871773372781164	964	74217	238764	18146396
02y	54y	0.9520214318130455	912	74217	234226	18146396
02y	55y	0.8855414564689825	875	74217	241594	18146396
02y	56y	0.9271287557749598	868	74217	228911	18146396
02y	57y	0.9222887825820096	856	74217	226931	18146396
02y	58y	0.940422598388011	887	74217	230615	18146396
02y	59y	0.8815800066154503	833	74217	231031	18146396
02y	60y	0.9157431933184251	802	74217	214135	18146396
02y	61y	0.9756139841815348	857	74217	214778	18146396
02y	62y	0.9693897194804416	768	74217	193709	18146396
02y	63y	0.863591164024404	662	74217	187429	18146396
02y	64y	0.9657517479873418	707	74217	178995	18146396
02y	65y	0.9253741423143194	634	74217	167517	18146396
02y	66y	0.9160254835135987	580	74217	154813	18146396
02y	67y	0.9685701386459347	579	74217	146162	18146396
02y	68y	0.9328086399527815	532	74217	139446	18146396
02y	69y	0.9428799158490758	483	74217	125250	18146396
02y	70y	0.9437842897014114	454	74217	117617	18146396
02y	71y	0.886018278776542	413	74217	113971	18146396
02y	72y	0.9481457364414163	397	74217	102377	18146396
02y	73y	0.9610086885754261	393	74217	99989	18146396
02y	74y	0.8789098380637184	367	74217	102096	18146396
02y	75y	0.9439777154390573	329	74217	85216	18146396
02y	76y	0.8447921939995108	249	74217	72067	18146396
02y	77y	0.7334263203437679	193	74217	64341	18146396
02y	78y	0.8636195509850753	224	74217	63418	18146396
02y	79y	0.9165235524448875	230	74217	61358	18146396
02y	80y	0.8473241515923534	189	74217	54538	18146396
02y	81y	0.9187130843070431	181	74217	48171	18146396
02y	82y	0.8015787131385479	139	74217	42399	18146396
02y	83y	0.7788341950611777	142	74217	44579	18146396
02y	84y	0.9922568367357009	143	74217	35237	18146396
02y	85y	0.7862554616774731	113	74217	35140	18146396
02y	86y	0.8358833075084349	96	74217	28081	18146396
02y	87y	0.9907661560178277	120	74217	29614	18146396
02y	88y	0.8573377970053667	84	74217	23956	18146396
02y	89y	0.7643421923368195	63	74217	20153	18146396
02y	90y	0.8389631160619139	71	74217	20692	18146396
02y	91y	0.994489531400545	64	74217	15735	18146396
02y	92y	0.6383931457144153	35	74217	13405	18146396
02y	93y	0.7278196063629914	34	74217	11422	18146396
02y	94y	0.7435395154607748	31	74217	10194	18146396
02y	95y	0.6222421824365336	17	74217	6680	18146396
02y	96y	0.7928975810758395	19	74217	5859	18146396
02y	97y	0.4768494902153092	8	74217	4102	18146396
02y	98y	1.054808349102314	15	74217	3477	18146396
02y	99y+	0.5400858395256803	21	74217	9507	18146396
03y	00y	1.1595291092714057	86	82676	16279	18146396
03y	01y	1.5986983547164837	593	82676	81414	18146396
03y	02y	1.3899698823429931	470	82676	74217	18146396
03y	03y	2.6813459127014374	1010	82676	82676	18146396
03y	04y	1.5257316722875445	646	82676	92932	18146396
03y	05y	1.6412368440423564	750	82676	100300	18146396
03y	06y	1.5538840483305763	796	82676	112436	18146396
03y	07y	1.3510408464205725	735	82676	119407	18146396
03y	08y	1.2932707872545142	717	82676	121686	18146396
03y	09y	1.2444779813933646	809	82676	142683	18146396
03y	10y	1.255124293633031	878	82676	153539	18146396
03y	11y	1.219281526404892	911	82676	163993	18146396
03y	12y	1.0651569997831793	713	82676	146922	18146396
03y	13y	1.060746294939231	712	82676	147326	18146396
03y	14y	1.0679685454259475	832	82676	170992	18146396
03y	15y	1.0905040104981516	926	82676	186378	18146396
03y	16y	0.9759845185116887	882	82676	198352	18146396
03y	17y	0.8801987732347423	804	82676	200487	18146396
03y	18y	0.8047135191884007	899	82676	245205	18146396
03y	19y	0.8537791271761811	1073	82676	275845	18146396
03y	20y	0.8818510054566713	1216	82676	302656	18146396
03y	21y	0.909140658906659	1428	82676	344753	18146396
03y	22y	0.9495167419238001	1611	82676	372395	18146396
03y	23y	0.9769170432118098	1633	82676	366893	18146396
03y	24y	0.9395144154745654	1610	82676	376126	18146396
03y	25y	0.9290666078269891	1603	82676	378702	18146396
03y	26y	0.9459331267092767	1647	82676	382159	18146396
03y	27y	0.9550585191059704	1748	82676	401719	18146396
03y	28y	1.0042848757778478	1773	82676	387492	18146396
03y	29y	0.9970366981168246	1873	82676	412323	18146396
03y	30y	0.9926300039685322	1852	82676	409510	18146396
03y	31y	1.031034075900014	1848	82676	393405	18146396
03y	32y	1.0428697569903858	1839	82676	387046	18146396
03y	33y	1.1179995768297852	1847	82676	362607	18146396
03y	34y	1.094557803599485	1741	82676	349117	18146396
03y	35y	1.0938903117316723	1667	82676	334482	18146396
03y	36y	1.1066399448982767	1645	82676	326265	18146396
03y	37y	1.017735868131781	1496	82676	322632	18146396
03y	38y	1.044432306387154	1421	82676	298624	18146396
03y	39y	1.021778855704968	1393	82676	299230	18146396
03y	40y	1.011032128634776	1343	82676	291556	18146396
03y	41y	1.0558779603975896	1342	82676	278965	18146396
03y	42y	1.0325148348787732	1319	82676	280388	18146396
03y	43y	0.9815655253526475	1234	82676	275935	18146396
03y	44y	0.9306766793700548	1111	82676	262015	18146396
03y	45y	0.9765310731447765	1152	82676	258927	18146396
03y	46y	0.9544431279950125	1128	82676	259400	18146396
03y	47y	0.9770390313082702	1122	82676	252053	18146396
03y	48y	0.9332941669470058	1019	82676	239644	18146396
03y	49y	0.9261624710960145	1043	82676	247177	18146396
03y	50y	0.9361039435193429	1075	82676	252055	18146396
03y	51y	0.9637218463661456	1138	82676	259180	18146396
03y	52y	0.9939790051780938	1124	82676	248199	18146396
03y	53y	0.9100751922398741	990	82676	238764	18146396
03y	54y	0.9576939006157714	1022	82676	234226	18146396
03y	55y	0.9284866824740253	1022	82676	241594	18146396
03y	56y	0.9502063302938192	991	82676	228911	18146396
03y	57y	0.9449561683459223	977	82676	226931	18146396
03y	58y	0.894646009598701	940	82676	230615	18146396
03y	59y	0.9101357602845198	958	82676	231031	18146396
03y	60y	0.9132737473144265	891	82676	214135	18146396
03y	61y	0.9350659176239	915	82676	214778	18146396
03y	62y	0.9461230079204116	835	82676	193709	18146396
03y	63y	0.9391792908336463	802	82676	187429	18146396
03y	64y	0.9331569276831579	761	82676	178995	18146396
03y	65y	0.8634505198283091	659	82676	167517	18146396
03y	66y	0.8506575311400061	600	82676	154813	18146396
03y	67y	0.9190261576572804	612	82676	146162	18146396
03y	68y	0.9853243140031506	626	82676	139446	18146396
03y	69y	0.9375338887274558	535	82676	125250	18146396
03y	70y	0.9237320846988816	495	82676	117617	18146396
03y	71y	0.9089888735354098	472	82676	113971	18146396
03y	72y	0.9197415799138214	429	82676	102377	18146396
03y	73y	0.8275610705440214	377	82676	99989	18146396
03y	74y	0.9136737132809194	425	82676	102096	18146396
03y	75y	0.9092105955263666	353	82676	85216	18146396
03y	76y	0.9045465742774803	297	82676	72067	18146396
03y	77y	0.8289520208947602	243	82676	64341	18146396
03y	78y	0.8029460588979667	232	82676	63418	18146396
03y	79y	0.8012863615465653	224	82676	61358	18146396
03y	80y	0.8129486036410785	202	82676	54538	18146396
03y	81y	0.9021743092248155	198	82676	48171	18146396
03y	82y	0.7713324141427595	149	82676	42399	18146396
03y	83y	0.846854992879226	172	82676	44579	18146396
03y	84y	0.8284449256294425	133	82676	35237	18146396
03y	85y	0.8119934440131831	130	82676	35140	18146396
03y	86y	0.9145010740917513	117	82676	28081	18146396
03y	87y	0.8152795348173333	110	82676	29614	18146396
03y	88y	0.7512949605159737	82	82676	23956	18146396
03y	89y	0.9039602117822558	83	82676	20153	18146396
03y	90y	0.6470506728035367	61	82676	20692	18146396
03y	91y	0.7811459899596501	56	82676	15735	18146396
03y	92y	0.8678006661867723	53	82676	13405	18146396
03y	93y	0.7494339778719805	39	82676	11422	18146396
03y	94y	0.753588640332079	35	82676	10194	18146396
03y	95y	0.49286244326384243	15	82676	6680	18146396
03y	96y	0.8241573030367688	22	82676	5859	18146396
03y	97y	0.7491060573074915	14	82676	4102	18146396
03y	98y	0.25250282076616554	4	82676	3477	18146396
03y	99y+	0.8080448721515949	35	82676	9507	18146396
04y	00y	1.0075733301525256	84	92932	16279	18146396
04y	01y	1.4846246137853305	619	92932	81414	18146396
04y	02y	1.699629353625787	646	92932	74217	18146396
04y	03y	1.5257316722875445	646	92932	82676	18146396
04y	04y	2.5928355717469964	1234	92932	92932	18146396
04y	05y	1.337460314468294	687	92932	100300	18146396
04y	06y	1.630742184296374	939	92932	112436	18146396
04y	07y	1.5862332435615885	970	92932	119407	18146396
04y	08y	1.4056868790202062	876	92932	121686	18146396
04y	09y	1.4013700285010187	1024	92932	142683	18146396
04y	10y	1.2933835871714123	1017	92932	153539	18146396
04y	11y	1.2430834610138093	1044	92932	163993	18146396
04y	12y	1.1283555228565272	849	92932	146922	18146396
04y	13y	1.1822533602812417	892	92932	147326	18146396
04y	14y	1.1430977916766285	1001	92932	170992	18146396
04y	15y	1.019396864709207	973	92932	186378	18146396
04y	16y	1.074022221599936	1091	92932	198352	18146396
04y	17y	1.008043405365912	1035	92932	200487	18146396
04y	18y	0.8791537887005482	1104	92932	245205	18146396
04y	19y	0.9082107547894196	1283	92932	275845	18146396
04y	20y	0.8774345286390506	1360	92932	302656	18146396
04y	21y	0.8796066458251234	1553	92932	344753	18146396
04y	22y	0.9149907220135761	1745	92932	372395	18146396
04y	23y	0.9702247365891692	1823	92932	366893	18146396
04y	24y	0.9744420517168777	1877	92932	376126	18146396
04y	25y	0.9930789682794332	1926	92932	378702	18146396
04y	26y	0.9319783901299757	1824	92932	382159	18146396
04y	27y	1.0173536690937481	2093	92932	401719	18146396
04y	28y	0.956945764077792	1899	92932	387492	18146396
04y	29y	0.9637223984180697	2035	92932	412323	18146396
04y	30y	0.9560375842221035	2005	92932	409510	18146396
04y	31y	0.991700903468167	1998	92932	393405	18146396
04y	32y	1.0019401057797734	1986	92932	387046	18146396
04y	33y	1.031235119593315	1915	92932	362607	18146396
04y	34y	1.0414388627880975	1862	92932	349117	18146396
04y	35y	1.0724116055668431	1837	92932	334482	18146396
04y	36y	1.0377761987625427	1734	92932	326265	18146396
04y	37y	1.0609613814575627	1753	92932	322632	18146396
04y	38y	1.0488291660884155	1604	92932	298624	18146396
04y	39y	1.0499678757321915	1609	92932	299230	18146396
04y	40y	1.0200066903099527	1523	92932	291556	18146396
04y	41y	0.9883484341687669	1412	92932	278965	18146396
04y	42y	1.033474055314159	1484	92932	280388	18146396
04y	43y	0.9808024455717299	1386	92932	275935	18146396
04y	44y	0.9978827667961085	1339	92932	262015	18146396
04y	45y	0.9321079917433661	1236	92932	258927	18146396
04y	46y	0.9687989857516299	1287	92932	259400	18146396
04y	47y	0.9567537806170259	1235	92932	252053	18146396
04y	48y	0.9305177122090633	1142	92932	239644	18146396
04y	49y	0.9147988349278864	1158	92932	247177	18146396
04y	50y	0.9226596850922392	1191	92932	252055	18146396
04y	51y	0.9741417114653941	1293	92932	259180	18146396
04y	52y	0.9535153585776833	1212	92932	248199	18146396
04y	53y	0.9208621970995935	1126	92932	238764	18146396
04y	54y	0.9695488894585864	1163	92932	234226	18146396
04y	55y	0.9003764906455926	1114	92932	241594	18146396
04y	56y	0.9349082493202476	1096	92932	228911	18146396
04y	57y	0.9215539060479342	1071	92932	226931	18146396
04y	58y	0.9127593896288755	1078	92932	230615	18146396
04y	59y	0.9111158530208635	1078	92932	231031	18146396
04y	60y	0.8918181306751782	978	92932	214135	18146396
04y	61y	0.9000580094766939	990	92932	214778	18146396
04y	62y	0.9606566685355138	953	92932	193709	18146396
04y	63y	0.9261686431661066	889	92932	187429	18146396
04y	64y	0.9272634176451745	850	92932	178995	18146396
04y	65y	0.9476691851415587	813	92932	167517	18146396
04y	66y	0.8602051699780586	682	92932	154813	18146396
04y	67y	0.9271501944901497	694	92932	146162	18146396
04y	68y	0.8625807292421789	616	92932	139446	18146396
04y	69y	0.9400797070688821	603	92932	125250	18146396
04y	70y	0.8848755830482312	533	92932	117617	18146396
04y	71y	0.8720643317762562	509	92932	113971	18146396
04y	72y	0.9250483649878349	485	92932	102377	18146396
04y	73y	0.904177855488005	463	92932	99989	18146396
04y	74y	0.8740425454352972	457	92932	102096	18146396
04y	75y	0.8501153640563629	371	92932	85216	18146396
04y	76y	0.8318155449520777	307	92932	72067	18146396
04y	77y	0.8042353672256443	265	92932	64341	18146396
04y	78y	0.9298641445126729	302	92932	63418	18146396
04y	79y	0.8719758723085371	274	92932	61358	18146396
04y	80y	0.7518742085837686	210	92932	54538	18146396
04y	81y	0.8715210842435961	215	92932	48171	18146396
04y	82y	0.8566086014582763	186	92932	42399	18146396
04y	83y	0.8585208554687822	196	92932	44579	18146396
04y	84y	0.7148515848046991	129	92932	35237	18146396
04y	85y	0.6945977246635694	125	92932	35140	18146396
04y	86y	0.7370863969061787	106	92932	28081	18146396
04y	87y	0.9165218618382037	139	92932	29614	18146396
04y	88y	0.8640058069595259	106	92932	23956	18146396
04y	89y	0.7169966317094022	74	92932	20153	18146396
04y	90y	0.8209975922272849	87	92932	20692	18146396
04y	91y	0.45915580329202854	37	92932	15735	18146396
04y	92y	0.6409305297052917	44	92932	13405	18146396
04y	93y	0.4444841647535763	26	92932	11422	18146396
04y	94y	0.8236618048291248	43	92932	10194	18146396
04y	95y	0.643089353402694	22	92932	6680	18146396
04y	96y	0.7332030859754217	22	92932	5859	18146396
04y	97y	0.6188320502896032	13	92932	4102	18146396
04y	98y	0.6177504877035594	11	92932	3477	18146396
04y	99y+	0.6367123899413106	31	92932	9507	18146396
05y	00y	1.044695157723586	94	100300	16279	18146396
05y	01y	1.2800084646691268	576	100300	81414	18146396
05y	02y	1.523582841757278	625	100300	74217	18146396
05y	03y	1.6412368440423564	750	100300	82676	18146396
05y	04y	1.337460314468294	687	100300	92932	18146396
05y	05y	2.6335488212332097	1460	100300	100300	18146396
05y	06y	1.5383032461014623	956	100300	112436	18146396
05y	07y	1.7227415505708457	1137	100300	119407	18146396
05y	08y	1.754408985213385	1180	100300	121686	18146396
05y	09y	1.4150813706214955	1116	100300	142683	18146396
05y	10y	1.4705687358300379	1248	100300	153539	18146396
05y	11y	1.3360056152604671	1211	100300	163993	18146396
05y	12y	1.3016002002161116	1057	100300	146922	18146396
