Model	N	R_squared	Adj_R_squared	RMSE	AIC
Original (with anomalies)	2256	0.590604415033551	0.589694647066959	0.197724225060138	-897.169020837519
Robust (anomalies removed)	2112	0.592261034623903	0.591292993395565	0.19718362770479	-850.573941573656
