x	y	RR	N_pairs	N_x	N_y	N_total	ci_lb	ci_ub
Eastern Canada	Eastern Canada	9.432513170824901	4758402	6038543	6038543	72282076	9.360465390614115	9.508950924471971
Eastern Canada	Far West	0.17526530796268028	220027	6038543	15027214	72282076	0.17174568041298677	0.17764421323734111
Eastern Canada	Great Lakes	0.209697799380682	82856	6038543	4729645	72282076	0.20235895212613242	0.2155063735613194
Eastern Canada	Mexico	0.48060485105262934	13894	6038543	346049	72282076	0.45416932232994955	0.5175966839644326
Eastern Canada	Mideast	0.324349277640659	218113	6038543	8049466	72282076	0.3174591140605144	0.3321526410054836
Eastern Canada	New England	0.18295852965735257	88232	6038543	5772606	72282076	0.17863039633199868	0.18725087883015956
Eastern Canada	Plains	0.14544046451327677	49350	6038543	4061630	72282076	0.140879713688928	0.15035442873199953
Eastern Canada	Rocky Mountain	0.1302863530728962	67392	6038543	6191671	72282076	0.12765658513257389	0.13356970592057163
Eastern Canada	Southeast	0.19417593813566308	131848	6038543	8127867	72282076	0.1906611171466067	0.19637166173813336
Eastern Canada	Southwest	0.16009763991350734	71674	6038543	5358894	72282076	0.15635934332653947	0.1639515792247802
Eastern Canada	Western Canada	0.4698958471563783	336755	6038543	8578491	72282076	0.46003053695267504	0.4746804421000941
Far West	Eastern Canada	0.17526530796268028	220027	15027214	6038543	72282076	0.17174568041298677	0.17764421323734111
Far West	Far West	2.969983076621728	9278554	15027214	15027214	72282076	2.959229089812956	2.9804717373665257
Far West	Great Lakes	0.5316715196946596	522781	15027214	4729645	72282076	0.5260662702373389	0.5358587141976486
Far West	Mexico	0.9979777194686583	71797	15027214	346049	72282076	0.9756748141119563	1.019975756342179
Far West	Mideast	0.5972266728775014	999434	15027214	8049466	72282076	0.5934217563239866	0.6003804566788981
Far West	New England	0.33047735029476266	396608	15027214	5772606	72282076	0.32782052959559727	0.3337270530826566
Far West	Plains	0.47112507291924555	397818	15027214	4061630	72282076	0.4668388377244453	0.4781932784220003
Far West	Rocky Mountain	0.643993548708235	828967	15027214	6191671	72282076	0.6372384485499494	0.6477958295389686
Far West	Southeast	0.6372789305248973	1076847	15027214	8127867	72282076	0.6308839216488025	0.6406728097307688
Far West	Southwest	0.8161371649650616	909256	15027214	5358894	72282076	0.8116528331100323	0.8216500005459166
Far West	Western Canada	0.1823020747959186	325125	15027214	8578491	72282076	0.17906419404556242	0.1852618991093607
Great Lakes	Eastern Canada	0.209697799380682	82856	4729645	6038543	72282076	0.20235895212613242	0.2155063735613194
Great Lakes	Far West	0.5316715196946596	522781	4729645	15027214	72282076	0.5260662702373389	0.5358587141976486
Great Lakes	Great Lakes	6.766665030790508	2094118	4729645	4729645	72282076	6.722972189520704	6.819188213224735
Great Lakes	Mexico	0.5734643547089726	12985	4729645	346049	72282076	0.5443287946692656	0.5878878681916205
Great Lakes	Mideast	0.7681155038183718	404568	4729645	8049466	72282076	0.7602643555685291	0.7763419016147368
Great Lakes	New England	0.4475115257420431	169034	4729645	5772606	72282076	0.4413098316149513	0.45521113082919223
Great Lakes	Plains	1.2637353065149093	335857	4729645	4061630	72282076	1.2509488430746067	1.2777042855031835
Great Lakes	Rocky Mountain	0.5944577816776059	240839	4729645	6191671	72282076	0.5868387420395749	0.6042883273041648
Great Lakes	Southeast	1.0341817265379583	550011	4729645	8127867	72282076	1.0264784196152579	1.0375367924514203
Great Lakes	Southwest	0.7440024245955015	260884	4729645	5358894	72282076	0.7322034918713086	0.7529793228791475
Great Lakes	Western Canada	0.0992521498010037	55712	4729645	8578491	72282076	0.09517279437585144	0.10280984197697626
Mexico	Eastern Canada	0.48060485105262934	13894	346049	6038543	72282076	0.45416932232994955	0.5175966839644326
Mexico	Far West	0.9979777194686583	71797	346049	15027214	72282076	0.9756748141119563	1.019975756342179
Mexico	Great Lakes	0.5734643547089726	12985	346049	4729645	72282076	0.5443287946692656	0.5878878681916205
Mexico	Mexico	66.86413927169114	110774	346049	346049	72282076	64.9139391916583	69.64682954227406
Mexico	Mideast	0.7935301449332349	30580	346049	8049466	72282076	0.7695390419363747	0.8141478065735559
Mexico	New England	0.37125171036210863	10260	346049	5772606	72282076	0.3533005053529867	0.3924452089657231
Mexico	Plains	0.4245313221030101	8255	346049	4061630	72282076	0.3902257596798737	0.44070884267705795
Mexico	Rocky Mountain	0.6041662814064266	17909	346049	6191671	72282076	0.5809390869032625	0.6231874785974674
Mexico	Southeast	0.7016087317398481	27301	346049	8127867	72282076	0.6758462684866531	0.7190031791046956
Mexico	Southwest	1.3266500174677378	34036	346049	5358894	72282076	1.289922680884088	1.3600895294620188
Mexico	Western Canada	0.20107449996188498	8258	346049	8578491	72282076	0.1869621900861754	0.21335744625792336
Mideast	Eastern Canada	0.324349277640659	218113	8049466	6038543	72282076	0.3174591140605144	0.3321526410054836
