x	y	RR	N_pairs	N_x	N_y	N_total	ci_lb	ci_ub
Mideast	Far West	0.5972266728775014	999434	8049466	15027214	72282076	0.5934217563239866	0.6003804566788981
Mideast	Great Lakes	0.7681155038183718	404568	8049466	4729645	72282076	0.7602643555685291	0.7763419016147368
Mideast	Mexico	0.7935301449332349	30580	8049466	346049	72282076	0.7695390419363747	0.8141478065735559
Mideast	Mideast	4.055037904135792	3634950	8049466	8049466	72282076	4.038649252576699	4.069201814627975
Mideast	New England	1.0184987601980007	654740	8049466	5772606	72282076	1.0135074739173484	1.0336041563664657
Mideast	Plains	0.47887221150846254	216599	8049466	4061630	72282076	0.47307238141319097	0.4865301066335662
Mideast	Rocky Mountain	0.47272872242675784	325954	8049466	6191671	72282076	0.4678266367352646	0.4803472724255007
Mideast	Southeast	1.1620949011476776	1051852	8049466	8127867	72282076	1.1564047143844267	1.1657802932024777
Mideast	Southwest	0.6365952441275121	379905	8049466	5358894	72282076	0.6320554570492318	0.6431846333717912
Mideast	Western Canada	0.138981141173937	132771	8049466	8578491	72282076	0.13526543563019516	0.14085165373719863
New England	Eastern Canada	0.18295852965735257	88232	5772606	6038543	72282076	0.17863039633199868	0.18725087883015956
New England	Far West	0.33047735029476266	396608	5772606	15027214	72282076	0.32782052959559727	0.3337270530826566
New England	Great Lakes	0.4475115257420431	169034	5772606	4729645	72282076	0.4413098316149513	0.45521113082919223
New England	Mexico	0.37125171036210863	10260	5772606	346049	72282076	0.3533005053529867	0.3924452089657231
New England	Mideast	1.0184987601980007	654740	5772606	8049466	72282076	1.0135074739173484	1.0336041563664657
New England	New England	7.762791163286431	3578748	5772606	5772606	72282076	7.711098029452597	7.809313897950124
New England	Plains	0.2635256275534941	85480	5772606	4061630	72282076	0.2596095081586107	0.26756169475596414
New England	Rocky Mountain	0.3110739445586819	153820	5772606	6191671	72282076	0.3066888409506947	0.31629626067870414
New England	Southeast	0.6525525752331905	423578	5772606	8127867	72282076	0.6411207477010765	0.6610835301240618
New England	Southwest	0.3630602073424296	155380	5772606	5358894	72282076	0.359155265017089	0.3679483765740925
New England	Western Canada	0.08279992846651808	56726	5772606	8578491	72282076	0.0791325380467554	0.08596350807873743
Plains	Eastern Canada	0.14544046451327677	49350	4061630	6038543	72282076	0.140879713688928	0.15035442873199953
Plains	Far West	0.47112507291924555	397818	4061630	15027214	72282076	0.4668388377244453	0.4781932784220003
Plains	Great Lakes	1.2637353065149093	335857	4061630	4729645	72282076	1.2509488430746067	1.2777042855031835
Plains	Mexico	0.4245313221030101	8255	4061630	346049	72282076	0.3902257596798737	0.44070884267705795
Plains	Mideast	0.47887221150846254	216599	4061630	8049466	72282076	0.47307238141319097	0.4865301066335662
Plains	New England	0.2635256275534941	85480	4061630	5772606	72282076	0.2596095081586107	0.26756169475596414
Plains	Plains	9.469662595831558	2161248	4061630	4061630	72282076	9.404778432478688	9.511318021188266
Plains	Rocky Mountain	0.6847205610074031	238227	4061630	6191671	72282076	0.6788338757607137	0.6949826309507972
Plains	Southeast	0.6954560925233251	317626	4061630	8127867	72282076	0.6833054591125463	0.7049727259547156
Plains	Southwest	0.6865717130459895	206743	4061630	5358894	72282076	0.680433290861268	0.6936993428508667
Plains	Western Canada	0.09216506782825507	44427	4061630	8578491	72282076	0.08704996413393862	0.09589659369558777
Rocky Mountain	Eastern Canada	0.1302863530728962	67392	6191671	6038543	72282076	0.12765658513257389	0.13356970592057163
Rocky Mountain	Far West	0.643993548708235	828967	6191671	15027214	72282076	0.6372384485499494	0.6477958295389686
Rocky Mountain	Great Lakes	0.5944577816776059	240839	6191671	4729645	72282076	0.5868387420395749	0.6042883273041648
Rocky Mountain	Mexico	0.6041662814064266	17909	6191671	346049	72282076	0.5809390869032625	0.6231874785974674
Rocky Mountain	Mideast	0.47272872242675784	325954	6191671	8049466	72282076	0.4678266367352646	0.4803472724255007
Rocky Mountain	New England	0.3110739445586819	153820	6191671	5772606	72282076	0.3066888409506947	0.31629626067870414
Rocky Mountain	Plains	0.6847205610074031	238227	6191671	4061630	72282076	0.6788338757607137	0.6949826309507972
Rocky Mountain	Rocky Mountain	6.53097789435876	3463884	6191671	6191671	72282076	6.487881522592975	6.566952483076051
Rocky Mountain	Southeast	0.5684342652573964	395762	6191671	8127867	72282076	0.565485438888429	0.5731503838898937
Rocky Mountain	Southwest	0.8130955376461627	373245	6191671	5358894	72282076	0.8064584294657711	0.8222268868259626
Rocky Mountain	Western Canada	0.11658716752652332	85672	6191671	8578491	72282076	0.11326294408394261	0.12037824692767599
Southeast	Eastern Canada	0.19417593813566308	131848	8127867	6038543	72282076	0.1906611171466067	0.19637166173813336
Southeast	Far West	0.6372789305248973	1076847	8127867	15027214	72282076	0.6308839216488025	0.6406728097307688
Southeast	Great Lakes	1.0341817265379583	550011	8127867	4729645	72282076	1.0264784196152579	1.0375367924514203
Southeast	Mexico	0.7016087317398481	27301	8127867	346049	72282076	0.6758462684866531	0.7190031791046956
Southeast	Mideast	1.1620949011476776	1051852	8127867	8049466	72282076	1.1564047143844267	1.1657802932024777
Southeast	New England	0.6525525752331905	423578	8127867	5772606	72282076	0.6411207477010765	0.6610835301240618
Southeast	Plains	0.6954560925233251	317626	8127867	4061630	72282076	0.6833054591125463	0.7049727259547156
Southeast	Rocky Mountain	0.5684342652573964	395762	8127867	6191671	72282076	0.565485438888429	0.5731503838898937
Southeast	Southeast	3.797812814955399	3471012	8127867	8127867	72282076	3.782172958732433	3.816487319730903
Southeast	Southwest	0.9654741171108877	581784	8127867	5358894	72282076	0.9581334684933508	0.972956823278353
Southeast	Western Canada	0.10392264254347955	100246	8127867	8578491	72282076	0.10121539103332561	0.10542415042235966
Southwest	Eastern Canada	0.16009763991350734	71674	5358894	6038543	72282076	0.15635934332653947	0.1639515792247802
Southwest	Far West	0.8161371649650616	909256	5358894	15027214	72282076	0.8116528331100323	0.8216500005459166
Southwest	Great Lakes	0.7440024245955015	260884	5358894	4729645	72282076	0.7322034918713086	0.7529793228791475
Southwest	Mexico	1.3266500174677378	34036	5358894	346049	72282076	1.289922680884088	1.3600895294620188
Southwest	Mideast	0.6365952441275121	379905	5358894	8049466	72282076	0.6320554570492318	0.6431846333717912
Southwest	New England	0.3630602073424296	155380	5358894	5772606	72282076	0.359155265017089	0.3679483765740925
Southwest	Plains	0.6865717130459895	206743	5358894	4061630	72282076	0.680433290861268	0.6936993428508667
Southwest	Rocky Mountain	0.8130955376461627	373245	5358894	6191671	72282076	0.8064584294657711	0.8222268868259626
Southwest	Southeast	0.9654741171108877	581784	5358894	8127867	72282076	0.9581334684933508	0.972956823278353
Southwest	Southwest	5.815484210079117	2310498	5358894	5358894	72282076	5.781159265508436	5.862951646687567
Southwest	Western Canada	0.11869385164127556	75489	5358894	8578491	72282076	0.11429871150636411	0.12123380430988456
Western Canada	Eastern Canada	0.4698958471563783	336755	8578491	6038543	72282076	0.46003053695267504	0.4746804421000941
Western Canada	Far West	0.1823020747959186	325125	8578491	15027214	72282076	0.17906419404556242	0.1852618991093607
Western Canada	Great Lakes	0.0992521498010037	55712	8578491	4729645	72282076	0.09517279437585144	0.10280984197697626
Western Canada	Mexico	0.20107449996188498	8258	8578491	346049	72282076	0.1869621900861754	0.21335744625792336
Western Canada	Mideast	0.138981141173937	132771	8578491	8049466	72282076	0.13526543563019516	0.14085165373719863
Western Canada	New England	0.08279992846651808	56726	8578491	5772606	72282076	0.0791325380467554	0.08596350807873743
Western Canada	Plains	0.09216506782825507	44427	8578491	4061630	72282076	0.08704996413393862	0.09589659369558777
Western Canada	Rocky Mountain	0.11658716752652332	85672	8578491	6191671	72282076	0.11326294408394261	0.12037824692767599
Western Canada	Southeast	0.10392264254347955	100246	8578491	8127867	72282076	0.10121539103332561	0.10542415042235966
Western Canada	Southwest	0.11869385164127556	75489	8578491	5358894	72282076	0.11429871150636411	0.12123380430988456
Western Canada	Western Canada	7.22649776725138	7357310	8578491	8578491	72282076	7.167844906156213	7.278189019135388
