x	y	RR	N_pairs	N_x	N_y	N_total
00y	00y	0.0625	0	4	4	2054868
00y	01y	1.435049652717984e-5	0	4	17421	2054868
00y	02y	2.061175694616209e-5	0	4	12129	2054868
00y	03y	1.6313213703099512e-5	0	4	15325	2054868
00y	04y	1.856665428889714e-5	0	4	13465	2054868
00y	05y	1.4319262271607767e-5	0	4	17459	2054868
00y	06y	1.799467357662132e-5	0	4	13893	2054868
00y	07y	1.6484241065541342e-5	0	4	15166	2054868
00y	08y	1.625487646293888e-5	0	4	15380	2054868
00y	09y	1.1279552427359682e-5	0	4	22164	2054868
00y	10y	1.08771319178559e-5	0	4	22984	2054868
00y	11y	1.1237975366357997e-5	0	4	22246	2054868
00y	12y	1.4611338398597312e-5	0	4	17110	2054868
00y	13y	1.6473379019504482e-5	0	4	15176	2054868
00y	14y	1.2786415711947627e-5	0	4	19552	2054868
00y	15y	1.2970168612191959e-5	0	4	19275	2054868
00y	16y	1.2127091923356779e-5	0	4	20615	2054868
00y	17y	1.0066033177645354e-5	0	4	24836	2054868
00y	18y	1.0018835410571874e-5	0	4	24953	2054868
00y	19y	9.371017317640003e-6	0	4	26678	2054868
00y	20y	6.690395268552466e-6	0	4	37367	2054868
00y	21y	7.099449082751179e-6	0	4	35214	2054868
00y	22y	6.970972868973594e-6	0	4	35863	2054868
00y	23y	6.558753312170423e-6	0	4	38117	2054868
00y	24y	5.98071816463721e-6	0	4	41801	2054868
00y	25y	6.273840594258181e-6	0	4	39848	2054868
00y	26y	6.162644514013854e-6	0	4	40567	2054868
00y	27y	6.532532009406846e-6	0	4	38270	2054868
00y	28y	6.282196255811032e-6	0	4	39795	2054868
00y	29y	6.887431814425037e-6	0	4	36298	2054868
00y	30y	6.9479184036462675e-6	0	4	35982	2054868
00y	31y	6.759862639591164e-6	0	4	36983	2054868
00y	32y	7.137554959173186e-6	0	4	35026	2054868
00y	33y	7.259844348937159e-6	0	4	34436	2054868
00y	34y	7.587944274137251e-6	0	4	32947	2054868
00y	35y	7.958488523859548e-6	0	4	31413	2054868
00y	36y	8.727221950708651e-6	0	4	28646	2054868
00y	37y	8.574270329594951e-6	0	4	29157	2054868
00y	38y	8.35449806175645e-6	0	4	29924	2054868
00y	39y	17.30911587317632	1	4	29679	2054868
00y	40y	6.813660025619361e-6	0	4	36691	2054868
00y	41y	8.286926544683108e-6	0	4	30168	2054868
00y	42y	8.368761088608442e-6	0	4	29873	2054868
00y	43y	9.10912734560029e-6	0	4	27445	2054868
00y	44y	8.649920420732129e-6	0	4	28902	2054868
00y	45y	7.81005935645111e-6	0	4	32010	2054868
00y	46y	20.103989746800767	1	4	25553	2054868
00y	47y	20.00145031926491	1	4	25684	2054868
00y	48y	8.814611099358297e-6	0	4	28362	2054868
00y	49y	9.49162838376552e-6	0	4	26339	2054868
00y	50y	1.178967224711153e-5	0	4	21205	2054868
00y	51y	1.0167974946109733e-5	0	4	24587	2054868
00y	52y	1.000720518773517e-5	0	4	24982	2054868
00y	53y	1.169262429259623e-5	0	4	21381	2054868
00y	54y	1.220703125e-5	0	4	20480	2054868
00y	55y	1.0020441701070184e-5	0	4	24949	2054868
00y	56y	1.023122570083896e-5	0	4	24435	2054868
