x	y	RR	N_pairs	N_x	N_y	N_total	season	geo_cat
05-09y	80-84y	0.768669091467558	187	17728	7337	534658	Jun-Aug	Mideast/Mideast
05-09y	85+y	0.4963346104960724	131	17728	7960	534658	Jun-Aug	Mideast/Mideast
10-14y	00-04y	1.066022936862344	650	21614	15083	534658	Jun-Aug	Mideast/Mideast
10-14y	05-09y	1.445576020660663	1036	21614	17728	534658	Jun-Aug	Mideast/Mideast
10-14y	10-14y	1.764778277608796	1542	21614	21614	534658	Jun-Aug	Mideast/Mideast
10-14y	15-19y	1.8197841017623777	2082	21614	28301	534658	Jun-Aug	Mideast/Mideast
10-14y	20-24y	0.9559606840359767	1737	21614	44947	534658	Jun-Aug	Mideast/Mideast
10-14y	25-29y	0.8430195365874915	1913	21614	56133	534658	Jun-Aug	Mideast/Mideast
10-14y	30-34y	0.8905719650881168	2104	21614	58441	534658	Jun-Aug	Mideast/Mideast
10-14y	35-39y	0.9571799487054568	1729	21614	44683	534658	Jun-Aug	Mideast/Mideast
10-14y	40-44y	0.9613974076881924	1492	21614	38389	534658	Jun-Aug	Mideast/Mideast
10-14y	45-49y	1.0008094768039228	1514	21614	37421	534658	Jun-Aug	Mideast/Mideast
10-14y	50-54y	0.9732881087484709	1492	21614	37920	534658	Jun-Aug	Mideast/Mideast
10-14y	55-59y	0.8212410549786244	1206	21614	36326	534658	Jun-Aug	Mideast/Mideast
10-14y	60-64y	0.840241607804063	1107	21614	32590	534658	Jun-Aug	Mideast/Mideast
10-14y	65-69y	0.7895822194215117	733	21614	22964	534658	Jun-Aug	Mideast/Mideast
10-14y	70-74y	0.7728791405944223	513	21614	16419	534658	Jun-Aug	Mideast/Mideast
10-14y	75-79y	0.7134200824104282	300	21614	10402	534658	Jun-Aug	Mideast/Mideast
10-14y	80-84y	0.7484716952408156	222	21614	7337	534658	Jun-Aug	Mideast/Mideast
10-14y	85+y	0.7520439536909123	242	21614	7960	534658	Jun-Aug	Mideast/Mideast
15-19y	00-04y	0.7452526417530991	595	28301	15083	534658	Jun-Aug	Mideast/Mideast
15-19y	05-09y	1.0507307950778486	986	28301	17728	534658	Jun-Aug	Mideast/Mideast
15-19y	10-14y	1.8197841017623777	2082	28301	21614	534658	Jun-Aug	Mideast/Mideast
15-19y	15-19y	2.899761794481977	4344	28301	28301	534658	Jun-Aug	Mideast/Mideast
15-19y	20-24y	0.9524309157582844	2266	28301	44947	534658	Jun-Aug	Mideast/Mideast
15-19y	25-29y	0.8222038422450134	2443	28301	56133	534658	Jun-Aug	Mideast/Mideast
15-19y	30-34y	0.7645181406389222	2365	28301	58441	534658	Jun-Aug	Mideast/Mideast
15-19y	35-39y	0.872230346915289	2063	28301	44683	534658	Jun-Aug	Mideast/Mideast
15-19y	40-44y	0.8277391196544501	1682	28301	38389	534658	Jun-Aug	Mideast/Mideast
15-19y	45-49y	0.958702509865427	1899	28301	37421	534658	Jun-Aug	Mideast/Mideast
15-19y	50-54y	1.0053727777879655	2018	28301	37920	534658	Jun-Aug	Mideast/Mideast
15-19y	55-59y	0.8596656297792649	1653	28301	36326	534658	Jun-Aug	Mideast/Mideast
15-19y	60-64y	0.8753200480101696	1510	28301	32590	534658	Jun-Aug	Mideast/Mideast
15-19y	65-69y	0.7749570858265804	942	28301	22964	534658	Jun-Aug	Mideast/Mideast
15-19y	70-74y	0.7007205903800293	609	28301	16419	534658	Jun-Aug	Mideast/Mideast
15-19y	75-79y	0.6247638372294712	344	28301	10402	534658	Jun-Aug	Mideast/Mideast
15-19y	80-84y	0.7441382260580378	289	28301	7337	534658	Jun-Aug	Mideast/Mideast
15-19y	85+y	0.5007761991115253	211	28301	7960	534658	Jun-Aug	Mideast/Mideast
20-24y	00-04y	1.0307734333013734	1307	44947	15083	534658	Jun-Aug	Mideast/Mideast
20-24y	05-09y	1.0259426924623376	1529	44947	17728	534658	Jun-Aug	Mideast/Mideast
20-24y	10-14y	0.9559606840359767	1737	44947	21614	534658	Jun-Aug	Mideast/Mideast
20-24y	15-19y	0.9524309157582844	2266	44947	28301	534658	Jun-Aug	Mideast/Mideast
20-24y	20-24y	1.3311979337327948	5030	44947	44947	534658	Jun-Aug	Mideast/Mideast
20-24y	25-29y	1.163824873475499	5492	44947	56133	534658	Jun-Aug	Mideast/Mideast
20-24y	30-34y	1.061684076663677	5216	44947	58441	534658	Jun-Aug	Mideast/Mideast
20-24y	35-39y	0.9416035686600657	3537	44947	44683	534658	Jun-Aug	Mideast/Mideast
20-24y	40-44y	0.947248659323989	3057	44947	38389	534658	Jun-Aug	Mideast/Mideast
20-24y	45-49y	0.9371032629234913	2948	44947	37421	534658	Jun-Aug	Mideast/Mideast
20-24y	50-54y	0.9335551047276591	2976	44947	37920	534658	Jun-Aug	Mideast/Mideast
20-24y	55-59y	0.9493054989645834	2899	44947	36326	534658	Jun-Aug	Mideast/Mideast
20-24y	60-64y	0.8953411550351899	2453	44947	32590	534658	Jun-Aug	Mideast/Mideast
20-24y	65-69y	0.8842220544123641	1707	44947	22964	534658	Jun-Aug	Mideast/Mideast
20-24y	70-74y	0.8172176862186373	1128	44947	16419	534658	Jun-Aug	Mideast/Mideast
20-24y	75-79y	0.8210752391758189	718	44947	10402	534658	Jun-Aug	Mideast/Mideast
20-24y	80-84y	0.7782122799369666	480	44947	7337	534658	Jun-Aug	Mideast/Mideast
20-24y	85+y	0.6978774638314942	467	44947	7960	534658	Jun-Aug	Mideast/Mideast
25-29y	00-04y	0.9882900599969854	1565	56133	15083	534658	Jun-Aug	Mideast/Mideast
25-29y	05-09y	0.941308922357943	1752	56133	17728	534658	Jun-Aug	Mideast/Mideast
25-29y	10-14y	0.8430195365874915	1913	56133	21614	534658	Jun-Aug	Mideast/Mideast
25-29y	15-19y	0.8222038422450134	2443	56133	28301	534658	Jun-Aug	Mideast/Mideast
25-29y	20-24y	1.163824873475499	5492	56133	44947	534658	Jun-Aug	Mideast/Mideast
25-29y	25-29y	1.206449543277223	7110	56133	56133	534658	Jun-Aug	Mideast/Mideast
25-29y	30-34y	1.1206656114936515	6876	56133	58441	534658	Jun-Aug	Mideast/Mideast
25-29y	35-39y	1.0035798815067756	4708	56133	44683	534658	Jun-Aug	Mideast/Mideast
25-29y	40-44y	0.9743431095101085	3927	56133	38389	534658	Jun-Aug	Mideast/Mideast
25-29y	45-49y	0.9768938997674694	3838	56133	37421	534658	Jun-Aug	Mideast/Mideast
25-29y	50-54y	0.9311337610358942	3707	56133	37920	534658	Jun-Aug	Mideast/Mideast
25-29y	55-59y	0.981431662134801	3743	56133	36326	534658	Jun-Aug	Mideast/Mideast
25-29y	60-64y	0.9323181497115788	3190	56133	32590	534658	Jun-Aug	Mideast/Mideast
25-29y	65-69y	0.9303354111895017	2243	56133	22964	534658	Jun-Aug	Mideast/Mideast
25-29y	70-74y	0.8475421965642194	1461	56133	16419	534658	Jun-Aug	Mideast/Mideast
25-29y	75-79y	0.7719133325142141	843	56133	10402	534658	Jun-Aug	Mideast/Mideast
25-29y	80-84y	0.9022442078186933	695	56133	7337	534658	Jun-Aug	Mideast/Mideast
25-29y	85+y	0.7502608597294992	627	56133	7960	534658	Jun-Aug	Mideast/Mideast
30-34y	00-04y	1.0359971641457233	1708	58441	15083	534658	Jun-Aug	Mideast/Mideast
30-34y	05-09y	1.0119901417360235	1961	58441	17728	534658	Jun-Aug	Mideast/Mideast
30-34y	10-14y	0.8905719650881168	2104	58441	21614	534658	Jun-Aug	Mideast/Mideast
30-34y	15-19y	0.7645181406389222	2365	58441	28301	534658	Jun-Aug	Mideast/Mideast
30-34y	20-24y	1.061684076663677	5216	58441	44947	534658	Jun-Aug	Mideast/Mideast
30-34y	25-29y	1.1206656114936515	6876	58441	56133	534658	Jun-Aug	Mideast/Mideast
30-34y	30-34y	1.1703347083224283	7476	58441	58441	534658	Jun-Aug	Mideast/Mideast
30-34y	35-39y	1.0257790690324886	5010	58441	44683	534658	Jun-Aug	Mideast/Mideast
30-34y	40-44y	1.0335727576212947	4337	58441	38389	534658	Jun-Aug	Mideast/Mideast
30-34y	45-49y	0.9889209286682943	4045	58441	37421	534658	Jun-Aug	Mideast/Mideast
30-34y	50-54y	0.9903831978799058	4105	58441	37920	534658	Jun-Aug	Mideast/Mideast
30-34y	55-59y	0.9404055121298932	3734	58441	36326	534658	Jun-Aug	Mideast/Mideast
30-34y	60-64y	0.9148679870413624	3259	58441	32590	534658	Jun-Aug	Mideast/Mideast
30-34y	65-69y	0.9386121659743804	2356	58441	22964	534658	Jun-Aug	Mideast/Mideast
30-34y	70-74y	0.8937500774001448	1604	58441	16419	534658	Jun-Aug	Mideast/Mideast
30-34y	75-79y	0.85400578409774075	971	58441	10402	534658	Jun-Aug	Mideast/Mideast
30-34y	80-84y	0.8666120380809142	695	58441	7337	534658	Jun-Aug	Mideast/Mideast
30-34y	85+y	0.7114362881466417	619	58441	7960	534658	Jun-Aug	Mideast/Mideast
35-39y	00-04y	1.0701827956015535	1349	44683	15083	534658	Jun-Aug	Mideast/Mideast
35-39y	05-09y	0.9834075879474592	1457	44683	17728	534658	Jun-Aug	Mideast/Mideast
35-39y	10-14y	0.9571799487054568	1729	44683	21614	534658	Jun-Aug	Mideast/Mideast
35-39y	15-19y	0.872230346915289	2063	44683	28301	534658	Jun-Aug	Mideast/Mideast
35-39y	20-24y	0.9416035686600657	3537	44683	44947	534658	Jun-Aug	Mideast/Mideast
35-39y	25-29y	1.0035798815067756	4708	44683	56133	534658	Jun-Aug	Mideast/Mideast
35-39y	30-34y	1.0257790690324886	5010	44683	58441	534658	Jun-Aug	Mideast/Mideast
35-39y	35-39y	1.1198902164079818	4182	44683	44683	534658	Jun-Aug	Mideast/Mideast
35-39y	40-44y	1.0581974856330265	3395	44683	38389	534658	Jun-Aug	Mideast/Mideast
35-39y	45-49y	1.010747911982716	3161	44683	37421	534658	Jun-Aug	Mideast/Mideast
35-39y	50-54y	1.0135401419195758	3212	44683	37920	534658	Jun-Aug	Mideast/Mideast
35-39y	55-59y	0.9733603530711736	2955	44683	36326	534658	Jun-Aug	Mideast/Mideast
35-39y	60-64y	1.0342754888023469	2817	44683	32590	534658	Jun-Aug	Mideast/Mideast
35-39y	65-69y	0.9931368675836766	1906	44683	22964	534658	Jun-Aug	Mideast/Mideast
35-39y	70-74y	0.9736290011145189	1336	44683	16419	534658	Jun-Aug	Mideast/Mideast
35-39y	75-79y	0.9122000350582199	793	44683	10402	534658	Jun-Aug	Mideast/Mideast
35-39y	80-84y	0.923063671973475	566	44683	7337	534658	Jun-Aug	Mideast/Mideast
35-39y	85+y	0.7621292658264804	507	44683	7960	534658	Jun-Aug	Mideast/Mideast
40-44y	00-04y	1.0027931650119108	1086	38389	15083	534658	Jun-Aug	Mideast/Mideast
40-44y	05-09y	1.0126571772802133	1289	38389	17728	534658	Jun-Aug	Mideast/Mideast
40-44y	10-14y	0.9613974076881924	1492	38389	21614	534658	Jun-Aug	Mideast/Mideast
40-44y	15-19y	0.8277391196544501	1682	38389	28301	534658	Jun-Aug	Mideast/Mideast
40-44y	20-24y	0.947248659323989	3057	38389	44947	534658	Jun-Aug	Mideast/Mideast
40-44y	25-29y	0.9743431095101085	3927	38389	56133	534658	Jun-Aug	Mideast/Mideast
40-44y	30-34y	1.0335727576212947	4337	38389	58441	534658	Jun-Aug	Mideast/Mideast
40-44y	35-39y	1.0581974856330265	3395	38389	44683	534658	Jun-Aug	Mideast/Mideast
40-44y	40-44y	1.171105436990975	3228	38389	38389	534658	Jun-Aug	Mideast/Mideast
40-44y	45-49y	1.026474449022556	2758	38389	37421	534658	Jun-Aug	Mideast/Mideast
40-44y	50-54y	1.0636518489165925	2896	38389	37920	534658	Jun-Aug	Mideast/Mideast
40-44y	55-59y	0.966933872431785	2522	38389	36326	534658	Jun-Aug	Mideast/Mideast
40-44y	60-64y	0.9773521545894532	2287	38389	32590	534658	Jun-Aug	Mideast/Mideast
40-44y	65-69y	0.9685602659749889	1597	38389	22964	534658	Jun-Aug	Mideast/Mideast
40-44y	70-74y	1.002628498123391	1182	38389	16419	534658	Jun-Aug	Mideast/Mideast
40-44y	75-79y	0.9586618483975872	716	38389	10402	534658	Jun-Aug	Mideast/Mideast
40-44y	80-84y	0.8845790908689362	466	38389	7337	534658	Jun-Aug	Mideast/Mideast
40-44y	85+y	0.8258443517438714	472	38389	7960	534658	Jun-Aug	Mideast/Mideast
45-49y	00-04y	1.0041042736431558	1060	37421	15083	534658	Jun-Aug	Mideast/Mideast
45-49y	05-09y	0.9356925204621201	1161	37421	17728	534658	Jun-Aug	Mideast/Mideast
45-49y	10-14y	1.0008094768039228	1514	37421	21614	534658	Jun-Aug	Mideast/Mideast
45-49y	15-19y	0.958702509865427	1899	37421	28301	534658	Jun-Aug	Mideast/Mideast
45-49y	20-24y	0.9371032629234913	2948	37421	44947	534658	Jun-Aug	Mideast/Mideast
45-49y	25-29y	0.9768938997674694	3838	37421	56133	534658	Jun-Aug	Mideast/Mideast
45-49y	30-34y	0.9889209286682943	4045	37421	58441	534658	Jun-Aug	Mideast/Mideast
45-49y	35-39y	1.010747911982716	3161	37421	44683	534658	Jun-Aug	Mideast/Mideast
45-49y	40-44y	1.026474449022556	2758	37421	38389	534658	Jun-Aug	Mideast/Mideast
45-49y	45-49y	1.1171708972820096	2926	37421	37421	534658	Jun-Aug	Mideast/Mideast
45-49y	50-54y	1.0120415905428675	2686	37421	37920	534658	Jun-Aug	Mideast/Mideast
45-49y	55-59y	1.0576303488220031	2689	37421	36326	534658	Jun-Aug	Mideast/Mideast
45-49y	60-64y	1.0210471770666236	2329	37421	32590	534658	Jun-Aug	Mideast/Mideast
45-49y	65-69y	0.9967256957571992	1602	37421	22964	534658	Jun-Aug	Mideast/Mideast
45-49y	70-74y	0.9798336922867391	1126	37421	16419	534658	Jun-Aug	Mideast/Mideast
45-49y	75-79y	1.0452700070254006	761	37421	10402	534658	Jun-Aug	Mideast/Mideast
45-49y	80-84y	0.9074612308427779	466	37421	7337	534658	Jun-Aug	Mideast/Mideast
45-49y	85+y	0.811308543599857	452	37421	7960	534658	Jun-Aug	Mideast/Mideast
50-54y	00-04y	0.9282591932935926	993	37920	15083	534658	Jun-Aug	Mideast/Mideast
50-54y	05-09y	0.9750760034544509	1226	37920	17728	534658	Jun-Aug	Mideast/Mideast
50-54y	10-14y	0.9732881087484709	1492	37920	21614	534658	Jun-Aug	Mideast/Mideast
50-54y	15-19y	1.0053727777879655	2018	37920	28301	534658	Jun-Aug	Mideast/Mideast
50-54y	20-24y	0.9335551047276591	2976	37920	44947	534658	Jun-Aug	Mideast/Mideast
50-54y	25-29y	0.9311337610358942	3707	37920	56133	534658	Jun-Aug	Mideast/Mideast
50-54y	30-34y	0.9903831978799058	4105	37920	58441	534658	Jun-Aug	Mideast/Mideast
50-54y	35-39y	1.0135401419195758	3212	37920	44683	534658	Jun-Aug	Mideast/Mideast
50-54y	40-44y	1.0636518489165925	2896	37920	38389	534658	Jun-Aug	Mideast/Mideast
50-54y	45-49y	1.0120415905428675	2686	37920	37421	534658	Jun-Aug	Mideast/Mideast
50-54y	50-54y	1.114733469668545	2998	37920	37920	534658	Jun-Aug	Mideast/Mideast
50-54y	55-59y	1.088737114604016	2805	37920	36326	534658	Jun-Aug	Mideast/Mideast
50-54y	60-64y	1.0599599720928607	2450	37920	32590	534658	Jun-Aug	Mideast/Mideast
50-54y	65-69y	0.9799255698425787	1596	37920	22964	534658	Jun-Aug	Mideast/Mideast
50-54y	70-74y	0.9909844674778603	1154	37920	16419	534658	Jun-Aug	Mideast/Mideast
50-54y	75-79y	0.9461202005334904	698	37920	10402	534658	Jun-Aug	Mideast/Mideast
50-54y	80-84y	0.9089717044527219	473	37920	7337	534658	Jun-Aug	Mideast/Mideast
50-54y	85+y	0.7705200282795835	435	37920	7960	534658	Jun-Aug	Mideast/Mideast
55-59y	00-04y	0.887998338208442	910	36326	15083	534658	Jun-Aug	Mideast/Mideast
55-59y	05-09y	0.8559677730180429	1031	36326	17728	534658	Jun-Aug	Mideast/Mideast
55-59y	10-14y	0.8212410549786244	1206	36326	21614	534658	Jun-Aug	Mideast/Mideast
55-59y	15-19y	0.8596656297792649	1653	36326	28301	534658	Jun-Aug	Mideast/Mideast
55-59y	20-24y	0.9493054989645834	2899	36326	44947	534658	Jun-Aug	Mideast/Mideast
55-59y	25-29y	0.981431662134801	3743	36326	56133	534658	Jun-Aug	Mideast/Mideast
55-59y	30-34y	0.9404055121298932	3734	36326	58441	534658	Jun-Aug	Mideast/Mideast
55-59y	35-39y	0.9733603530711736	2955	36326	44683	534658	Jun-Aug	Mideast/Mideast
55-59y	40-44y	0.966933872431785	2522	36326	38389	534658	Jun-Aug	Mideast/Mideast
55-59y	45-49y	1.0576303488220031	2689	36326	37421	534658	Jun-Aug	Mideast/Mideast
55-59y	50-54y	1.088737114604016	2805	36326	37920	534658	Jun-Aug	Mideast/Mideast
55-59y	55-59y	1.214709816123102	2998	36326	36326	534658	Jun-Aug	Mideast/Mideast
55-59y	60-64y	1.146214105072208	2538	36326	32590	534658	Jun-Aug	Mideast/Mideast
55-59y	65-69y	1.0934274689640828	1706	36326	22964	534658	Jun-Aug	Mideast/Mideast
55-59y	70-74y	1.0685332580381546	1192	36326	16419	534658	Jun-Aug	Mideast/Mideast
55-59y	75-79y	1.0781932629920112	762	36326	10402	534658	Jun-Aug	Mideast/Mideast
55-59y	80-84y	0.9869725548251286	492	36326	7337	534658	Jun-Aug	Mideast/Mideast
55-59y	85+y	0.9078767972716083	491	36326	7960	534658	Jun-Aug	Mideast/Mideast
60-64y	00-04y	0.9593400245754814	882	32590	15083	534658	Jun-Aug	Mideast/Mideast
60-64y	05-09y	0.8402679822081146	908	32590	17728	534658	Jun-Aug	Mideast/Mideast
60-64y	10-14y	0.840241607804063	1107	32590	21614	534658	Jun-Aug	Mideast/Mideast
60-64y	15-19y	0.8753200480101696	1510	32590	28301	534658	Jun-Aug	Mideast/Mideast
60-64y	20-24y	0.8953411550351899	2453	32590	44947	534658	Jun-Aug	Mideast/Mideast
60-64y	25-29y	0.9323181497115788	3190	32590	56133	534658	Jun-Aug	Mideast/Mideast
60-64y	30-34y	0.9148679870413624	3259	32590	58441	534658	Jun-Aug	Mideast/Mideast
60-64y	35-39y	1.0342754888023469	2817	32590	44683	534658	Jun-Aug	Mideast/Mideast
60-64y	40-44y	0.9773521545894532	2287	32590	38389	534658	Jun-Aug	Mideast/Mideast
60-64y	45-49y	1.0210471770666236	2329	32590	37421	534658	Jun-Aug	Mideast/Mideast
60-64y	50-54y	1.0599599720928607	2450	32590	37920	534658	Jun-Aug	Mideast/Mideast
60-64y	55-59y	1.146214105072208	2538	32590	36326	534658	Jun-Aug	Mideast/Mideast
60-64y	60-64y	1.258483012228228	2500	32590	32590	534658	Jun-Aug	Mideast/Mideast
60-64y	65-69y	1.1194718253456897	1567	32590	22964	534658	Jun-Aug	Mideast/Mideast
60-64y	70-74y	1.1360709937956648	1137	32590	16419	534658	Jun-Aug	Mideast/Mideast
60-64y	75-79y	1.145015804959735	726	32590	10402	534658	Jun-Aug	Mideast/Mideast
60-64y	80-84y	1.0173832621193937	455	32590	7337	534658	Jun-Aug	Mideast/Mideast
60-64y	85+y	0.9789764679488266	475	32590	7960	534658	Jun-Aug	Mideast/Mideast
65-69y	00-04y	0.9493271845622081	615	22964	15083	534658	Jun-Aug	Mideast/Mideast
65-69y	05-09y	0.8746675581564803	666	22964	17728	534658	Jun-Aug	Mideast/Mideast
65-69y	10-14y	0.7895822194215117	733	22964	21614	534658	Jun-Aug	Mideast/Mideast
65-69y	15-19y	0.7749570858265804	942	22964	28301	534658	Jun-Aug	Mideast/Mideast
65-69y	20-24y	0.8842220544123641	1707	22964	44947	534658	Jun-Aug	Mideast/Mideast
65-69y	25-29y	0.9303354111895017	2243	22964	56133	534658	Jun-Aug	Mideast/Mideast
65-69y	30-34y	0.9386121659743804	2356	22964	58441	534658	Jun-Aug	Mideast/Mideast
65-69y	35-39y	0.9931368675836766	1906	22964	44683	534658	Jun-Aug	Mideast/Mideast
65-69y	40-44y	0.9685602659749889	1597	22964	38389	534658	Jun-Aug	Mideast/Mideast
65-69y	45-49y	0.9967256957571992	1602	22964	37421	534658	Jun-Aug	Mideast/Mideast
65-69y	50-54y	0.9799255698425787	1596	22964	37920	534658	Jun-Aug	Mideast/Mideast
65-69y	55-59y	1.0934274689640828	1706	22964	36326	534658	Jun-Aug	Mideast/Mideast
65-69y	60-64y	1.1194718253456897	1567	22964	32590	534658	Jun-Aug	Mideast/Mideast
65-69y	65-69y	1.4173860858711442	1398	22964	22964	534658	Jun-Aug	Mideast/Mideast
65-69y	70-74y	1.2818885246856777	904	22964	16419	534658	Jun-Aug	Mideast/Mideast
65-69y	75-79y	1.2511906525753878	559	22964	10402	534658	Jun-Aug	Mideast/Mideast
65-69y	80-84y	1.2153707729910441	383	22964	7337	534658	Jun-Aug	Mideast/Mideast
65-69y	85+y	1.4156660818900284	484	22964	7960	534658	Jun-Aug	Mideast/Mideast
70-74y	00-04y	0.9477769832757271	439	16419	15083	534658	Jun-Aug	Mideast/Mideast
70-74y	05-09y	0.8651482475891384	471	16419	17728	534658	Jun-Aug	Mideast/Mideast
70-74y	10-14y	0.7728791405944223	513	16419	21614	534658	Jun-Aug	Mideast/Mideast
70-74y	15-19y	0.7007205903800293	609	16419	28301	534658	Jun-Aug	Mideast/Mideast
70-74y	20-24y	0.8172176862186373	1128	16419	44947	534658	Jun-Aug	Mideast/Mideast
70-74y	25-29y	0.8475421965642194	1461	16419	56133	534658	Jun-Aug	Mideast/Mideast
70-74y	30-34y	0.8937500774001448	1604	16419	58441	534658	Jun-Aug	Mideast/Mideast
70-74y	35-39y	0.9736290011145189	1336	16419	44683	534658	Jun-Aug	Mideast/Mideast
70-74y	40-44y	1.002628498123391	1182	16419	38389	534658	Jun-Aug	Mideast/Mideast
70-74y	45-49y	0.9798336922867391	1126	16419	37421	534658	Jun-Aug	Mideast/Mideast
70-74y	50-54y	0.9909844674778603	1154	16419	37920	534658	Jun-Aug	Mideast/Mideast
70-74y	55-59y	1.0685332580381546	1192	16419	36326	534658	Jun-Aug	Mideast/Mideast
70-74y	60-64y	1.1360709937956648	1137	16419	32590	534658	Jun-Aug	Mideast/Mideast
70-74y	65-69y	1.2818885246856777	904	16419	22964	534658	Jun-Aug	Mideast/Mideast
70-74y	70-74y	1.749247451331055	882	16419	16419	534658	Jun-Aug	Mideast/Mideast
70-74y	75-79y	1.659160456043798	530	16419	10402	534658	Jun-Aug	Mideast/Mideast
70-74y	80-84y	1.4113605373616698	318	16419	7337	534658	Jun-Aug	Mideast/Mideast
70-74y	85+y	1.7713492473023502	433	16419	7960	534658	Jun-Aug	Mideast/Mideast
75-79y	00-04y	1.06322721765049	312	10402	15083	534658	Jun-Aug	Mideast/Mideast
75-79y	05-09y	0.7045401604159017	243	10402	17728	534658	Jun-Aug	Mideast/Mideast
75-79y	10-14y	0.7134200824104282	300	10402	21614	534658	Jun-Aug	Mideast/Mideast
75-79y	15-19y	0.6247638372294712	344	10402	28301	534658	Jun-Aug	Mideast/Mideast
75-79y	20-24y	0.8210752391758189	718	10402	44947	534658	Jun-Aug	Mideast/Mideast
75-79y	25-29y	0.7719133325142141	843	10402	56133	534658	Jun-Aug	Mideast/Mideast
75-79y	30-34y	0.85400578409774075	971	10402	58441	534658	Jun-Aug	Mideast/Mideast
75-79y	35-39y	0.9122000350582199	793	10402	44683	534658	Jun-Aug	Mideast/Mideast
75-79y	40-44y	0.9586618483975872	716	10402	38389	534658	Jun-Aug	Mideast/Mideast
75-79y	45-49y	1.0452700070254006	761	10402	37421	534658	Jun-Aug	Mideast/Mideast
75-79y	50-54y	0.9461202005334904	698	10402	37920	534658	Jun-Aug	Mideast/Mideast
75-79y	55-59y	1.0781932629920112	762	10402	36326	534658	Jun-Aug	Mideast/Mideast
75-79y	60-64y	1.145015804959735	726	10402	32590	534658	Jun-Aug	Mideast/Mideast
75-79y	65-69y	1.2511906525753878	559	10402	22964	534658	Jun-Aug	Mideast/Mideast
75-79y	70-74y	1.659160456043798	530	10402	16419	534658	Jun-Aug	Mideast/Mideast
75-79y	75-79y	2.609013310006014	528	10402	10402	534658	Jun-Aug	Mideast/Mideast
75-79y	80-84y	1.8914918229127209	270	10402	7337	534658	Jun-Aug	Mideast/Mideast
