x	y	RR	N_pairs	N_x	N_y	N_total	season	geo_cat
00-04y	00-04y	1.3913049026353939	592	15083	15083	534658	Jun-Aug	Mideast/Mideast
00-04y	05-09y	1.2717030483371075	636	15083	17728	534658	Jun-Aug	Mideast/Mideast
00-04y	10-14y	1.066022936862344	650	15083	21614	534658	Jun-Aug	Mideast/Mideast
00-04y	15-19y	0.7452526417530991	595	15083	28301	534658	Jun-Aug	Mideast/Mideast
00-04y	20-24y	1.0307734333013734	1307	15083	44947	534658	Jun-Aug	Mideast/Mideast
00-04y	25-29y	0.9882900599969854	1565	15083	56133	534658	Jun-Aug	Mideast/Mideast
00-04y	30-34y	1.0359971641457233	1708	15083	58441	534658	Jun-Aug	Mideast/Mideast
00-04y	35-39y	1.0701827956015535	1349	15083	44683	534658	Jun-Aug	Mideast/Mideast
00-04y	40-44y	1.0027931650119108	1086	15083	38389	534658	Jun-Aug	Mideast/Mideast
00-04y	45-49y	1.0041042736431558	1060	15083	37421	534658	Jun-Aug	Mideast/Mideast
00-04y	50-54y	0.9282591932935926	993	15083	37920	534658	Jun-Aug	Mideast/Mideast
00-04y	55-59y	0.887998338208442	910	15083	36326	534658	Jun-Aug	Mideast/Mideast
00-04y	60-64y	0.9593400245754814	882	15083	32590	534658	Jun-Aug	Mideast/Mideast
00-04y	65-69y	0.9493271845622081	615	15083	22964	534658	Jun-Aug	Mideast/Mideast
00-04y	70-74y	0.9477769832757271	439	15083	16419	534658	Jun-Aug	Mideast/Mideast
00-04y	75-79y	1.06322721765049	312	15083	10402	534658	Jun-Aug	Mideast/Mideast
00-04y	80-84y	0.8309947326939858	172	15083	7337	534658	Jun-Aug	Mideast/Mideast
00-04y	85+y	0.9440850826432101	212	15083	7960	534658	Jun-Aug	Mideast/Mideast
05-09y	00-04y	1.2717030483371075	636	17728	15083	534658	Jun-Aug	Mideast/Mideast
05-09y	05-09y	1.7998746151481595	1058	17728	17728	534658	Jun-Aug	Mideast/Mideast
05-09y	10-14y	1.445576020660663	1036	17728	21614	534658	Jun-Aug	Mideast/Mideast
05-09y	15-19y	1.0507307950778486	986	17728	28301	534658	Jun-Aug	Mideast/Mideast
05-09y	20-24y	1.0259426924623376	1529	17728	44947	534658	Jun-Aug	Mideast/Mideast
05-09y	25-29y	0.941308922357943	1752	17728	56133	534658	Jun-Aug	Mideast/Mideast
05-09y	30-34y	1.0119901417360235	1961	17728	58441	534658	Jun-Aug	Mideast/Mideast
05-09y	35-39y	0.9834075879474592	1457	17728	44683	534658	Jun-Aug	Mideast/Mideast
05-09y	40-44y	1.0126571772802133	1289	17728	38389	534658	Jun-Aug	Mideast/Mideast
05-09y	45-49y	0.9356925204621201	1161	17728	37421	534658	Jun-Aug	Mideast/Mideast
05-09y	50-54y	0.9750760034544509	1226	17728	37920	534658	Jun-Aug	Mideast/Mideast
05-09y	55-59y	0.8559677730180429	1031	17728	36326	534658	Jun-Aug	Mideast/Mideast
05-09y	60-64y	0.8402679822081146	908	17728	32590	534658	Jun-Aug	Mideast/Mideast
05-09y	65-69y	0.8746675581564803	666	17728	22964	534658	Jun-Aug	Mideast/Mideast
05-09y	70-74y	0.8651482475891384	471	17728	16419	534658	Jun-Aug	Mideast/Mideast
05-09y	75-79y	0.7045401604159017	243	17728	10402	534658	Jun-Aug	Mideast/Mideast
