x	y	RR	N_pairs	N_x	N_y	N_total	nRR_fixed	season_date	season	geo_cat
20-29y	20-29y	1.1824966458687336	14962	64783	64783	331690	1.064853554352113	2021-04-15	Mar-May	Mideast/Mideast
20-29y	30-39y	0.9766900598063294	10978	64783	57549	331690	0.8795220564207835	2021-04-15	Mar-May	Mideast/Mideast
20-29y	40-49y	0.9759051128314353	8469	64783	44432	331690	0.8788152014972502	2021-04-15	Mar-May	Mideast/Mideast
20-29y	50-59y	0.9474651018918836	8747	64783	47268	331690	0.853204603073484	2021-04-15	Mar-May	Mideast/Mideast
20-29y	60-69y	0.9012017119280467	5118	64783	29077	331690	0.8115438208535247	2021-04-15	Mar-May	Mideast/Mideast
20-29y	70-79y	0.8633874639685323	2219	64783	13159	331690	0.7774916005064144	2021-04-15	Mar-May	Mideast/Mideast
20-29y	80-89y	0.8978468316265142	1059	64783	6039	331690	0.8085227076639071	2021-04-15	Mar-May	Mideast/Mideast
20-29y	90+y	0.8169378027347539	202	64783	1266	331690	0.7356630785938617	2021-04-15	Mar-May	Mideast/Mideast
30-39y	00-09y	1.0395541266936508	4209	57549	23336	331690	0.9361319633493687	2021-04-15	Mar-May	Mideast/Mideast
30-39y	10-19y	0.9405878146366675	7308	57549	44781	331690	0.8470115167728991	2021-04-15	Mar-May	Mideast/Mideast
30-39y	20-29y	0.9766900598063294	10978	57549	64783	331690	0.8795220564207835	2021-04-15	Mar-May	Mideast/Mideast
30-39y	30-39y	1.1104781883253403	11088	57549	57549	331690	1	2021-04-15	Mar-May	Mideast/Mideast
30-39y	40-49y	0.9915609455931506	7644	57549	44432	331690	0.8929134817933496	2021-04-15	Mar-May	Mideast/Mideast
30-39y	50-59y	0.9815744616190607	8050	57549	47268	331690	0.8839205235533053	2021-04-15	Mar-May	Mideast/Mideast
30-39y	60-69y	0.9797958848560993	4943	57549	29077	331690	0.8823188921285191	2021-04-15	Mar-May	Mideast/Mideast
30-39y	70-79y	0.9416947959846325	2150	57549	13159	331690	0.8480083678228367	2021-04-15	Mar-May	Mideast/Mideast
30-39y	80-89y	0.9400821338277915	985	57549	6039	331690	0.8465561446510579	2021-04-15	Mar-May	Mideast/Mideast
30-39y	90+y	0.8832072549096632	194	57549	1266	331690	0.7953395791065346	2021-04-15	Mar-May	Mideast/Mideast
40-49y	00-09y	1.036146222995061	3239	44432	23336	331690	0.933063101903536	2021-04-15	Mar-May	Mideast/Mideast
40-49y	10-19y	0.989880848388738	5938	44432	44781	331690	0.8914005324872978	2021-04-15	Mar-May	Mideast/Mideast
40-49y	20-29y	0.9759051128314353	8469	44432	64783	331690	0.8788152014972502	2021-04-15	Mar-May	Mideast/Mideast
40-49y	30-39y	0.9915609455931506	7644	44432	57549	331690	0.8929134817933496	2021-04-15	Mar-May	Mideast/Mideast
40-49y	40-49y	1.0635168221719475	6330	44432	44432	331690	0.9577106811758158	2021-04-15	Mar-May	Mideast/Mideast
40-49y	50-59y	0.9817033998956113	6216	44432	47268	331690	0.8840366341423345	2021-04-15	Mar-May	Mideast/Mideast
40-49y	60-69y	1.014364284664355	3951	44432	29077	331690	0.9134481841503523	2021-04-15	Mar-May	Mideast/Mideast
40-49y	70-79y	0.9939115365479627	1752	44432	13159	331690	0.8950302194110032	2021-04-15	Mar-May	Mideast/Mideast
40-49y	80-89y	0.9357662284038637	757	44432	6039	331690	0.8426696158841702	2021-04-15	Mar-May	Mideast/Mideast
40-49y	90+y	0.8019397267727855	136	44432	1266	331690	0.7221571168202348	2021-04-15	Mar-May	Mideast/Mideast
50-59y	00-09y	0.9303771704370405	3094	47268	23336	331690	0.8378166993447196	2021-04-15	Mar-May	Mideast/Mideast
50-59y	10-19y	0.9905061000025139	6321	47268	44781	331690	0.8919635796685474	2021-04-15	Mar-May	Mideast/Mideast
50-59y	20-29y	0.9474651018918836	8747	47268	64783	331690	0.853204603073484	2021-04-15	Mar-May	Mideast/Mideast
50-59y	30-39y	0.9815744616190607	8050	47268	57549	331690	0.8839205235533053	2021-04-15	Mar-May	Mideast/Mideast
50-59y	40-49y	0.9817033998956113	6216	47268	44432	331690	0.8840366341423345	2021-04-15	Mar-May	Mideast/Mideast
50-59y	50-59y	1.096496445354432	7386	47268	47268	331690	0.9874092592561466	2021-04-15	Mar-May	Mideast/Mideast
50-59y	60-69y	1.0485890931441444	4345	47268	29077	331690	0.9442680677280767	2021-04-15	Mar-May	Mideast/Mideast
50-59y	70-79y	1.0825259180386755	2030	47268	13159	331690	0.9748286183551085	2021-04-15	Mar-May	Mideast/Mideast
50-59y	80-89y	1.0608913315319202	913	47268	6039	331690	0.955346392829021	2021-04-15	Mar-May	Mideast/Mideast
50-59y	90+y	0.9201095571338638	166	47268	1266	331690	0.8285705805004937	2021-04-15	Mar-May	Mideast/Mideast
60-69y	00-09y	0.971790717715233	1988	29077	23336	331690	0.8751101353739731	2021-04-15	Mar-May	Mideast/Mideast
60-69y	10-19y	0.8803649193493311	3456	29077	44781	331690	0.7927800190987703	2021-04-15	Mar-May	Mideast/Mideast
60-69y	20-29y	0.9012017119280467	5118	29077	64783	331690	0.8115438208535247	2021-04-15	Mar-May	Mideast/Mideast
60-69y	30-39y	0.9797958848560993	4943	29077	57549	331690	0.8823188921285191	2021-04-15	Mar-May	Mideast/Mideast
60-69y	40-49y	1.014364284664355	3951	29077	44432	331690	0.9134481841503523	2021-04-15	Mar-May	Mideast/Mideast
60-69y	50-59y	1.0485890931441444	4345	29077	47268	331690	0.9442680677280767	2021-04-15	Mar-May	Mideast/Mideast
60-69y	60-69y	1.224017930700571	3120	29077	29077	331690	1.102244009444665	2021-04-15	Mar-May	Mideast/Mideast
60-69y	70-79y	1.193696268221039	1377	29077	13159	331690	1.0749389594235939	2021-04-15	Mar-May	Mideast/Mideast
60-69y	80-89y	1.208920461589322	640	29077	6039	331690	1.0886485428520103	2021-04-15	Mar-May	Mideast/Mideast
60-69y	90+y	1.2524600612385015	139	29077	1266	331690	1.1278565165942407	2021-04-15	Mar-May	Mideast/Mideast
70-79y	00-09y	0.947289383639666	877	13159	23336	331690	0.8530463665101143	2021-04-15	Mar-May	Mideast/Mideast
70-79y	10-19y	0.8122356286641718	1443	13159	44781	331690	0.7314287099047537	2021-04-15	Mar-May	Mideast/Mideast
70-79y	20-29y	0.8633874639685323	2219	13159	64783	331690	0.7774916005064144	2021-04-15	Mar-May	Mideast/Mideast
70-79y	30-39y	0.9416947959846325	2150	13159	57549	331690	0.8480083678228367	2021-04-15	Mar-May	Mideast/Mideast
70-79y	40-49y	0.9939115365479627	1752	13159	44432	331690	0.8950302194110032	2021-04-15	Mar-May	Mideast/Mideast
70-79y	50-59y	1.0825259180386755	2030	13159	47268	331690	0.9748286183551085	2021-04-15	Mar-May	Mideast/Mideast
70-79y	60-69y	1.193696268221039	1377	13159	29077	331690	1.0749389594235939	2021-04-15	Mar-May	Mideast/Mideast
70-79y	70-79y	1.677995192183779	876	13159	13159	331690	1.5110564167985003	2021-04-15	Mar-May	Mideast/Mideast
70-79y	80-89y	1.4233078499895826	341	13159	6039	331690	1.2817071644928082	2021-04-15	Mar-May	Mideast/Mideast
70-79y	90+y	1.8715595630883277	94	13159	1266	331690	1.685363641325309	2021-04-15	Mar-May	Mideast/Mideast
80-89y	00-09y	0.875555894172736	372	6039	23336	331690	0.7884494296039444	2021-04-15	Mar-May	Mideast/Mideast
80-89y	10-19y	0.8377110936967814	683	6039	44781	331690	0.7543696963198295	2021-04-15	Mar-May	Mideast/Mideast
80-89y	20-29y	0.8978468316265142	1059	6039	64783	331690	0.8085227076639071	2021-04-15	Mar-May	Mideast/Mideast
80-89y	30-39y	0.9400821338277915	985	6039	57549	331690	0.8465561446510579	2021-04-15	Mar-May	Mideast/Mideast
80-89y	40-49y	0.9357662284038637	757	6039	44432	331690	0.8426696158841702	2021-04-15	Mar-May	Mideast/Mideast
80-89y	50-59y	1.0608913315319202	913	6039	47268	331690	0.955346392829021	2021-04-15	Mar-May	Mideast/Mideast
80-89y	60-69y	1.208920461589322	640	6039	29077	331690	1.0886485428520103	2021-04-15	Mar-May	Mideast/Mideast
80-89y	70-79y	1.4233078499895826	341	6039	13159	331690	1.2817071644928082	2021-04-15	Mar-May	Mideast/Mideast
80-89y	80-89y	2.200988079881828	242	6039	6039	331690	1.9820182899774323	2021-04-15	Mar-May	Mideast/Mideast
80-89y	90+y	2.0390671535493228	47	6039	1266	331690	1.83620639737584	2021-04-15	Mar-May	Mideast/Mideast
90+y	00-09y	0.6848604912316046	61	1266	23336	331690	0.616725747909025	2021-04-15	Mar-May	Mideast/Mideast
90+y	10-19y	0.7898391621390151	135	1266	44781	331690	0.7112604015483944	2021-04-15	Mar-May	Mideast/Mideast
90+y	20-29y	0.8169378027347539	202	1266	64783	331690	0.7356630785938617	2021-04-15	Mar-May	Mideast/Mideast
90+y	30-39y	0.8832072549096632	194	1266	57549	331690	0.7953395791065346	2021-04-15	Mar-May	Mideast/Mideast
90+y	40-49y	0.8019397267727855	136	1266	44432	331690	0.7221571168202348	2021-04-15	Mar-May	Mideast/Mideast
90+y	50-59y	0.9201095571338638	166	1266	47268	331690	0.8285705805004937	2021-04-15	Mar-May	Mideast/Mideast
90+y	60-69y	1.2524600612385015	139	1266	29077	331690	1.1278565165942407	2021-04-15	Mar-May	Mideast/Mideast
90+y	70-79y	1.8715595630883277	94	1266	13159	331690	1.685363641325309	2021-04-15	Mar-May	Mideast/Mideast
90+y	80-89y	2.0390671535493228	47	1266	6039	331690	1.83620639737584	2021-04-15	Mar-May	Mideast/Mideast
90+y	90+y	19.03938029244626	92	1266	1266	331690	17.14520869712772	2021-04-15	Mar-May	Mideast/Mideast
00-09y	00-09y	1.8276967716077608	202	3645	3645	120212	1.6746303374730815	2021-04-15	Mar-May	FL/FL
00-09y	10-19y	0.9902602916945417	437	3645	14554	120212	0.9073277100598348	2021-04-15	Mar-May	FL/FL
00-09y	20-29y	0.9152183336503001	741	3645	26702	120212	0.8385703858272578	2021-04-15	Mar-May	FL/FL
00-09y	30-39y	1.0791607754141177	790	3645	24143	120212	0.9887829324826842	2021-04-15	Mar-May	FL/FL
00-09y	40-49y	0.9774179380853837	620	3645	20920	120212	0.8955608812879403	2021-04-15	Mar-May	FL/FL
00-09y	50-59y	0.9944351159617454	468	3645	15521	120212	0.9111529000366865	2021-04-15	Mar-May	FL/FL
00-09y	60-69y	0.8535051810583104	256	3645	9892	120212	0.7820256027116532	2021-04-15	Mar-May	FL/FL
00-09y	70-79y	1.01594808667688	106	3645	3441	120212	0.9308641967727657	2021-04-15	Mar-May	FL/FL
00-09y	80-89y	0.5808113655031016	23	3645	1306	120212	0.5321694211699347	2021-04-15	Mar-May	FL/FL
00-09y	90+y	0.7495479486220227	2	3645	88	120212	0.6867746081583241	2021-04-15	Mar-May	FL/FL
10-19y	00-09y	0.9902602916945417	437	14554	3645	120212	0.9073277100598348	2021-04-15	Mar-May	FL/FL
10-19y	10-19y	1.3132470614664085	2314	14554	14554	120212	1.2032648981452554	2021-04-15	Mar-May	FL/FL
10-19y	20-29y	0.9360317613173813	3026	14554	26702	120212	0.8576407250320676	2021-04-15	Mar-May	FL/FL
10-19y	30-39y	0.9397944554300107	2747	14554	24143	120212	0.8610883000398725	2021-04-15	Mar-May	FL/FL
10-19y	40-49y	0.9957466536569421	2522	14554	20920	120212	0.912354598725022	2021-04-15	Mar-May	FL/FL
10-19y	50-59y	0.9557671234202351	1796	14554	15521	120212	0.8757232847935443	2021-04-15	Mar-May	FL/FL
10-19y	60-69y	0.9811134152933029	1175	14554	9892	120212	0.898946868690204	2021-04-15	Mar-May	FL/FL
10-19y	70-79y	0.8761402933695663	365	14554	3441	120212	0.8027650636317465	2021-04-15	Mar-May	FL/FL
10-19y	80-89y	1.024559800634738	162	14554	1306	120212	0.9387546946253079	2021-04-15	Mar-May	FL/FL
10-19y	90+y	0.93860560045973	10	14554	88	120212	0.8599990096110578	2021-04-15	Mar-May	FL/FL
20-29y	00-09y	0.9152183336503001	741	26702	3645	120212	0.8385703858272578	2021-04-15	Mar-May	FL/FL
20-29y	10-19y	0.9360317613173813	3026	26702	14554	120212	0.8576407250320676	2021-04-15	Mar-May	FL/FL
20-29y	20-29y	1.1427778251303353	6778	26702	26702	120212	1.0470721646410341	2021-04-15	Mar-May	FL/FL
20-29y	30-39y	0.9933344422893488	5327	26702	24143	120212	0.9101444058750254	2021-04-15	Mar-May	FL/FL
20-29y	40-49y	0.9830337917698819	4568	26702	20920	120212	0.9007064169681276	2021-04-15	Mar-May	FL/FL
20-29y	50-59y	0.9351458835437478	3224	26702	15521	120212	0.8568290379852526	2021-04-15	Mar-May	FL/FL
20-29y	60-69y	0.9357138020893041	2056	26702	9892	120212	0.8573493943377811	2021-04-15	Mar-May	FL/FL
20-29y	70-79y	0.9001353176526716	688	26702	3441	120212	0.8247505462550724	2021-04-15	Mar-May	FL/FL
20-29y	80-89y	0.9583092123457093	278	26702	1306	120212	0.8780524781812467	2021-04-15	Mar-May	FL/FL
20-29y	90+y	0.8185431292174232	16	26702	88	120212	0.7499915620641157	2021-04-15	Mar-May	FL/FL
30-39y	00-09y	1.0791607754141177	790	24143	3645	120212	0.9887829324826842	2021-04-15	Mar-May	FL/FL
30-39y	10-19y	0.9397944554300107	2747	24143	14554	120212	0.8610883000398725	2021-04-15	Mar-May	FL/FL
30-39y	20-29y	0.9933344422893488	5327	24143	26702	120212	0.9101444058750254	2021-04-15	Mar-May	FL/FL
30-39y	30-39y	1.0914031178759411	5292	24143	24143	120212	1	2021-04-15	Mar-May	FL/FL
30-39y	40-49y	0.9772683953933181	4106	24143	20920	120212	0.8954238625369251	2021-04-15	Mar-May	FL/FL
30-39y	50-59y	1.0185459357215711	3175	24143	15521	120212	0.9332444804664269	2021-04-15	Mar-May	FL/FL
30-39y	60-69y	0.9125786133869198	1813	24143	9892	120212	0.836151737556839	2021-04-15	Mar-May	FL/FL
30-39y	70-79y	0.9333222856263663	645	24143	3441	120212	0.8551581632300745	2021-04-15	Mar-May	FL/FL
30-39y	80-89y	0.8883198114044705	233	24143	1306	120212	0.8139245681589166	2021-04-15	Mar-May	FL/FL
30-39y	90+y	0.8487219145018507	15	24143	88	120212	0.777642926431812	2021-04-15	Mar-May	FL/FL
40-49y	00-09y	0.9774179380853837	620	20920	3645	120212	0.8955608812879403	2021-04-15	Mar-May	FL/FL
40-49y	10-19y	0.9957466536569421	2522	20920	14554	120212	0.912354598725022	2021-04-15	Mar-May	FL/FL
40-49y	20-29y	0.9830337917698819	4568	20920	26702	120212	0.9007064169681276	2021-04-15	Mar-May	FL/FL
40-49y	30-39y	0.9772683953933181	4106	20920	24143	120212	0.8954238625369251	2021-04-15	Mar-May	FL/FL
40-49y	40-49y	1.0311426050802657	3754	20920	20920	120212	0.9447862006176482	2021-04-15	Mar-May	FL/FL
40-49y	50-59y	0.992204606403241	2680	20920	15521	120212	0.9091091917844641	2021-04-15	Mar-May	FL/FL
40-49y	60-69y	1.0403934819182932	1791	20920	9892	120212	0.9532623325678953	2021-04-15	Mar-May	FL/FL
40-49y	70-79y	1.038704134653373	622	20920	3441	120212	0.9517144652059182	2021-04-15	Mar-May	FL/FL
40-49y	80-89y	1.0427767195968598	237	20920	1306	120212	0.9554459782250607	2021-04-15	Mar-May	FL/FL
40-49y	90+y	1.3059713410394578	20	20920	88	120212	1.1965985066829417	2021-04-15	Mar-May	FL/FL
50-59y	00-09y	0.9944351159617454	468	15521	3645	120212	0.9111529000366865	2021-04-15	Mar-May	FL/FL
50-59y	10-19y	0.9557671234202351	1796	15521	14554	120212	0.8757232847935443	2021-04-15	Mar-May	FL/FL
50-59y	20-29y	0.9351458835437478	3224	15521	26702	120212	0.8568290379852526	2021-04-15	Mar-May	FL/FL
50-59y	30-39y	1.0185459357215711	3175	15521	24143	120212	0.9332444804664269	2021-04-15	Mar-May	FL/FL
50-59y	40-49y	0.992204606403241	2680	15521	20920	120212	0.9091091917844641	2021-04-15	Mar-May	FL/FL
50-59y	50-59y	1.1187783015378476	2242	15521	15521	120212	1.0250825595176816	2021-04-15	Mar-May	FL/FL
50-59y	60-69y	1.0350837104643558	1322	15521	9892	120212	0.9483972452624172	2021-04-15	Mar-May	FL/FL
50-59y	70-79y	0.9858652752733821	438	15521	3441	120212	0.903300768639956	2021-04-15	Mar-May	FL/FL
50-59y	80-89y	0.9963094510199243	168	15521	1306	120212	0.9128702627851334	2021-04-15	Mar-May	FL/FL
50-59y	90+y	0.7041025062818117	8	15521	88	120212	0.6451351427803474	2021-04-15	Mar-May	FL/FL
60-69y	00-09y	0.8535051810583104	256	9892	3645	120212	0.7820256027116532	2021-04-15	Mar-May	FL/FL
60-69y	10-19y	0.9811134152933029	1175	9892	14554	120212	0.898946868690204	2021-04-15	Mar-May	FL/FL
60-69y	20-29y	0.9357138020893041	2056	9892	26702	120212	0.8573493943377811	2021-04-15	Mar-May	FL/FL
60-69y	30-39y	0.9125786133869198	1813	9892	24143	120212	0.836151737556839	2021-04-15	Mar-May	FL/FL
60-69y	40-49y	1.0403934819182932	1791	9892	20920	120212	0.9532623325678953	2021-04-15	Mar-May	FL/FL
60-69y	50-59y	1.0350837104643558	1322	9892	15521	120212	0.9483972452624172	2021-04-15	Mar-May	FL/FL
60-69y	60-69y	1.2555398649122615	1022	9892	9892	120212	1.1503905791984166	2021-04-15	Mar-May	FL/FL
60-69y	70-79y	1.1442582800376	324	9892	3441	120212	1.0484286340179458	2021-04-15	Mar-May	FL/FL
60-69y	80-89y	1.1445260420504697	123	9892	1306	120212	1.0486739714267217	2021-04-15	Mar-May	FL/FL
60-69y	90+y	1.3809609693783773	10	9892	88	120212	1.2653078837322416	2021-04-15	Mar-May	FL/FL
70-79y	00-09y	1.01594808667688	106	3441	3645	120212	0.9308641967727657	2021-04-15	Mar-May	FL/FL
70-79y	10-19y	0.8761402933695663	365	3441	14554	120212	0.8027650636317465	2021-04-15	Mar-May	FL/FL
70-79y	20-29y	0.9001353176526716	688	3441	26702	120212	0.8247505462550724	2021-04-15	Mar-May	FL/FL
70-79y	30-39y	0.9333222856263663	645	3441	24143	120212	0.8551581632300745	2021-04-15	Mar-May	FL/FL
70-79y	40-49y	1.038704134653373	622	3441	20920	120212	0.9517144652059182	2021-04-15	Mar-May	FL/FL
70-79y	50-59y	0.9858652752733821	438	3441	15521	120212	0.903300768639956	2021-04-15	Mar-May	FL/FL
70-79y	60-69y	1.1442582800376	324	3441	9892	120212	1.0484286340179458	2021-04-15	Mar-May	FL/FL
70-79y	70-79y	1.969609933920759	194	3441	3441	120212	1.804658518617722	2021-04-15	Mar-May	FL/FL
70-79y	80-89y	1.4177377743301767	53	3441	1306	120212	1.2990046950656868	2021-04-15	Mar-May	FL/FL
70-79y	90+y	2.381948297270878	6	3441	88	120212	2.1824642593165398	2021-04-15	Mar-May	FL/FL
80-89y	00-09y	0.5808113655031016	23	1306	3645	120212	0.5321694211699347	2021-04-15	Mar-May	FL/FL
80-89y	10-19y	1.024559800634738	162	1306	14554	120212	0.9387546946253079	2021-04-15	Mar-May	FL/FL
80-89y	20-29y	0.9583092123457093	278	1306	26702	120212	0.8780524781812467	2021-04-15	Mar-May	FL/FL
80-89y	30-39y	0.8883198114044705	233	1306	24143	120212	0.8139245681589166	2021-04-15	Mar-May	FL/FL
80-89y	40-49y	1.0427767195968598	237	1306	20920	120212	0.9554459782250607	2021-04-15	Mar-May	FL/FL
80-89y	50-59y	0.9963094510199243	168	1306	15521	120212	0.9128702627851334	2021-04-15	Mar-May	FL/FL
80-89y	60-69y	1.1445260420504697	123	1306	9892	120212	1.0486739714267217	2021-04-15	Mar-May	FL/FL
80-89y	70-79y	1.4177377743301767	53	1306	3441	120212	1.2990046950656868	2021-04-15	Mar-May	FL/FL
80-89y	80-89y	1.9734204718943549	28	1306	1306	120212	1.8081499306461317	2021-04-15	Mar-May	FL/FL
80-89y	90+y	1.0459853125435055	1	1306	88	120212	0.9583858570783391	2021-04-15	Mar-May	FL/FL
90+y	00-09y	0.7495479486220227	2	88	3645	120212	0.6867746081583241	2021-04-15	Mar-May	FL/FL
90+y	10-19y	0.93860560045973	10	88	14554	120212	0.8599990096110578	2021-04-15	Mar-May	FL/FL
90+y	20-29y	0.8185431292174232	16	88	26702	120212	0.7499915620641157	2021-04-15	Mar-May	FL/FL
90+y	30-39y	0.8487219145018507	15	88	24143	120212	0.777642926431812	2021-04-15	Mar-May	FL/FL
90+y	40-49y	1.3059713410394578	20	88	20920	120212	1.1965985066829417	2021-04-15	Mar-May	FL/FL
90+y	50-59y	0.7041025062818117	8	88	15521	120212	0.6451351427803474	2021-04-15	Mar-May	FL/FL
90+y	60-69y	1.3809609693783773	10	88	9892	120212	1.2653078837322416	2021-04-15	Mar-May	FL/FL
90+y	70-79y	2.381948297270878	6	88	3441	120212	2.1824642593165398	2021-04-15	Mar-May	FL/FL
90+y	80-89y	1.0459853125435055	1	88	1306	120212	0.9583858570783391	2021-04-15	Mar-May	FL/FL
90+y	90+y	1.2913223140495868e-4	0	88	88	120212	NA	2021-04-15	Mar-May	FL/FL
00-09y	00-09y	0.9014070320194286	98	2827	2827	73510	0.9078226011301391	2021-04-15	Mar-May	FL/Mideast
00-09y	10-19y	0.8627153532974597	263	2827	7927	73510	0.8688555427738511	2021-04-15	Mar-May	FL/Mideast
00-09y	20-29y	1.0004684837961506	642	2827	16686	73510	1.00758910131175	2021-04-15	Mar-May	FL/Mideast
00-09y	30-39y	1.0365859471378331	576	2827	14449	73510	1.043963622867914	2021-04-15	Mar-May	FL/Mideast
00-09y	40-49y	0.9685458050320792	406	2827	10900	73510	0.9754392198029306	2021-04-15	Mar-May	FL/Mideast
00-09y	50-59y	1.0995877832050114	477	2827	11280	73510	1.107413860843479	2021-04-15	Mar-May	FL/Mideast
00-09y	60-69y	1.086764610610682	246	2827	5886	73510	1.0944994220984816	2021-04-15	Mar-May	FL/Mideast
00-09y	70-79y	0.9227480904402693	89	2827	2508	73510	0.929315549907202	2021-04-15	Mar-May	FL/Mideast
00-09y	80-89y	0.7995527278023793	23	2827	748	73510	0.8052433709864927	2021-04-15	Mar-May	FL/Mideast
00-09y	90+y	0.608763086008899	7	2827	299	73510	0.613095825283841	2021-04-15	Mar-May	FL/Mideast
10-19y	00-09y	0.8627153532974597	263	7927	2827	73510	0.8688555427738511	2021-04-15	Mar-May	FL/Mideast
10-19y	10-19y	0.9405562257428224	804	7927	7927	73510	0.947250430751678	2021-04-15	Mar-May	FL/Mideast
10-19y	20-29y	1.019259246255547	1834	7927	16686	73510	1.0265136029488084	2021-04-15	Mar-May	FL/Mideast
10-19y	30-39y	0.9941483477384465	1549	7927	14449	73510	1.0012239830559633	2021-04-15	Mar-May	FL/Mideast
10-19y	40-49y	0.9979506922687875	1173	7927	10900	73510	1.005053389949089	2021-04-15	Mar-May	FL/Mideast
10-19y	50-59y	1.0383214362082371	1263	7927	11280	73510	1.0457114639054945	2021-04-15	Mar-May	FL/Mideast
10-19y	60-69y	0.976807545714996	620	7927	5886	73510	0.9837597616338785	2021-04-15	Mar-May	FL/Mideast
10-19y	70-79y	1.109254774779995	300	7927	2508	73510	1.1171496551350368	2021-04-15	Mar-May	FL/Mideast
10-19y	80-89y	1.090984815316771	88	7927	748	73510	1.0987496631965572	2021-04-15	Mar-May	FL/Mideast
10-19y	90+y	1.0234826740495313	33	7927	299	73510	1.0307670900744088	2021-04-15	Mar-May	FL/Mideast
20-29y	00-09y	1.0004684837961506	642	16686	2827	73510	1.00758910131175	2021-04-15	Mar-May	FL/Mideast
20-29y	10-19y	1.019259246255547	1834	16686	7927	73510	1.0265136029488084	2021-04-15	Mar-May	FL/Mideast
20-29y	20-29y	1.0228255360423404	3874	16686	16686	73510	1.0301052750299298	2021-04-15	Mar-May	FL/Mideast
20-29y	30-39y	1.0040333184438297	3293	16686	14449	73510	1.0111793078971199	2021-04-15	Mar-May	FL/Mideast
20-29y	40-49y	0.9837579655306267	2434	16686	10900	73510	0.9907596495555829	2021-04-15	Mar-May	FL/Mideast
20-29y	50-59y	0.9596000076081957	2457	16686	11280	73510	0.9664297526054769	2021-04-15	Mar-May	FL/Mideast
20-29y	60-69y	0.9827400521205799	1313	16686	5886	73510	0.9897344913675403	2021-04-15	Mar-May	FL/Mideast
20-29y	70-79y	1.060971211194058	604	16686	2508	73510	1.0685224437539378	2021-04-15	Mar-May	FL/Mideast
20-29y	80-89y	0.9070126514206088	154	16686	748	73510	0.9134681173120179	2021-04-15	Mar-May	FL/Mideast
20-29y	90+y	1.1934606024235968	81	16686	299	73510	1.2019547994997004	2021-04-15	Mar-May	FL/Mideast
30-39y	00-09y	1.0365859471378331	576	14449	2827	73510	1.043963622867914	2021-04-15	Mar-May	FL/Mideast
30-39y	10-19y	0.9941483477384465	1549	14449	7927	73510	1.0012239830559633	2021-04-15	Mar-May	FL/Mideast
