x	y	RR	N_pairs	N_x	N_y	N_total	nRR_fixed	season_date	season	geo_cat
00-09y	00-09y	1.3156285756724526	2160	23336	23336	331690	1.1847405824841009	2021-04-15	Mar-May	Mideast/Mideast
00-09y	10-19y	0.9861737274528061	3107	23336	44781	331690	0.8880622220414865	2021-04-15	Mar-May	Mideast/Mideast
00-09y	20-29y	0.9278602976554026	4229	23336	64783	331690	0.8355502227870544	2021-04-15	Mar-May	Mideast/Mideast
00-09y	30-39y	1.0395541266936508	4209	23336	57549	331690	0.9361319633493687	2021-04-15	Mar-May	Mideast/Mideast
00-09y	40-49y	1.036146222995061	3239	23336	44432	331690	0.933063101903536	2021-04-15	Mar-May	Mideast/Mideast
00-09y	50-59y	0.9303771704370405	3094	23336	47268	331690	0.8378166993447196	2021-04-15	Mar-May	Mideast/Mideast
00-09y	60-69y	0.971790717715233	1988	23336	29077	331690	0.8751101353739731	2021-04-15	Mar-May	Mideast/Mideast
00-09y	70-79y	0.947289383639666	877	23336	13159	331690	0.8530463665101143	2021-04-15	Mar-May	Mideast/Mideast
00-09y	80-89y	0.875555894172736	372	23336	6039	331690	0.7884494296039444	2021-04-15	Mar-May	Mideast/Mideast
00-09y	90+y	0.6848604912316046	61	23336	1266	331690	0.616725747909025	2021-04-15	Mar-May	Mideast/Mideast
10-19y	00-09y	0.9861737274528061	3107	44781	23336	331690	0.8880622220414865	2021-04-15	Mar-May	Mideast/Mideast
10-19y	10-19y	1.2554128780091447	7590	44781	44781	331690	1.1305155663636883	2021-04-15	Mar-May	Mideast/Mideast
10-19y	20-29y	1.0061441523652006	8800	44781	64783	331690	0.9060458484848938	2021-04-15	Mar-May	Mideast/Mideast
10-19y	30-39y	0.9405878146366675	7308	44781	57549	331690	0.8470115167728991	2021-04-15	Mar-May	Mideast/Mideast
10-19y	40-49y	0.989880848388738	5938	44781	44432	331690	0.8914005324872978	2021-04-15	Mar-May	Mideast/Mideast
10-19y	50-59y	0.9905061000025139	6321	44781	47268	331690	0.8919635796685474	2021-04-15	Mar-May	Mideast/Mideast
10-19y	60-69y	0.8803649193493311	3456	44781	29077	331690	0.7927800190987703	2021-04-15	Mar-May	Mideast/Mideast
10-19y	70-79y	0.8122356286641718	1443	44781	13159	331690	0.7314287099047537	2021-04-15	Mar-May	Mideast/Mideast
10-19y	80-89y	0.8377110936967814	683	44781	6039	331690	0.7543696963198295	2021-04-15	Mar-May	Mideast/Mideast
10-19y	90+y	0.7898391621390151	135	44781	1266	331690	0.7112604015483944	2021-04-15	Mar-May	Mideast/Mideast
20-29y	00-09y	0.9278602976554026	4229	64783	23336	331690	0.8355502227870544	2021-04-15	Mar-May	Mideast/Mideast
20-29y	10-19y	1.0061441523652006	8800	64783	44781	331690	0.9060458484848938	2021-04-15	Mar-May	Mideast/Mideast
