edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2822590482371458	0.22689649327411376	0.9372939707163588
Florida_Pennsylvania	Pennsylvania	Florida	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.2822590482371458	0.22689649327411376	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2498577725442819	0.1971377455208333	0.4574049350288564
Florida_New York	New York	Florida	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.2498577725442819	0.1971377455208333	0.4574049350288564
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	13	2020-01-01	2024-10-01	0.3918263204360316	0.3112705207228272	1.380820313632539
Florida_New Jersey	New Jersey	Florida	Mideast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.3918263204360316	0.3112705207228272	1.380820313632539
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	13	2020-01-01	2024-07-01	0.27677656256706545	0.201909972754116	0.9535019914495332
Connecticut_New Jersey	New Jersey	Connecticut	Mideast	New England	USA	USA	13	2020-01-01	2024-07-01	0.27677656256706545	0.201909972754116	0.9535019914495332
Florida_North Carolina	Florida	North Carolina	Southeast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.2365604007530902	0.1844107047995342	0.7384808185450967
Florida_North Carolina	North Carolina	Florida	Southeast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.2365604007530902	0.1844107047995342	0.7384808185450967
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.2928029741212594	0.23245285893975318	0.802894904878952
Florida_Texas	Texas	Florida	Southwest	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2928029741212594	0.23245285893975318	0.802894904878952
Florida_Virginia	Florida	Virginia	Southeast	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2278034137372315	0.230461757214017	0.30490148515067456
Florida_Virginia	Virginia	Florida	Southeast	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2278034137372315	0.230461757214017	0.30490148515067456
California_Texas	California	Texas	Far West	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.20246086768772775	0.19816837332090526	0.3099322927528627
California_Texas	Texas	California	Southwest	Far West	USA	USA	12	2020-01-01	2024-10-01	0.20246086768772775	0.19816837332090526	0.3099322927528627
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2007838424828591	0.19134192991550875	0.3123761833113385
New Jersey_Virginia	Virginia	New Jersey	Southeast	Mideast	USA	USA	12	2020-01-01	2024-10-01	0.2007838424828591	0.19134192991550875	0.3123761833113385
California_Florida	California	Florida	Far West	Southeast	USA	USA	11	2020-01-01	2024-10-01	0.2946661794566259	0.2779605820539045	0.48506700707254785
California_Florida	Florida	California	Southeast	Far West	USA	USA	11	2020-01-01	2024-10-01	0.2946661794566259	0.2779605820539045	0.48506700707254785
Maryland_New Jersey	Maryland	New Jersey	Mideast	Mideast	USA	USA	10	2020-01-01	2024-07-01	0.26573138205791685	0.2600827340954285	0.5152026966948973
Maryland_New Jersey	New Jersey	Maryland	Mideast	Mideast	USA	USA	10	2020-01-01	2024-07-01	0.26573138205791685	0.2600827340954285	0.5152026966948973
California_New Jersey	California	New Jersey	Far West	Mideast	USA	USA	10	2020-01-01	2024-10-01	0.2573221902700112	0.23939004404508196	0.5106964938854182
California_New Jersey	New Jersey	California	Mideast	Far West	USA	USA	10	2020-01-01	2024-10-01	0.2573221902700112	0.23939004404508196	0.5106964938854182
Colorado_Florida	Colorado	Florida	Rocky Mountain	Southeast	USA	USA	10	2020-01-01	2024-10-01	0.24358634953009678	0.21232795852684316	0.3980957247352497
Colorado_Florida	Florida	Colorado	Southeast	Rocky Mountain	USA	USA	10	2020-01-01	2024-10-01	0.24358634953009678	0.21232795852684316	0.3980957247352497
California_Colorado	California	Colorado	Far West	Rocky Mountain	USA	USA	10	2020-01-01	2024-07-01	0.21217433631667634	0.21940909170871786	0.28612595002435076
California_Colorado	Colorado	California	Rocky Mountain	Far West	USA	USA	10	2020-01-01	2024-07-01	0.21217433631667634	0.21940909170871786	0.28612595002435076
Pennsylvania_Virginia	Pennsylvania	Virginia	Mideast	Southeast	USA	USA	10	2020-01-01	2024-10-01	0.1959150688947451	0.1886998142286444	0.2770533336108176
Pennsylvania_Virginia	Virginia	Pennsylvania	Southeast	Mideast	USA	USA	10	2020-01-01	2024-10-01	0.1959150688947451	0.1886998142286444	0.2770533336108176
