edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2822590482371458	0.22689649327411376	0.9372939707163588
Florida_Pennsylvania	Pennsylvania	Florida	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.2822590482371458	0.22689649327411376	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2498577725442819	0.1971377455208333	0.4574049350288564
Florida_New York	New York	Florida	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.2498577725442819	0.1971377455208333	0.4574049350288564
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	13	2020-01-01	2024-10-01	0.3918263204360316	0.3112705207228272	1.380820313632539
Florida_New Jersey	New Jersey	Florida	Mideast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.3918263204360316	0.3112705207228272	1.380820313632539
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	13	2020-01-01	2024-07-01	0.27677656256706545	0.201909972754116	0.9535019914495332
Connecticut_New Jersey	New Jersey	Connecticut	Mideast	New England	USA	USA	13	2020-01-01	2024-07-01	0.27677656256706545	0.201909972754116	0.9535019914495332
Florida_North Carolina	Florida	North Carolina	Southeast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.2365604007530902	0.1844107047995342	0.7384808185450967
Florida_North Carolina	North Carolina	Florida	Southeast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.2365604007530902	0.1844107047995342	0.7384808185450967
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.2928029741212594	0.23245285893975318	0.802894904878952
Florida_Texas	Texas	Florida	Southwest	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2928029741212594	0.23245285893975318	0.802894904878952
