date	n_significant_connections	mean_z_score_x	mean_z_score_y	max_z_score_x	max_z_score_y	states_involved
2020-01-01	58	3.182234854291428	3.182234854291428	7.0697931415393285	7.069793141539327	31
2020-04-01	46	4.32343977247994	4.323439772479941	7.1231147745138	7.123114774513799	33
2020-07-01	42	4.27192560330822	4.27192560330822	7.061465391202893	7.061465391202898	32
2020-10-01	60	4.463930507131678	4.463930507131678	7.278277215084036	7.278277215084038	42
2021-01-01	56	4.291496767359665	4.291496767359665	7.463471564531169	7.4634715645311704	42
2021-04-01	64	4.008443254438805	4.008443254438805	7.40919879497746	7.40919879497746	43
2021-07-01	64	3.474567757348833	3.474567757348833	7.221386364789746	7.221386364789746	41
2021-10-01	64	3.2729983805202862	3.2729983805202862	6.898575269805733	6.8985752698057325	38
2022-01-01	60	3.382169488317378	3.382169488317378	6.4070204772721935	6.4070204772721935	34
2022-04-01	34	3.0472173597799905	3.0472173597799905	6.032541551240725	6.032541551240725	24
2022-07-01	22	2.4773154189488276	2.4773154189488276	5.015463252234875	5.015463252234877	20
2022-10-01	34	3.03174961607084	3.03174961607084	7.128630424277887	7.128630424277887	24
2023-01-01	56	3.184976358775653	3.1849763587756534	7.180876190866376	7.180876190866376	36
2023-04-01	50	3.925519273839081	3.9255192738390816	7.049854153852449	7.049854153852449	27
2023-07-01	36	2.8544965090443535	2.8544965090443535	5.316596842206009	5.316596842206011	22
2023-10-01	32	3.350826276757637	3.350826276757637	6.97282066356018	6.972820663560178	25
2024-01-01	46	3.3724538966782824	3.3724538966782824	6.836761531856388	6.836761531856388	30
2024-04-01	42	3.756696164296228	3.756696164296228	6.08866605329934	6.08866605329934	31
2024-07-01	48	3.246807437891408	3.2468074378914085	6.420467802949403	6.420467802949403	28
2024-10-01	44	3.5320520670755604	3.5320520670755604	6.523058933284964	6.523058933284963	28
