edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.2985013798731922	0.20753587891143316	1.380820313632539
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.24140067487348632	0.19944076814009448	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.22285130931957015	0.18938152179751852	0.4574049350288564
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	18	2020-01-01	2024-07-01	0.21887723066877712	0.1637699513987105	0.9535019914495332
Florida_Ohio	Florida	Ohio	Southeast	Great Lakes	USA	USA	18	2020-01-01	2024-10-01	0.19264991253832925	0.1239618769858103	0.4946462415485423
Colorado_Florida	Colorado	Florida	Rocky Mountain	Southeast	USA	USA	18	2020-01-01	2024-10-01	0.16621243843417727	0.1314504236962005	0.3980957247352497
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	18	2020-01-01	2024-10-01	0.16113536137526033	0.15222615766124561	0.3123761833113385
Florida_Illinois	Florida	Illinois	Southeast	Great Lakes	USA	USA	18	2020-01-01	2024-10-01	0.13122549320051116	0.11403318508325196	0.2833422405175353
California_Florida	California	Florida	Far West	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.21973432973932563	0.17105635541051592	0.48506700707254785
California_New Jersey	California	New Jersey	Far West	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.18288942231326927	0.16708934033138112	0.5106964938854182
California_Texas	California	Texas	Far West	Southwest	USA	USA	17	2020-01-01	2024-10-01	0.16236833762882227	0.15279288218674972	0.3099322927528627
California_Colorado	California	Colorado	Far West	Rocky Mountain	USA	USA	17	2020-01-01	2024-10-01	0.1536959288705659	0.1320556515252973	0.28612595002435076
Pennsylvania_Virginia	Pennsylvania	Virginia	Mideast	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.15060847362802107	0.14136696170603175	0.2770533336108176
California_New York	California	New York	Far West	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.14824236973113028	0.13885516341915907	0.254909153451928
Massachusetts_New Jersey	Massachusetts	New Jersey	New England	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.12147095489072689	0.11156978765090296	0.23721639744907885
Tennessee_Texas	Tennessee	Texas	Southeast	Southwest	USA	USA	17	2020-01-01	2024-10-01	0.11116347752686712	0.07762233343212381	0.25269828822811236
Ohio_Tennessee	Ohio	Tennessee	Great Lakes	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.11037810289035395	0.10427577318957508	0.28614621411110536
New Jersey_Ohio	New Jersey	Ohio	Mideast	Great Lakes	USA	USA	16	2020-01-01	2024-10-01	0.2576911669186104	0.1521186435277906	1.0781185882274105
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	16	2020-01-01	2024-10-01	0.23939466278187743	0.17692220264395758	0.802894904878952
Florida_Maryland	Florida	Maryland	Southeast	Mideast	USA	USA	16	2020-01-01	2024-10-01	0.16733283423717243	0.13135192622205832	0.4059131672527974
New Jersey_North Carolina	New Jersey	North Carolina	Mideast	Southeast	USA	USA	16	2020-01-01	2024-10-01	0.1649213095262807	0.13148304614624606	0.5949254028179215
Florida_Massachusetts	Florida	Massachusetts	Southeast	New England	USA	USA	16	2020-01-01	2024-10-01	0.13573960819316852	0.12413167192536159	0.28416174784855613
Massachusetts_Pennsylvania	Massachusetts	Pennsylvania	New England	Mideast	USA	USA	16	2020-01-01	2024-10-01	0.1338870159424244	0.1166602758079754	0.3301498812039395
Colorado_Texas	Colorado	Texas	Rocky Mountain	Southwest	USA	USA	16	2020-01-01	2024-10-01	0.11623687520203294	0.11079068843403685	0.22839324164122837
North Carolina_Pennsylvania	North Carolina	Pennsylvania	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2205169554418163	0.1623300120435448	0.7098169756885822
New York_Ohio	New York	Ohio	Mideast	Great Lakes	USA	USA	15	2020-01-01	2024-10-01	0.16496479744545436	0.1097962262834282	0.47668356657695543
New York_Virginia	New York	Virginia	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.148545294109475	0.14044108990764492	0.27384160307296834
California_Pennsylvania	California	Pennsylvania	Far West	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.14791220462269938	0.13925308614293114	0.4092228816636684
Georgia_Texas	Georgia	Texas	Southeast	Southwest	USA	USA	15	2020-07-01	2024-10-01	0.14454090473946013	0.11871843405011688	0.3543826926074766
New York_Texas	New York	Texas	Mideast	Southwest	USA	USA	15	2020-01-01	2024-10-01	0.14061444710856566	0.12809480758092603	0.30267351138114273
Georgia_New Jersey	Georgia	New Jersey	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.13779087399739284	0.12502163321188342	0.3669661329306272
Illinois_Texas	Illinois	Texas	Great Lakes	Southwest	USA	USA	15	2020-01-01	2024-10-01	0.13742495098762023	0.09944683748068432	0.6194275277444282
Illinois_Pennsylvania	Illinois	Pennsylvania	Great Lakes	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.13060711736123293	0.101805373525707	0.34203490332486325
Georgia_Ohio	Georgia	Ohio	Southeast	Great Lakes	USA	USA	15	2020-07-01	2024-10-01	0.12590722348791827	0.12427997468881467	0.2153388240290327
Georgia_Illinois	Georgia	Illinois	Southeast	Great Lakes	USA	USA	15	2020-01-01	2024-10-01	0.12237401834666742	0.10214948014215744	0.2865646316641136
Delaware_Virginia	Delaware	Virginia	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.11134190956156952	0.10599737303037796	0.22413875259752003
