x	y	RR	N_pairs	N_x	N_y	N_total
Alabama	New Jersey	0.7944708003070633	1432	93057	700030	36141038
Alabama	Tennessee	3.8632434316812616	2558	93057	257158	36141038
Alabama	Wisconsin	0.7994775295780889	1114	93057	541166	36141038
Alabama	Virginia	1.2553072794558084	1689	93057	522554	36141038
Alabama	Utah	0.6888107448131672	1124	93057	633750	36141038
Alabama	New York	0.6522066660351977	3617	93057	2153847	36141038
Alabama	Kentucky	2.597717954054182	711	93057	106299	36141038
Alabama	Oklahoma	1.7071950008332226	442	93057	100552	36141038
Alabama	Wyoming	0.2790947227150123	289	93057	402159	36141038
Alabama	Arizona	0.7297284234861284	1448	93057	770653	36141038
Alabama	Texas	1.367702749749535	5465	93057	1551851	36141038
Alabama	Ohio	1.8909015649351386	1379	93057	283235	36141038
Alabama	Louisiana	3.5845766564058055	2279	93057	246921	36141038
Alabama	Iowa	1.0502952758535746	404	93057	149390	36141038
Alabama	Kansas	1.2259668643070403	378	93057	119747	36141038
Alabama	Rhode Island	0.5574888209922102	324	93057	225715	36141038
Alabama	Nova Scotia	0.07271941820322882	19	93057	101474	36141038
Alabama	Alberta	0.13744691125004307	307	93057	867471	36141038
Alabama	Ontario	0.2089081533602859	1085	93057	2017093	36141038
Alabama	North Carolina	1.964715597163816	3693	93057	730014	36141038
Alabama	Pennsylvania	1.005214577158257	1126	93057	435042	36141038
Alabama	Michigan	0.676119482405609	1270	93057	729511	36141038
Alabama	New Brunswick	0.06307938635811154	14	93057	86197	36141038
Alabama	Nebraska	0.9150070524661424	344	93057	146011	36141038
Alabama	Missouri	2.2277783838486322	982	93057	171195	36141038
Alabama	Montana	0.35652163981958307	136	93057	148151	36141038
Alabama	Maryland	0.9141219908593896	1170	93057	497088	36141038
Alabama	Connecticut	0.5687495335075659	684	93057	467075	36141038
Alabama	Indiana	2.3420730160655574	1266	93057	209935	36141038
Alabama	Massachusetts	0.41317560011490057	1815	93057	1706057	36141038
Alabama	Oregon	0.5072992125292564	437	93057	334556	36141038
Alabama	Maine	1.0184255831248148	347	93057	132328	36141038
Alabama	Newfoundland and Labrador	0.24070361094785772	12	93057	19362	36141038
Alabama	California	0.703603781690562	10093	93057	5571135	36141038
Alabama	Colorado	0.6818034510847726	3084	93057	1756737	36141038
Alabama	Illinois	1.307647611539304	1994	93057	592224	36141038
Alabama	British Columbia	0.058791984498666995	437	93057	2886788	36141038
Alabama	North Dakota	0.6732419124024364	292	93057	168447	36141038
