edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
California_Texas	California	Texas	Far West	Southwest	USA	USA	20	2020-01-01	2024-10-01	0.14260172346017003	0.13386178457320505	0.3099322927528627
Illinois_Minnesota	Illinois	Minnesota	Great Lakes	Plains	USA	USA	20	2020-01-01	2024-10-01	0.07637176532965903	0.06426528627285052	0.18415336252694017
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.2985013798731922	0.20753587891143316	1.380820313632539
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.24140067487348632	0.19944076814009448	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.21312344004514708	0.18415775550795616	0.4574049350288564
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	19	2020-01-01	2024-07-01	0.20900216577176833	0.1633347613976659	0.9535019914495332
California_Florida	California	Florida	Far West	Southeast	USA	USA	19	2020-01-01	2024-10-01	0.19979218961979317	0.15726585901261872	0.48506700707254785
Florida_Ohio	Florida	Ohio	Southeast	Great Lakes	USA	USA	19	2020-01-01	2024-10-01	0.1846772992211094	0.12007697275671496	0.4946462415485423
Colorado_Florida	Colorado	Florida	Rocky Mountain	Southeast	USA	USA	19	2020-01-01	2024-10-01	0.15955959643136836	0.12897393832491963	0.3980957247352497
Florida_Maryland	Florida	Maryland	Southeast	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.14638934606485302	0.1161994140333098	0.4059131672527974
California_Colorado	California	Colorado	Far West	Rocky Mountain	USA	USA	19	2020-01-01	2024-10-01	0.14134279342012218	0.12781898817396428	0.28612595002435076
Florida_Illinois	Florida	Illinois	Southeast	Great Lakes	USA	USA	19	2020-01-01	2024-10-01	0.12656577015097661	0.10412878408908167	0.2833422405175353
Illinois_Texas	Illinois	Texas	Great Lakes	Southwest	USA	USA	19	2020-01-01	2024-10-01	0.11592606524149239	0.0691988743283383	0.6194275277444282
Massachusetts_New Jersey	Massachusetts	New Jersey	New England	Mideast	USA	USA	19	2020-01-01	2024-10-01	0.11244788258779999	0.09553758610057143	0.23721639744907885
Tennessee_Texas	Tennessee	Texas	Southeast	Southwest	USA	USA	19	2020-01-01	2024-10-01	0.10287029508553844	0.07713550103568603	0.25269828822811236
Ohio_Tennessee	Ohio	Tennessee	Great Lakes	Southeast	USA	USA	19	2020-01-01	2024-10-01	0.10255166996802131	0.09731184851410268	0.28614621411110536
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	18	2020-01-01	2024-10-01	0.21626322400539572	0.14467685291495658	0.802894904878952
California_New Jersey	California	New Jersey	Far West	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.17425354467810228	0.14947187674462378	0.5106964938854182
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	18	2020-01-01	2024-10-01	0.16113536137526033	0.15222615766124561	0.3123761833113385
California_New York	California	New York	Far West	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.14170705822676935	0.1262464846694888	0.254909153451928
California_Utah	California	Utah	Far West	Rocky Mountain	USA	USA	18	2020-01-01	2024-10-01	0.12934393605733963	0.12130773605355327	0.5058688201248086
New York_Virginia	New York	Virginia	Mideast	Southeast	USA	USA	18	2020-01-01	2024-10-01	0.12930476949736183	0.12602585029791114	0.27384160307296834
Florida_Massachusetts	Florida	Massachusetts	Southeast	New England	USA	USA	18	2020-01-01	2024-10-01	0.12462130707676614	0.11621193241694527	0.28416174784855613
Georgia_Pennsylvania	Georgia	Pennsylvania	Southeast	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.12385174911006645	0.10862599425150643	0.3692432173190041
Massachusetts_Pennsylvania	Massachusetts	Pennsylvania	New England	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.12273353026376899	0.11095920866456094	0.3301498812039395
New York_Texas	New York	Texas	Mideast	Southwest	USA	USA	18	2020-01-01	2024-10-01	0.1223197795222708	0.1095784078565329	0.30267351138114273
Illinois_Pennsylvania	Illinois	Pennsylvania	Great Lakes	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.11509644446655598	0.09606293100971011	0.34203490332486325
Ohio_Virginia	Ohio	Virginia	Great Lakes	Southeast	USA	USA	18	2020-01-01	2024-10-01	0.1139982018229653	0.09214664938742541	0.45533003596887495
Colorado_Texas	Colorado	Texas	Rocky Mountain	Southwest	USA	USA	18	2020-01-01	2024-10-01	0.10737239957388739	0.10417951367804974	0.22839324164122837
Colorado_New York	Colorado	New York	Rocky Mountain	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.09807942059181678	0.07092015037130696	0.28349372455450217
Florida_Michigan	Florida	Michigan	Southeast	Great Lakes	USA	USA	18	2020-01-01	2024-10-01	0.09357422252129878	0.08741471998154855	0.19200731942559007
Arizona_Illinois	Arizona	Illinois	Southwest	Great Lakes	USA	USA	18	2020-01-01	2024-07-01	0.0935176412555553	0.07516649637723403	0.24622788761905465
Illinois_New York	Illinois	New York	Great Lakes	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.09303666957886605	0.07440592007484587	0.1962725088707171
Colorado_Illinois	Colorado	Illinois	Rocky Mountain	Great Lakes	USA	USA	18	2020-01-01	2024-10-01	0.0847587318230658	0.07128517289108631	0.2157115215444687
Pennsylvania_Virginia	Pennsylvania	Virginia	Mideast	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.15060847362802107	0.14136696170603175	0.2770533336108176
Maryland_North Carolina	Maryland	North Carolina	Mideast	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.14240840695623252	0.11760953872367431	0.3452119793060079
Georgia_Texas	Georgia	Texas	Southeast	Southwest	USA	USA	17	2020-01-01	2024-10-01	0.1321494640629371	0.10309176245306484	0.3543826926074766
Connecticut_Florida	Connecticut	Florida	New England	Southeast	USA	USA	17	2020-01-01	2024-07-01	0.12893677440615708	0.09598666890310416	0.33900744584109316
Georgia_New Jersey	Georgia	New Jersey	Southeast	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.1251683350618754	0.09449550746759644	0.3669661329306272
New York_North Carolina	New York	North Carolina	Mideast	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.12392750130704228	0.1113539995354292	0.2754694203074318
Maryland_Ohio	Maryland	Ohio	Mideast	Great Lakes	USA	USA	17	2020-01-01	2024-10-01	0.11482923414644575	0.09967432087680524	0.40919508402329874
Michigan_New Jersey	Michigan	New Jersey	Great Lakes	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.11368097326815511	0.07452740653401721	0.4682254664351605
Georgia_Illinois	Georgia	Illinois	Southeast	Great Lakes	USA	USA	17	2020-01-01	2024-10-01	0.11288701794734382	0.10131107064198872	0.2865646316641136
Colorado_Ohio	Colorado	Ohio	Rocky Mountain	Great Lakes	USA	USA	17	2020-01-01	2024-10-01	0.11208370956286987	0.07797164255079628	0.37019893879382354
Illinois_New Jersey	Illinois	New Jersey	Great Lakes	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.11096692735445932	0.09979221685678734	0.23535408240319153
California_Illinois	California	Illinois	Far West	Great Lakes	USA	USA	17	2020-01-01	2024-10-01	0.10205487070622829	0.08025118247007068	0.27100859568322694
Illinois_Tennessee	Illinois	Tennessee	Great Lakes	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.10187229337397727	0.08204693806794143	0.35177887717573786
Michigan_Pennsylvania	Michigan	Pennsylvania	Great Lakes	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.08827447529051853	0.07665670339446812	0.301227624491386
New York_Wisconsin	New York	Wisconsin	Mideast	Great Lakes	USA	USA	17	2020-01-01	2024-10-01	0.07839813437987661	0.047643733745031544	0.20625697417522
Colorado_Tennessee	Colorado	Tennessee	Rocky Mountain	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.07802507704309443	0.07612146124461745	0.13579346657445213
Michigan_New York	Michigan	New York	Great Lakes	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.07322656384341635	0.059106493887215665	0.16710965648897547
