date	n_significant_connections	mean_z_score_x	mean_z_score_y	max_z_score_x	max_z_score_y	states_involved
2020-01-01	14	4.520978531874967	4.520978531874967	7.0697931415393285	7.069793141539327	14
2020-04-01	28	5.035401835356703	5.035401835356703	7.1231147745138	7.123114774513799	24
2020-07-01	26	5.016149761247681	5.016149761247681	7.061465391202893	7.061465391202898	21
2020-10-01	38	4.933860150445612	4.9338601504456125	7.1915318664505445	7.191531866450546	34
2021-01-01	34	4.721708581747277	4.721708581747277	6.7623344749583705	6.7623344749583705	30
2021-04-01	24	4.803737132494881	4.803737132494881	7.245635017218089	7.245635017218089	19
2021-07-01	20	4.12980671313636	4.12980671313636	6.999582684781509	6.999582684781508	17
2021-10-01	14	4.7089878661589735	4.7089878661589735	6.898575269805733	6.8985752698057325	13
2022-01-01	24	4.233820270571685	4.233820270571685	6.4070204772721935	6.4070204772721935	22
2022-04-01	10	3.8448343228112787	3.8448343228112787	6.032541551240725	6.032541551240725	10
2022-10-01	6	5.305498405324631	5.305498405324631	7.128630424277887	7.128630424277887	6
2023-01-01	8	4.599454338671173	4.599454338671173	7.180876190866376	7.180876190866376	8
2023-04-01	26	4.609275143021268	4.609275143021268	7.049854153852449	7.049854153852449	21
2023-07-01	2	4.953292908609548	4.953292908609548	5.316596842206009	5.316596842206011	2
2023-10-01	8	3.88021394413902	3.88021394413902	4.384084228098015	4.384084228098015	8
2024-01-01	12	4.696292455940006	4.696292455940006	6.836761531856388	6.836761531856388	11
2024-04-01	18	4.844605473473363	4.844605473473363	6.08866605329934	6.08866605329934	17
2024-07-01	14	4.003888778740754	4.003888778740755	6.34899850909094	6.34899850909094	14
2024-10-01	14	4.5914431516503464	4.5914431516503464	6.564522931739239	6.564522931739239	12
