edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.31240689551464407	0.2090342077634677	1.380820313632539
Florida_New Jersey	New Jersey	Florida	Mideast	Southeast	USA	USA	18	2020-01-01	2024-10-01	0.31240689551464407	0.2090342077634677	1.380820313632539
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.26188623398701644	0.20223535388341723	0.9372939707163588
Florida_Pennsylvania	Pennsylvania	Florida	Mideast	Southeast	USA	USA	17	2020-01-01	2024-10-01	0.26188623398701644	0.20223535388341723	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	16	2020-01-01	2024-10-01	0.24174029381573436	0.1958715168039571	0.4574049350288564
Florida_New York	New York	Florida	Mideast	Southeast	USA	USA	16	2020-01-01	2024-10-01	0.24174029381573436	0.1958715168039571	0.4574049350288564
Florida_Ohio	Florida	Ohio	Southeast	Great Lakes	USA	USA	15	2020-01-01	2024-10-01	0.21857250069334885	0.16132100939548277	0.4946462415485423
Florida_Ohio	Ohio	Florida	Great Lakes	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.21857250069334885	0.16132100939548277	0.4946462415485423
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.1818511311117837	0.16527483500001972	0.3123761833113385
New Jersey_Virginia	Virginia	New Jersey	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.1818511311117837	0.16527483500001972	0.3123761833113385
Maryland_New York	Maryland	New York	Mideast	Mideast	USA	USA	15	2020-01-01	2024-07-01	0.18170945373758107	0.1373578556157636	0.4353832060476108
Maryland_New York	New York	Maryland	Mideast	Mideast	USA	USA	15	2020-01-01	2024-07-01	0.18170945373758107	0.1373578556157636	0.4353832060476108
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	14	2020-01-01	2024-07-01	0.2634615720879706	0.18688853038783404	0.9535019914495332
Connecticut_New Jersey	New Jersey	Connecticut	Mideast	New England	USA	USA	14	2020-01-01	2024-07-01	0.2634615720879706	0.18688853038783404	0.9535019914495332
