edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	18	2020-01-01	2024-10-01	0.31240689551464407	0.2090342077634677	1.380820313632539
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	17	2020-01-01	2024-10-01	0.26188623398701644	0.20223535388341723	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	16	2020-01-01	2024-10-01	0.24174029381573436	0.1958715168039571	0.4574049350288564
Florida_Ohio	Florida	Ohio	Southeast	Great Lakes	USA	USA	15	2020-01-01	2024-10-01	0.21857250069334885	0.16132100939548277	0.4946462415485423
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	15	2020-01-01	2024-10-01	0.1818511311117837	0.16527483500001972	0.3123761833113385
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	14	2020-01-01	2024-07-01	0.2634615720879706	0.18688853038783404	0.9535019914495332
California_Florida	California	Florida	Far West	Southeast	USA	USA	14	2020-01-01	2024-10-01	0.2532375515664935	0.26216134092147925	0.48506700707254785
North Carolina_Pennsylvania	North Carolina	Pennsylvania	Southeast	Mideast	USA	USA	14	2020-01-01	2024-10-01	0.23284234509839502	0.1642584786533801	0.7098169756885822
Pennsylvania_Virginia	Pennsylvania	Virginia	Mideast	Southeast	USA	USA	14	2020-01-01	2024-10-01	0.16895643552570755	0.16113657376454482	0.2770533336108176
California_New York	California	New York	Far West	Mideast	USA	USA	14	2020-01-01	2024-10-01	0.16580780836687778	0.16265732791505527	0.254909153451928
Massachusetts_Pennsylvania	Massachusetts	Pennsylvania	New England	Mideast	USA	USA	14	2020-01-01	2024-10-01	0.1441743465601887	0.1225969806382657	0.3301498812039395
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	13	2020-01-01	2024-10-01	0.2786609973699247	0.21125496263477228	0.802894904878952
California_Texas	California	Texas	Far West	Southwest	USA	USA	13	2020-01-01	2024-10-01	0.19378085351163166	0.1963414053516229	0.3099322927528627
New Jersey_North Carolina	New Jersey	North Carolina	Mideast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.18694694034166923	0.1352514791304873	0.5949254028179215
New York_Virginia	New York	Virginia	Mideast	Southeast	USA	USA	13	2020-01-01	2024-10-01	0.16373406289139647	0.1450624241881358	0.27384160307296834
California_New Jersey	California	New Jersey	Far West	Mideast	USA	USA	12	2020-01-01	2024-10-01	0.2329353421326044	0.21656564437314596	0.5106964938854182
Colorado_Florida	Colorado	Florida	Rocky Mountain	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2200396019296685	0.1788114047705876	0.3980957247352497
North Carolina_Texas	North Carolina	Texas	Southeast	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.21059163505433462	0.1413982576030454	0.8605547980667384
Pennsylvania_Texas	Pennsylvania	Texas	Mideast	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.20710192506676747	0.1295071901274964	0.8119493627750469
Florida_Maryland	Florida	Maryland	Southeast	Mideast	USA	USA	12	2020-01-01	2024-10-01	0.2027122806358625	0.1803748227957149	0.4059131672527974
Maryland_North Carolina	Maryland	North Carolina	Mideast	Southeast	USA	USA	12	2020-01-01	2024-07-01	0.18073596777793258	0.18187814546527636	0.3452119793060079
California_Utah	California	Utah	Far West	Rocky Mountain	USA	USA	12	2020-01-01	2024-07-01	0.17463167553733955	0.13449876669098365	0.5058688201248086
Georgia_Pennsylvania	Georgia	Pennsylvania	Southeast	Mideast	USA	USA	12	2020-01-01	2024-10-01	0.16263420994588007	0.1590537198520616	0.3692432173190041
Massachusetts_New Jersey	Massachusetts	New Jersey	New England	Mideast	USA	USA	12	2020-01-01	2024-10-01	0.14562702558640372	0.13466888171449742	0.23721639744907885
Texas_Virginia	Texas	Virginia	Southwest	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.14279440000455831	0.11188677769677756	0.22838535867176235
Georgia_Ohio	Georgia	Ohio	Southeast	Great Lakes	USA	USA	12	2020-07-01	2024-10-01	0.1403389150813589	0.13207160724594316	0.2153388240290327
Colorado_Texas	Colorado	Texas	Rocky Mountain	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.13638257892682595	0.12222996631534588	0.22839324164122837
New Jersey_Texas	New Jersey	Texas	Mideast	Southwest	USA	USA	11	2022-04-01	2024-10-01	0.2623053223772724	0.18040261436069133	0.8636408220862328
California_Colorado	California	Colorado	Far West	Rocky Mountain	USA	USA	11	2020-01-01	2024-10-01	0.2028542293592814	0.21395484485771257	0.28612595002435076
Connecticut_Florida	Connecticut	Florida	New England	Southeast	USA	USA	11	2020-01-01	2024-07-01	0.17386606737802976	0.15547858083065047	0.33900744584109316
