date	x	y	nRR	RR	N_pairs	N_x	N_y	region_x	region_y	country_x	country_y	nb_dist
2020-01-01	Minnesota	Tennessee	0.12738566454244377	0.7965833422120705	18	2978	1683	Plains	Southeast	USA	USA	3
2020-01-01	New York	Tennessee	0.20155844382168095	0.5802404278802802	115	26120	1683	Mideast	Southeast	USA	USA	4
2020-01-01	Nova Scotia	Tennessee	0.06320334191728741	1.3141486932336606	7	702	1683	Eastern Canada	Southeast	Canada	USA	7
2020-01-01	Ohio	Tennessee	0.13367334057280578	0.4313921604284558	12	3666	1683	Great Lakes	Southeast	USA	USA	2
2020-01-01	Oklahoma	Tennessee	0.35920477141283536	0.8670431091096725	2	304	1683	Southwest	Southeast	USA	USA	2
2020-01-01	Ontario	Tennessee	0.21941773802291595	0.6607807363033914	121	24133	1683	Eastern Canada	Southeast	Canada	USA	4
2020-01-01	Oregon	Tennessee	0.05799600434839195	0.4330463972239631	3	913	1683	Far West	Southeast	USA	USA	5
2020-01-01	Pennsylvania	Tennessee	0.15802535478917293	0.6976723923443321	10	1889	1683	Mideast	Southeast	USA	USA	3
2020-01-01	Quebec	Tennessee	0.09065766385960684	0.4132555827750136	54	17221	1683	Eastern Canada	Southeast	Canada	USA	5
2020-01-01	Texas	Tennessee	0.15657632627952706	1.0839245614194732	29	3526	1683	Southwest	Southeast	USA	USA	2
2020-01-01	Utah	Tennessee	0.44793984077558763	1.2433044338515225	41	4346	1683	Rocky Mountain	Southeast	USA	USA	4
2020-01-01	Washington	Tennessee	0.047602642386139295	0.1824012490021465	51	36849	1683	Far West	Southeast	USA	USA	5
2020-01-01	Wisconsin	Tennessee	0.5003102173016151	1.9493410931233768	79	5341	1683	Great Lakes	Southeast	USA	USA	3
2020-01-01	Alberta	New Jersey	0.06927869104439846	0.6690332339953187	4	2858	464	Western Canada	Mideast	Canada	USA	5
2020-01-01	Arizona	New Jersey	0.3972356544514654	4.3695047043434405	20	2188	464	Southwest	Mideast	USA	USA	7
2020-01-01	British Columbia	New Jersey	0.46924636405563586	3.346166487068966	28	4000	464	Western Canada	Mideast	Canada	USA	5
2020-01-01	California	New Jersey	0.5106964938854182	4.179857688224828	121	13838	464	Far West	Mideast	USA	USA	8
2020-01-01	Colorado	New Jersey	0.29399033485995874	2.899381152213954	31	5111	464	Rocky Mountain	Mideast	USA	USA	6
2020-01-01	Connecticut	New Jersey	0.9535019914495332	7.44716596728091	53	3402	464	New England	Mideast	USA	USA	2
2020-01-01	Florida	New Jersey	0.5790839753136482	4.81279484443446	34	3377	464	Southeast	Mideast	USA	USA	6
2020-01-01	Georgia	New Jersey	0.19323729923366423	4.2163085009314525	8	907	464	Southeast	Mideast	USA	USA	5
2020-01-01	Hawaii	New Jersey	0.09244210998920784	1.9835098011160397	1	241	464	Far West	Mideast	USA	USA	NA
2020-01-01	Illinois	New Jersey	0.23535408240319153	2.585909186297501	28	5176	464	Great Lakes	Mideast	USA	USA	4
2020-01-01	Indiana	New Jersey	0.04939970985682065	3.663021039767473	4	522	464	Great Lakes	Mideast	USA	USA	3
2020-01-01	Iowa	New Jersey	0.12550294489703376	3.375278669689868	16	2266	464	Plains	Mideast	USA	USA	4
2020-01-01	Kansas	New Jersey	0.16019285608794662	1.5520320197044335	1	308	464	Plains	Mideast	USA	USA	5
2020-01-01	Maine	New Jersey	0.17489666069471607	3.626888637433938	10	1318	464	New England	Mideast	USA	USA	3
2020-01-01	Manitoba	New Jersey	0.13156195328303708	1.787482961243737	7	1872	464	Western Canada	Mideast	Canada	USA	3
2020-01-01	Maryland	New Jersey	0.5152026966948973	4.413658785188067	36	3899	464	Mideast	Mideast	USA	USA	2
2020-01-01	Massachusetts	New Jersey	0.1412092503790035	1.2932439963273383	19	7023	464	New England	Mideast	USA	USA	2
2020-01-01	Mexico	New Jersey	0.0596788816972536	1.1920844440622582	1	401	464	Mexico	Mideast	Mexico	USA	7
2020-01-01	Michigan	New Jersey	0.4682254664351605	4.664581307127482	73	7481	464	Great Lakes	Mideast	USA	USA	3
2020-01-01	Minnesota	New Jersey	0.3576323516215222	4.012959982399667	25	2978	464	Plains	Mideast	USA	USA	3
2020-01-01	Missouri	New Jersey	0.2389021919228757	2.9308640246094	10	1631	464	Plains	Mideast	USA	USA	4
2020-01-01	Nevada	New Jersey	0.12409523758897212	5.494530321046374	5	435	464	Far West	Mideast	USA	USA	7
2020-01-01	New Mexico	New Jersey	0.3085876530330046	3.1783519809244316	5	752	464	Southwest	Mideast	USA	USA	6
2020-01-01	North Carolina	New Jersey	0.1352514791304873	1.1287480153075764	2	847	464	Southeast	Mideast	USA	USA	4
2020-01-01	Ohio	New Jersey	0.15911781228228444	1.3039386863442255	10	3666	464	Great Lakes	Mideast	USA	USA	2
2020-01-01	Oklahoma	New Jersey	0.8521168278680481	6.289792706442832	4	304	464	Southwest	Mideast	USA	USA	5
2020-01-01	Quebec	New Jersey	0.10198780914728084	0.9715366062686096	35	17221	464	Eastern Canada	Mideast	Canada	USA	2
2020-01-01	Saskatchewan	New Jersey	0.051557480092710314	1.0374915804441784	4	1843	464	Western Canada	Mideast	Canada	USA	4
2020-01-01	Texas	New Jersey	0.05700941885467517	0.6778561229878538	5	3526	464	Southwest	Mideast	USA	USA	6
2020-01-01	Utah	New Jersey	0.1136396220148316	0.8799336885284923	8	4346	464	Rocky Mountain	Mideast	USA	USA	6
2020-01-01	Virginia	New Jersey	0.3123761833113385	4.145914331429255	10	1153	464	Southeast	Mideast	USA	USA	3
2020-01-01	Alberta	Utah	0.09570893610120654	0.4821468193688235	27	2858	4346	Western Canada	Rocky Mountain	Canada	USA	3
2020-01-01	British Columbia	Utah	0.33530340361879396	0.8420961228716061	66	4000	4346	Western Canada	Rocky Mountain	Canada	USA	2
2020-01-01	California	Utah	0.5058688201248086	1.8034878912765273	489	13838	4346	Far West	Rocky Mountain	USA	USA	2
