state	n_components	pct_components
California	226	77.1331058020478
New York	170	58.0204778156997
Texas	169	57.679180887372
Colorado	167	56.9965870307167
Florida	166	56.6552901023891
North Carolina	144	49.1467576791809
Massachusetts	140	47.7815699658703
Michigan	124	42.320819112628
Illinois	123	41.9795221843003
Utah	121	41.2969283276451
Washington	120	40.9556313993174
Virginia	119	40.6143344709898
Arizona	118	40.2730375426621
Georgia	111	37.8839590443686
New Jersey	108	36.8600682593857
Minnesota	104	35.4948805460751
Pennsylvania	101	34.4709897610922
Maryland	99	33.7883959044369
Connecticut	97	33.1058020477816
Tennessee	93	31.740614334471
Oregon	90	30.7167235494881
Arkansas	90	30.7167235494881
Nevada	89	30.3754266211604
Indiana	87	29.6928327645051
Missouri	82	27.9863481228669
Wisconsin	80	27.3037542662116
New Mexico	78	26.6211604095563
South Carolina	77	26.2798634812287
Louisiana	73	24.9146757679181
Kentucky	70	23.8907849829352
West Virginia	69	23.5494880546075
Kansas	66	22.5255972696246
Mexico	64	21.8430034129693
Mississippi	60	20.4778156996587
Ontario	57	19.4539249146758
Nebraska	56	19.1126279863481
Alabama	55	18.7713310580205
British Columbia	53	18.0887372013652
Iowa	51	17.4061433447099
Rhode Island	50	17.0648464163823
Delaware	49	16.7235494880546
District of Columbia	45	15.358361774744
Wyoming	42	14.3344709897611
North Dakota	39	13.3105802047782
Maine	36	12.2866894197952
Idaho	35	11.9453924914676
Alberta	34	11.6040955631399
Hawaii	32	10.9215017064846
New Hampshire	31	10.580204778157
Vermont	31	10.580204778157
Quebec	27	9.21501706484642
South Dakota	23	7.84982935153584
Montana	21	7.16723549488055
Alaska	18	6.14334470989761
New Brunswick	14	4.77815699658703
Nova Scotia	9	3.07167235494881
Saskatchewan	6	2.04778156996587
Manitoba	5	1.70648464163823
Newfoundland and Labrador	3	1.02389078498294
Prince Edward Island	1	0.341296928327645
